date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.86}
1652400000,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.86}
1652486400,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.86}
1652572800,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.88},{'peggedUSD': 0},{'peggedUSD': 88.88}
1652659200,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.88},{'peggedUSD': 0},{'peggedUSD': 88.88}
1652745600,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.88},{'peggedUSD': 0},{'peggedUSD': 88.88}
1652832000,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.88},{'peggedUSD': 0},{'peggedUSD': 88.88}
1652918400,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.9},{'peggedUSD': 0},{'peggedUSD': 88.9}
1653004800,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.9},{'peggedUSD': 0},{'peggedUSD': 88.9}
1653091200,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.9},{'peggedUSD': 0},{'peggedUSD': 88.9}
1653177600,{'peggedUSD': 88.86},{'peggedUSD': 0},{'peggedUSD': 88.87},{'peggedUSD': 0},{'peggedUSD': 88.87}
1653264000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1653350400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1653436800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1653523200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1653609600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1653696000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1653782400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1653868800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1653955200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1654041600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1654128000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1654214400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.91},{'peggedUSD': 0},{'peggedUSD': 93.91}
1654300800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1654387200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1654473600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1654560000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1654646400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1654732800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.91},{'peggedUSD': 0},{'peggedUSD': 93.91}
1654819200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.94},{'peggedUSD': 0},{'peggedUSD': 93.94}
1654905600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.9},{'peggedUSD': 0},{'peggedUSD': 93.9}
1654992000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1655078400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.92},{'peggedUSD': 0},{'peggedUSD': 93.92}
1655164800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1655251200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1655337600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.9},{'peggedUSD': 0},{'peggedUSD': 93.9}
1655424000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.94},{'peggedUSD': 0},{'peggedUSD': 93.94}
1655510400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1655596800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1655683200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.91},{'peggedUSD': 0},{'peggedUSD': 93.91}
1655769600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1655856000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1655942400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.92},{'peggedUSD': 0},{'peggedUSD': 93.92}
1656028800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1656115200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1656201600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1656288000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1656374400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1656460800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1656547200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1656633600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.94},{'peggedUSD': 0},{'peggedUSD': 93.94}
1656720000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.92},{'peggedUSD': 0},{'peggedUSD': 93.92}
1656806400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1656892800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1656979200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1657065600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.9},{'peggedUSD': 0},{'peggedUSD': 93.9}
1657152000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.92},{'peggedUSD': 0},{'peggedUSD': 93.92}
1657238400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
1657324800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1657411200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1657497600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1657584000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.89},{'peggedUSD': 0},{'peggedUSD': 93.89}
1657670400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.91},{'peggedUSD': 0},{'peggedUSD': 93.91}
1657756800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.84},{'peggedUSD': 0},{'peggedUSD': 93.84}
1657843200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1657929600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1658016000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1658102400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.84},{'peggedUSD': 0},{'peggedUSD': 93.84}
1658188800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.83},{'peggedUSD': 0},{'peggedUSD': 93.83}
1658275200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.84},{'peggedUSD': 0},{'peggedUSD': 93.84}
1658361600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1658448000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.87},{'peggedUSD': 0},{'peggedUSD': 93.87}
1658534400,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1658620800,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1658707200,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.86},{'peggedUSD': 0},{'peggedUSD': 93.86}
1658793600,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.85}
1658880000,{'peggedUSD': 93.85},{'peggedUSD': 0},{'peggedUSD': 93.88},{'peggedUSD': 0},{'peggedUSD': 93.88}
