date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32940762.12}
1652400000,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32940762.12}
1652486400,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32940762.12}
1652572800,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32947350.28},{'peggedUSD': 0},{'peggedUSD': 32947350.28}
1652659200,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32949872.55},{'peggedUSD': 0},{'peggedUSD': 32949872.55}
1652745600,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32949872.55},{'peggedUSD': 0},{'peggedUSD': 32949872.55}
1652832000,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32947310.75},{'peggedUSD': 0},{'peggedUSD': 32947310.75}
1652918400,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32955451.4},{'peggedUSD': 0},{'peggedUSD': 32955451.4}
1653004800,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32957272.03},{'peggedUSD': 0},{'peggedUSD': 32957272.03}
1653091200,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32957272.03},{'peggedUSD': 0},{'peggedUSD': 32957272.03}
1653177600,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32943852.95},{'peggedUSD': 0},{'peggedUSD': 32943852.95}
1653264000,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32955155.59},{'peggedUSD': 0},{'peggedUSD': 32955155.59}
1653350400,{'peggedUSD': 32940762.12},{'peggedUSD': 0},{'peggedUSD': 32945781.31},{'peggedUSD': 0},{'peggedUSD': 32945781.31}
