date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 3889835603.12},{'peggedUSD': 904394796.07},{'peggedUSD': 3889835603.12},{'peggedUSD': 3880605201.31},{'peggedUSD': 15140719.27}
1652400000,{'peggedUSD': 3889835603.12},{'peggedUSD': 904394796.07},{'peggedUSD': 3889835603.12},{'peggedUSD': 3880605201.31},{'peggedUSD': 15140719.27}
1652486400,{'peggedUSD': 4116533252.43},{'peggedUSD': 678920343.27},{'peggedUSD': 4116533252.43},{'peggedUSD': 4106079654.09},{'peggedUSD': 14887674.84}
1652572800,{'peggedUSD': 4117320856.67},{'peggedUSD': 678167979.13},{'peggedUSD': 4118144320.84},{'peggedUSD': 4107653384.6},{'peggedUSD': 14848022.55}
1652659200,{'peggedUSD': 4117327474.28},{'peggedUSD': 678167979.13},{'peggedUSD': 4118466203.54},{'peggedUSD': 4107967843.64},{'peggedUSD': 15012765.29}
1652745600,{'peggedUSD': 4154602741.62},{'peggedUSD': 640423707.75},{'peggedUSD': 4155751780.1},{'peggedUSD': 4145722553.95},{'peggedUSD': 14390929.35}
1652832000,{'peggedUSD': 4161214871.01},{'peggedUSD': 634349191.55},{'peggedUSD': 4162042120.53},{'peggedUSD': 4151475953.61},{'peggedUSD': 15096502.16}
1652918400,{'peggedUSD': 4158930243.81},{'peggedUSD': 636718828.62},{'peggedUSD': 4160784835.57},{'peggedUSD': 4150131009.44},{'peggedUSD': 15042416.67}
1653004800,{'peggedUSD': 4173822021.32},{'peggedUSD': 621379989.7},{'peggedUSD': 4175913940.91},{'peggedUSD': 4165706811.63},{'peggedUSD': 15148817.04}
1653091200,{'peggedUSD': 4192314783.5},{'peggedUSD': 606871482.35},{'peggedUSD': 4194415971.67},{'peggedUSD': 4180222590.64},{'peggedUSD': 18995420.91}
1653177600,{'peggedUSD': 4195750855.74},{'peggedUSD': 604780171.65},{'peggedUSD': 4196144543.04},{'peggedUSD': 4180611742.78},{'peggedUSD': 20024493.22}
1653264000,{'peggedUSD': 4195861267.83},{'peggedUSD': 604857305.65},{'peggedUSD': 4197694649.41},{'peggedUSD': 4181968891.62},{'peggedUSD': 20186193.57}
1653350400,{'peggedUSD': 4222249678.86},{'peggedUSD': 579046944.68},{'peggedUSD': 4222893023.05},{'peggedUSD': 4206593600.4},{'peggedUSD': 20877960.85}
1653436800,{'peggedUSD': 4222604383.47},{'peggedUSD': 578252620.29},{'peggedUSD': 4223247781.7},{'peggedUSD': 4207388045.81},{'peggedUSD': 20568831.85}
1653523200,{'peggedUSD': 4232987520.51},{'peggedUSD': 567531665.77},{'peggedUSD': 4233523924.69},{'peggedUSD': 4218002455.83},{'peggedUSD': 20200863.62}
1653609600,{'peggedUSD': 4242044211.02},{'peggedUSD': 808402917.65},{'peggedUSD': 4242363085.48},{'peggedUSD': 4226914479.65},{'peggedUSD': 20349156.32}
1653696000,{'peggedUSD': 4274680836.69},{'peggedUSD': 775068310.11},{'peggedUSD': 4276006073.24},{'peggedUSD': 4261252037.8},{'peggedUSD': 19883788.81}
1653782400,{'peggedUSD': 4274981206.22},{'peggedUSD': 775002691.94},{'peggedUSD': 4275546187.74},{'peggedUSD': 4260559993.24},{'peggedUSD': 20069579.62}
1653868800,{'peggedUSD': 4275292450.3},{'peggedUSD': 775002691.94},{'peggedUSD': 4277000002.11},{'peggedUSD': 4261698434.82},{'peggedUSD': 20126946.01}
