date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 173978127},{'peggedUSD': 0},{'peggedUSD': 173978127},{'peggedUSD': 173978127},{'peggedUSD': 0}
1652400000,{'peggedUSD': 173978127},{'peggedUSD': 0},{'peggedUSD': 173978127},{'peggedUSD': 173978127},{'peggedUSD': 0}
1652486400,{'peggedUSD': 173195184},{'peggedUSD': 0},{'peggedUSD': 173195184},{'peggedUSD': 173195184},{'peggedUSD': 0}
1652572800,{'peggedUSD': 173217126},{'peggedUSD': 0},{'peggedUSD': 173251769.43},{'peggedUSD': 173251769.43},{'peggedUSD': 0}
1652659200,{'peggedUSD': 173071820},{'peggedUSD': 0},{'peggedUSD': 173119686.47},{'peggedUSD': 173119686.47},{'peggedUSD': 0}
1652745600,{'peggedUSD': 176025234},{'peggedUSD': 0},{'peggedUSD': 176073917.3},{'peggedUSD': 176073917.3},{'peggedUSD': 0}
1652832000,{'peggedUSD': 175606866},{'peggedUSD': 0},{'peggedUSD': 175641776.64},{'peggedUSD': 175641776.64},{'peggedUSD': 0}
1652918400,{'peggedUSD': 173849173},{'peggedUSD': 0},{'peggedUSD': 173926697.56},{'peggedUSD': 173926697.56},{'peggedUSD': 0}
1653004800,{'peggedUSD': 175090957},{'peggedUSD': 0},{'peggedUSD': 175178712.59},{'peggedUSD': 175178712.59},{'peggedUSD': 0}
1653091200,{'peggedUSD': 174159039},{'peggedUSD': 0},{'peggedUSD': 174246327.51},{'peggedUSD': 174246327.51},{'peggedUSD': 0}
1653177600,{'peggedUSD': 174140544},{'peggedUSD': 0},{'peggedUSD': 174156883.61},{'peggedUSD': 174156883.61},{'peggedUSD': 0}
1653264000,{'peggedUSD': 174089504},{'peggedUSD': 0},{'peggedUSD': 174165572.41},{'peggedUSD': 174165572.41},{'peggedUSD': 0}
1653350400,{'peggedUSD': 174976110},{'peggedUSD': 0},{'peggedUSD': 175002771.11},{'peggedUSD': 175002771.11},{'peggedUSD': 0}
1653436800,{'peggedUSD': 174837265},{'peggedUSD': 0},{'peggedUSD': 174863904.95},{'peggedUSD': 174863904.95},{'peggedUSD': 0}
1653523200,{'peggedUSD': 174959527},{'peggedUSD': 0},{'peggedUSD': 174981697.87},{'peggedUSD': 174981697.87},{'peggedUSD': 0}
1653609600,{'peggedUSD': 175402630},{'peggedUSD': 0},{'peggedUSD': 175415815.02},{'peggedUSD': 175415815.02},{'peggedUSD': 0}
1653696000,{'peggedUSD': 176310440},{'peggedUSD': 0},{'peggedUSD': 176365099.76},{'peggedUSD': 176365099.76},{'peggedUSD': 0}
1653782400,{'peggedUSD': 176310316},{'peggedUSD': 0},{'peggedUSD': 176333617.17},{'peggedUSD': 176333617.17},{'peggedUSD': 0}
1653868800,{'peggedUSD': 176192891},{'peggedUSD': 0},{'peggedUSD': 176263262.44},{'peggedUSD': 176263262.44},{'peggedUSD': 0}
1653955200,{'peggedUSD': 174191910},{'peggedUSD': 0},{'peggedUSD': 174253776},{'peggedUSD': 174253776},{'peggedUSD': 0}
1654041600,{'peggedUSD': 174515212},{'peggedUSD': 0},{'peggedUSD': 174577192.82},{'peggedUSD': 174577192.82},{'peggedUSD': 0}
1654128000,{'peggedUSD': 175741396},{'peggedUSD': 0},{'peggedUSD': 175783368.32},{'peggedUSD': 175783368.32},{'peggedUSD': 0}
1654214400,{'peggedUSD': 175597266},{'peggedUSD': 0},{'peggedUSD': 175716967.14},{'peggedUSD': 175716967.14},{'peggedUSD': 0}
1654300800,{'peggedUSD': 175856819},{'peggedUSD': 0},{'peggedUSD': 175909452.95},{'peggedUSD': 175909452.95},{'peggedUSD': 0}
1654387200,{'peggedUSD': 175916281},{'peggedUSD': 0},{'peggedUSD': 175954377.43},{'peggedUSD': 175954377.43},{'peggedUSD': 0}
1654473600,{'peggedUSD': 174998935},{'peggedUSD': 0},{'peggedUSD': 175068829.57},{'peggedUSD': 175068829.57},{'peggedUSD': 0}
1654560000,{'peggedUSD': 175373944},{'peggedUSD': 0},{'peggedUSD': 175431431.58},{'peggedUSD': 175431431.58},{'peggedUSD': 0}
1654646400,{'peggedUSD': 175988629},{'peggedUSD': 0},{'peggedUSD': 176046318.07},{'peggedUSD': 176046318.07},{'peggedUSD': 0}
1654732800,{'peggedUSD': 175614785},{'peggedUSD': 0},{'peggedUSD': 175719867.62},{'peggedUSD': 175719867.62},{'peggedUSD': 0}
1654819200,{'peggedUSD': 175549574},{'peggedUSD': 0},{'peggedUSD': 175717409.93},{'peggedUSD': 175717409.93},{'peggedUSD': 0}
1654905600,{'peggedUSD': 176363236},{'peggedUSD': 0},{'peggedUSD': 176451417.62},{'peggedUSD': 176451417.62},{'peggedUSD': 0}
1654992000,{'peggedUSD': 176483804},{'peggedUSD': 0},{'peggedUSD': 176558626.07},{'peggedUSD': 176558626.07},{'peggedUSD': 0}
1655078400,{'peggedUSD': 176563515},{'peggedUSD': 0},{'peggedUSD': 176690019.23},{'peggedUSD': 176690019.23},{'peggedUSD': 0}
1655164800,{'peggedUSD': 176281092},{'peggedUSD': 0},{'peggedUSD': 176343142.94},{'peggedUSD': 176343142.94},{'peggedUSD': 0}
1655251200,{'peggedUSD': 176415692},{'peggedUSD': 0},{'peggedUSD': 176484118.35},{'peggedUSD': 176484118.35},{'peggedUSD': 0}
1655337600,{'peggedUSD': 174996566},{'peggedUSD': 0},{'peggedUSD': 175086164.24},{'peggedUSD': 175086164.24},{'peggedUSD': 0}
1655424000,{'peggedUSD': 175125192},{'peggedUSD': 0},{'peggedUSD': 175299178.88},{'peggedUSD': 175299178.88},{'peggedUSD': 0}
1655510400,{'peggedUSD': 175260623},{'peggedUSD': 0},{'peggedUSD': 175334253.49},{'peggedUSD': 175334253.49},{'peggedUSD': 0}
1655596800,{'peggedUSD': 175327672},{'peggedUSD': 0},{'peggedUSD': 175373102.91},{'peggedUSD': 175373102.91},{'peggedUSD': 0}
1655683200,{'peggedUSD': 175225262},{'peggedUSD': 0},{'peggedUSD': 175329906.53},{'peggedUSD': 175329906.53},{'peggedUSD': 0}
1655769600,{'peggedUSD': 174222176},{'peggedUSD': 0},{'peggedUSD': 174232465.56},{'peggedUSD': 174232465.56},{'peggedUSD': 0}
1655856000,{'peggedUSD': 174962925},{'peggedUSD': 0},{'peggedUSD': 174988844.01},{'peggedUSD': 174988844.01},{'peggedUSD': 0}
1655942400,{'peggedUSD': 174959227},{'peggedUSD': 0},{'peggedUSD': 175092892.35},{'peggedUSD': 175092892.35},{'peggedUSD': 0}
1656028800,{'peggedUSD': 175585080},{'peggedUSD': 0},{'peggedUSD': 175587011.44},{'peggedUSD': 175587011.44},{'peggedUSD': 0}
1656115200,{'peggedUSD': 177043625},{'peggedUSD': 0},{'peggedUSD': 177042339.66},{'peggedUSD': 177042339.66},{'peggedUSD': 0}
1656201600,{'peggedUSD': 177058614},{'peggedUSD': 0},{'peggedUSD': 177111607.64},{'peggedUSD': 177111607.64},{'peggedUSD': 0}
1656288000,{'peggedUSD': 177133067},{'peggedUSD': 0},{'peggedUSD': 177168307.62},{'peggedUSD': 177168307.62},{'peggedUSD': 0}
1656374400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1656460800,{'peggedUSD': 174798676},{'peggedUSD': 0},{'peggedUSD': 174862937.24},{'peggedUSD': 174862937.24},{'peggedUSD': 0}
1656547200,{'peggedUSD': 174829188},{'peggedUSD': 0},{'peggedUSD': 174854543.48},{'peggedUSD': 174854543.48},{'peggedUSD': 0}
1656633600,{'peggedUSD': 174203871},{'peggedUSD': 0},{'peggedUSD': 174373550.8},{'peggedUSD': 174373550.8},{'peggedUSD': 0}
1656720000,{'peggedUSD': 175386862},{'peggedUSD': 0},{'peggedUSD': 175510202.81},{'peggedUSD': 175510202.81},{'peggedUSD': 0}
1656806400,{'peggedUSD': 175423341},{'peggedUSD': 0},{'peggedUSD': 175503402.46},{'peggedUSD': 175503402.46},{'peggedUSD': 0}
1656892800,{'peggedUSD': 175421341},{'peggedUSD': 0},{'peggedUSD': 175454378.1},{'peggedUSD': 175454378.1},{'peggedUSD': 0}
1656979200,{'peggedUSD': 175416812},{'peggedUSD': 0},{'peggedUSD': 175416812},{'peggedUSD': 175416812},{'peggedUSD': 0}
1657065600,{'peggedUSD': 175708766},{'peggedUSD': 0},{'peggedUSD': 175802197.38},{'peggedUSD': 175802197.38},{'peggedUSD': 0}
1657152000,{'peggedUSD': 174866939},{'peggedUSD': 0},{'peggedUSD': 174993829.45},{'peggedUSD': 174993829.45},{'peggedUSD': 0}
1657238400,{'peggedUSD': 175206459},{'peggedUSD': 0},{'peggedUSD': 175255874.23},{'peggedUSD': 175255874.23},{'peggedUSD': 0}
