date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1721438.31},{'peggedUSD': 0},{'peggedUSD': 1721438.31},{'peggedUSD': 0},{'peggedUSD': 1721438.31}
1652400000,{'peggedUSD': 1721438.31},{'peggedUSD': 0},{'peggedUSD': 1721438.31},{'peggedUSD': 0},{'peggedUSD': 1721438.31}
1652486400,{'peggedUSD': 1738832.44},{'peggedUSD': 0},{'peggedUSD': 1738832.44},{'peggedUSD': 0},{'peggedUSD': 1738832.44}
1652572800,{'peggedUSD': 1688832.44},{'peggedUSD': 0},{'peggedUSD': 1689170.21},{'peggedUSD': 0},{'peggedUSD': 1689170.21}
1652659200,{'peggedUSD': 1701033.78},{'peggedUSD': 0},{'peggedUSD': 1701504.24},{'peggedUSD': 0},{'peggedUSD': 1701504.24}
1652745600,{'peggedUSD': 1701033.78},{'peggedUSD': 0},{'peggedUSD': 1701504.24},{'peggedUSD': 0},{'peggedUSD': 1701504.24}
1652832000,{'peggedUSD': 1699833.07},{'peggedUSD': 0},{'peggedUSD': 1700171},{'peggedUSD': 0},{'peggedUSD': 1700171}
1652918400,{'peggedUSD': 1685485.36},{'peggedUSD': 0},{'peggedUSD': 1686236.96},{'peggedUSD': 0},{'peggedUSD': 1686236.96}
1653004800,{'peggedUSD': 1625485.36},{'peggedUSD': 0},{'peggedUSD': 1626300.05},{'peggedUSD': 0},{'peggedUSD': 1626300.05}
1653091200,{'peggedUSD': 1625485.36},{'peggedUSD': 0},{'peggedUSD': 1626300.05},{'peggedUSD': 0},{'peggedUSD': 1626300.05}
1653177600,{'peggedUSD': 1635176.87},{'peggedUSD': 0},{'peggedUSD': 1635330.3},{'peggedUSD': 0},{'peggedUSD': 1635330.3}
1653264000,{'peggedUSD': 1658716.4},{'peggedUSD': 0},{'peggedUSD': 1659441.18},{'peggedUSD': 0},{'peggedUSD': 1659441.18}
1653350400,{'peggedUSD': 1629033.6},{'peggedUSD': 0},{'peggedUSD': 1629281.82},{'peggedUSD': 0},{'peggedUSD': 1629281.82}
1653436800,{'peggedUSD': 1629033.6},{'peggedUSD': 0},{'peggedUSD': 1629281.82},{'peggedUSD': 0},{'peggedUSD': 1629281.82}
1653523200,{'peggedUSD': 1629033.6},{'peggedUSD': 0},{'peggedUSD': 1629240.03},{'peggedUSD': 0},{'peggedUSD': 1629240.03}
1653609600,{'peggedUSD': 1629033.6},{'peggedUSD': 0},{'peggedUSD': 1629156.06},{'peggedUSD': 0},{'peggedUSD': 1629156.06}
1653696000,{'peggedUSD': 1629033.6},{'peggedUSD': 0},{'peggedUSD': 1629538.64},{'peggedUSD': 0},{'peggedUSD': 1629538.64}
1653782400,{'peggedUSD': 1611977.35},{'peggedUSD': 0},{'peggedUSD': 1612190.39},{'peggedUSD': 0},{'peggedUSD': 1612190.39}
1653868800,{'peggedUSD': 1611977.35},{'peggedUSD': 0},{'peggedUSD': 1612621.17},{'peggedUSD': 0},{'peggedUSD': 1612621.17}
