date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1397012.6},{'peggedUSD': 0},{'peggedUSD': 1397012.6},{'peggedUSD': 0},{'peggedUSD': 1397012.6}
1652400000,{'peggedUSD': 1397012.6},{'peggedUSD': 0},{'peggedUSD': 1397012.6},{'peggedUSD': 0},{'peggedUSD': 1397012.6}
1652486400,{'peggedUSD': 581561.3},{'peggedUSD': 0},{'peggedUSD': 581561.3},{'peggedUSD': 0},{'peggedUSD': 581561.3}
1652572800,{'peggedUSD': 480914.02},{'peggedUSD': 0},{'peggedUSD': 481010.2},{'peggedUSD': 0},{'peggedUSD': 481010.2}
1652659200,{'peggedUSD': 397056.23},{'peggedUSD': 0},{'peggedUSD': 397166.05},{'peggedUSD': 0},{'peggedUSD': 397166.05}
1652745600,{'peggedUSD': 376114},{'peggedUSD': 0},{'peggedUSD': 376218.02},{'peggedUSD': 0},{'peggedUSD': 376218.02}
1652832000,{'peggedUSD': 370046.02},{'peggedUSD': 0},{'peggedUSD': 370119.58},{'peggedUSD': 0},{'peggedUSD': 370119.58}
1652918400,{'peggedUSD': 368046.34},{'peggedUSD': 0},{'peggedUSD': 368210.46},{'peggedUSD': 0},{'peggedUSD': 368210.46}
1653004800,{'peggedUSD': 366854.2},{'peggedUSD': 0},{'peggedUSD': 367038.07},{'peggedUSD': 0},{'peggedUSD': 367038.07}
1653091200,{'peggedUSD': 366854.2},{'peggedUSD': 0},{'peggedUSD': 367038.07},{'peggedUSD': 0},{'peggedUSD': 367038.07}
1653177600,{'peggedUSD': 366313.76},{'peggedUSD': 0},{'peggedUSD': 366348.13},{'peggedUSD': 0},{'peggedUSD': 366348.13}
1653264000,{'peggedUSD': 331713.26},{'peggedUSD': 0},{'peggedUSD': 331858.2},{'peggedUSD': 0},{'peggedUSD': 331858.2}
1653350400,{'peggedUSD': 351915.65},{'peggedUSD': 0},{'peggedUSD': 351969.27},{'peggedUSD': 0},{'peggedUSD': 351969.27}
1653436800,{'peggedUSD': 325533.53},{'peggedUSD': 0},{'peggedUSD': 325583.13},{'peggedUSD': 0},{'peggedUSD': 325583.13}
1653523200,{'peggedUSD': 323193.53},{'peggedUSD': 0},{'peggedUSD': 323234.48},{'peggedUSD': 0},{'peggedUSD': 323234.48}
1653609600,{'peggedUSD': 353545.6},{'peggedUSD': 0},{'peggedUSD': 353572.18},{'peggedUSD': 0},{'peggedUSD': 353572.18}
