date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.64}
1652400000,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.64}
1652486400,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.64}
1652572800,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.68},{'peggedUSD': 0},{'peggedUSD': 171.68}
1652659200,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.69},{'peggedUSD': 0},{'peggedUSD': 171.69}
1652745600,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.69},{'peggedUSD': 0},{'peggedUSD': 171.69}
1652832000,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.68},{'peggedUSD': 0},{'peggedUSD': 171.68}
1652918400,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.72},{'peggedUSD': 0},{'peggedUSD': 171.72}
1653004800,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.73},{'peggedUSD': 0},{'peggedUSD': 171.73}
1653091200,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.73},{'peggedUSD': 0},{'peggedUSD': 171.73}
1653177600,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.66},{'peggedUSD': 0},{'peggedUSD': 171.66}
1653264000,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.72},{'peggedUSD': 0},{'peggedUSD': 171.72}
1653350400,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.67},{'peggedUSD': 0},{'peggedUSD': 171.67}
1653436800,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.67},{'peggedUSD': 0},{'peggedUSD': 171.67}
1653523200,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.66},{'peggedUSD': 0},{'peggedUSD': 171.66}
1653609600,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.66},{'peggedUSD': 0},{'peggedUSD': 171.66}
1653696000,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.7},{'peggedUSD': 0},{'peggedUSD': 171.7}
1653782400,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.67},{'peggedUSD': 0},{'peggedUSD': 171.67}
1653868800,{'peggedUSD': 171.64},{'peggedUSD': 0},{'peggedUSD': 171.71},{'peggedUSD': 0},{'peggedUSD': 171.71}
