date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 570887491.94},{'peggedUSD': 0},{'peggedUSD': 570887491.94},{'peggedUSD': 570887491.94},{'peggedUSD': 0}
1652400000,{'peggedUSD': 570887491.94},{'peggedUSD': 0},{'peggedUSD': 570887491.94},{'peggedUSD': 570887491.94},{'peggedUSD': 0}
1652486400,{'peggedUSD': 981492456.93},{'peggedUSD': 0},{'peggedUSD': 981492456.93},{'peggedUSD': 981492456.93},{'peggedUSD': 0}
1652572800,{'peggedUSD': 1408908771.97},{'peggedUSD': 0},{'peggedUSD': 1409190553.72},{'peggedUSD': 1409190553.72},{'peggedUSD': 0}
1652659200,{'peggedUSD': 1381679964.64},{'peggedUSD': 0},{'peggedUSD': 1382062095.87},{'peggedUSD': 1382062095.87},{'peggedUSD': 0}
1652745600,{'peggedUSD': 2015507501.89},{'peggedUSD': 0},{'peggedUSD': 2016064930.8},{'peggedUSD': 2016064930.8},{'peggedUSD': 0}
1652832000,{'peggedUSD': 2015335766.79},{'peggedUSD': 0},{'peggedUSD': 2015736415.54},{'peggedUSD': 2015736415.54},{'peggedUSD': 0}
1652918400,{'peggedUSD': 2009289050.13},{'peggedUSD': 0},{'peggedUSD': 2010185052.4},{'peggedUSD': 2010185052.4},{'peggedUSD': 0}
1653004800,{'peggedUSD': 2012933207.92},{'peggedUSD': 0},{'peggedUSD': 2013942090.04},{'peggedUSD': 2013942090.04},{'peggedUSD': 0}
1653091200,{'peggedUSD': 2009294596.31},{'peggedUSD': 0},{'peggedUSD': 2010301654.76},{'peggedUSD': 2010301654.76},{'peggedUSD': 0}
1653177600,{'peggedUSD': 2009455407.7},{'peggedUSD': 0},{'peggedUSD': 2009643954.9},{'peggedUSD': 2009643954.9},{'peggedUSD': 0}
1653264000,{'peggedUSD': 2009455407.7},{'peggedUSD': 0},{'peggedUSD': 2010333439.24},{'peggedUSD': 2010333439.24},{'peggedUSD': 0}
1653350400,{'peggedUSD': 1991399131.64},{'peggedUSD': 0},{'peggedUSD': 1991702561.13},{'peggedUSD': 1991702561.13},{'peggedUSD': 0}
1653436800,{'peggedUSD': 1974676779.2},{'peggedUSD': 0},{'peggedUSD': 1974977660.7},{'peggedUSD': 1974977660.7},{'peggedUSD': 0}
1653523200,{'peggedUSD': 1968463569.77},{'peggedUSD': 0},{'peggedUSD': 1968713013.47},{'peggedUSD': 1968713013.47},{'peggedUSD': 0}
1653609600,{'peggedUSD': 1963737819.79},{'peggedUSD': 0},{'peggedUSD': 1963885433.96},{'peggedUSD': 1963885433.96},{'peggedUSD': 0}
1653696000,{'peggedUSD': 1962598646.66},{'peggedUSD': 0},{'peggedUSD': 1963207091.49},{'peggedUSD': 1963207091.49},{'peggedUSD': 0}
