date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 13804263.21},{'peggedUSD': 0},{'peggedUSD': 13804263.21},{'peggedUSD': 0},{'peggedUSD': 13804263.21}
1652400000,{'peggedUSD': 13804263.21},{'peggedUSD': 0},{'peggedUSD': 13804263.21},{'peggedUSD': 0},{'peggedUSD': 13804263.21}
1652486400,{'peggedUSD': 14163218.47},{'peggedUSD': 0},{'peggedUSD': 14163218.47},{'peggedUSD': 0},{'peggedUSD': 14163218.47}
1652572800,{'peggedUSD': 14180013.56},{'peggedUSD': 0},{'peggedUSD': 14182849.56},{'peggedUSD': 0},{'peggedUSD': 14182849.56}
1652659200,{'peggedUSD': 14226259.85},{'peggedUSD': 0},{'peggedUSD': 14230194.41},{'peggedUSD': 0},{'peggedUSD': 14230194.41}
1652745600,{'peggedUSD': 14129755.85},{'peggedUSD': 0},{'peggedUSD': 14133663.71},{'peggedUSD': 0},{'peggedUSD': 14133663.71}
1652832000,{'peggedUSD': 13226578.06},{'peggedUSD': 0},{'peggedUSD': 13229207.51},{'peggedUSD': 0},{'peggedUSD': 13229207.51}
1652918400,{'peggedUSD': 13481270.3},{'peggedUSD': 0},{'peggedUSD': 13487282},{'peggedUSD': 0},{'peggedUSD': 13487282}
1653004800,{'peggedUSD': 13437833.23},{'peggedUSD': 0},{'peggedUSD': 13444568.27},{'peggedUSD': 0},{'peggedUSD': 13444568.27}
1653091200,{'peggedUSD': 13218756.67},{'peggedUSD': 0},{'peggedUSD': 13225381.91},{'peggedUSD': 0},{'peggedUSD': 13225381.91}
1653177600,{'peggedUSD': 13368565.04},{'peggedUSD': 0},{'peggedUSD': 13369819.41},{'peggedUSD': 0},{'peggedUSD': 13369819.41}
1653264000,{'peggedUSD': 13280358.16},{'peggedUSD': 0},{'peggedUSD': 13286161.01},{'peggedUSD': 0},{'peggedUSD': 13286161.01}
1653350400,{'peggedUSD': 13282226.67},{'peggedUSD': 0},{'peggedUSD': 13284250.48},{'peggedUSD': 0},{'peggedUSD': 13284250.48}
1653436800,{'peggedUSD': 13362299.23},{'peggedUSD': 0},{'peggedUSD': 13364335.24},{'peggedUSD': 0},{'peggedUSD': 13364335.24}
1653523200,{'peggedUSD': 13581530.48},{'peggedUSD': 0},{'peggedUSD': 13583251.54},{'peggedUSD': 0},{'peggedUSD': 13583251.54}
1653609600,{'peggedUSD': 13580456.38},{'peggedUSD': 0},{'peggedUSD': 13581477.22},{'peggedUSD': 0},{'peggedUSD': 13581477.22}
1653696000,{'peggedUSD': 13415415.94},{'peggedUSD': 0},{'peggedUSD': 13419574.99},{'peggedUSD': 0},{'peggedUSD': 13419574.99}
1653782400,{'peggedUSD': 12948996.27},{'peggedUSD': 0},{'peggedUSD': 12950707.61},{'peggedUSD': 0},{'peggedUSD': 12950707.61}
1653868800,{'peggedUSD': 12920201.88},{'peggedUSD': 0},{'peggedUSD': 12925362.21},{'peggedUSD': 0},{'peggedUSD': 12925362.21}
1653955200,{'peggedUSD': 13089241.12},{'peggedUSD': 0},{'peggedUSD': 13093889.9},{'peggedUSD': 0},{'peggedUSD': 13093889.9}
1654041600,{'peggedUSD': 13597442.34},{'peggedUSD': 0},{'peggedUSD': 13602271.61},{'peggedUSD': 0},{'peggedUSD': 13602271.61}
1654128000,{'peggedUSD': 13877462.92},{'peggedUSD': 0},{'peggedUSD': 13880777.27},{'peggedUSD': 0},{'peggedUSD': 13880777.27}
1654214400,{'peggedUSD': 13831579.24},{'peggedUSD': 0},{'peggedUSD': 13841007.95},{'peggedUSD': 0},{'peggedUSD': 13841007.95}
1654300800,{'peggedUSD': 14026141.49},{'peggedUSD': 0},{'peggedUSD': 14030339.51},{'peggedUSD': 0},{'peggedUSD': 14030339.51}
1654387200,{'peggedUSD': 14033354},{'peggedUSD': 0},{'peggedUSD': 14036393.06},{'peggedUSD': 0},{'peggedUSD': 14036393.06}
1654473600,{'peggedUSD': 13657581.18},{'peggedUSD': 0},{'peggedUSD': 13663036.02},{'peggedUSD': 0},{'peggedUSD': 13663036.02}
1654560000,{'peggedUSD': 13850470.36},{'peggedUSD': 0},{'peggedUSD': 13855010.55},{'peggedUSD': 0},{'peggedUSD': 13855010.55}
1654646400,{'peggedUSD': 14438720.82},{'peggedUSD': 0},{'peggedUSD': 14443453.84},{'peggedUSD': 0},{'peggedUSD': 14443453.84}
