date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1651449600,{'peggedUSD': 3100000.1},{'peggedUSD': 0},{'peggedUSD': 3096479.65},{'peggedUSD': 0},{'peggedUSD': 3096479.65}
1651536000,{'peggedUSD': 13100000.1},{'peggedUSD': 0},{'peggedUSD': 13085123.37},{'peggedUSD': 0},{'peggedUSD': 13085123.37}
1651622400,{'peggedUSD': 12060233.59},{'peggedUSD': 0},{'peggedUSD': 12045350.29},{'peggedUSD': 0},{'peggedUSD': 12045350.29}
1651708800,{'peggedUSD': 18136917.29},{'peggedUSD': 0},{'peggedUSD': 18195978.6},{'peggedUSD': 0},{'peggedUSD': 18195978.6}
1651795200,{'peggedUSD': 38414495.91},{'peggedUSD': 0},{'peggedUSD': 38583902.87},{'peggedUSD': 0},{'peggedUSD': 38583902.87}
1651881600,{'peggedUSD': 36923757.02},{'peggedUSD': 0},{'peggedUSD': 37044484.94},{'peggedUSD': 0},{'peggedUSD': 37044484.94}
1651968000,{'peggedUSD': 37327554.36},{'peggedUSD': 0},{'peggedUSD': 37467215.48},{'peggedUSD': 0},{'peggedUSD': 37467215.48}
1652054400,{'peggedUSD': 36035347.18},{'peggedUSD': 0},{'peggedUSD': 36081724.01},{'peggedUSD': 0},{'peggedUSD': 36081724.01}
1652140800,{'peggedUSD': 45828324.14},{'peggedUSD': 0},{'peggedUSD': 45887304.36},{'peggedUSD': 0},{'peggedUSD': 45887304.36}
1652227200,{'peggedUSD': 41903837.44},{'peggedUSD': 0},{'peggedUSD': 41984006.75},{'peggedUSD': 0},{'peggedUSD': 41984006.75}
1652313600,{'peggedUSD': 45688344.07},{'peggedUSD': 0},{'peggedUSD': 45281681.26},{'peggedUSD': 0},{'peggedUSD': 45281681.26}
1652400000,{'peggedUSD': 45574665.54},{'peggedUSD': 0},{'peggedUSD': 45384387.36},{'peggedUSD': 0},{'peggedUSD': 45384387.36}
1652486400,{'peggedUSD': 46106539.23},{'peggedUSD': 0},{'peggedUSD': 46116869.89},{'peggedUSD': 0},{'peggedUSD': 46116869.89}
1652572800,{'peggedUSD': 48183444.61},{'peggedUSD': 0},{'peggedUSD': 48290254.67},{'peggedUSD': 0},{'peggedUSD': 48290254.67}
1652659200,{'peggedUSD': 49848826.18},{'peggedUSD': 0},{'peggedUSD': 49893813.66},{'peggedUSD': 0},{'peggedUSD': 49893813.66}
1652745600,{'peggedUSD': 54102523.88},{'peggedUSD': 0},{'peggedUSD': 54345965.36},{'peggedUSD': 0},{'peggedUSD': 54345965.36}
1652832000,{'peggedUSD': 58059101.99},{'peggedUSD': 0},{'peggedUSD': 58193472.83},{'peggedUSD': 0},{'peggedUSD': 58193472.83}
1652918400,{'peggedUSD': 55076521.23},{'peggedUSD': 0},{'peggedUSD': 55213867.15},{'peggedUSD': 0},{'peggedUSD': 55213867.15}
1653004800,{'peggedUSD': 55095482.82},{'peggedUSD': 0},{'peggedUSD': 55271167.97},{'peggedUSD': 0},{'peggedUSD': 55271167.97}
1653091200,{'peggedUSD': 55242432.7},{'peggedUSD': 0},{'peggedUSD': 55358987.08},{'peggedUSD': 0},{'peggedUSD': 55358987.08}
1653177600,{'peggedUSD': 55924507.67},{'peggedUSD': 0},{'peggedUSD': 56053509.76},{'peggedUSD': 0},{'peggedUSD': 56053509.76}
1653264000,{'peggedUSD': 76605059.96},{'peggedUSD': 0},{'peggedUSD': 76761277.14},{'peggedUSD': 0},{'peggedUSD': 76761277.14}
