date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1651449600,{'peggedUSD': 3100000},{'peggedUSD': 0},{'peggedUSD': 3096479.55},{'peggedUSD': 0},{'peggedUSD': 3096479.55}
1651536000,{'peggedUSD': 3100000},{'peggedUSD': 0},{'peggedUSD': 3096479.55},{'peggedUSD': 0},{'peggedUSD': 3096479.55}
1651622400,{'peggedUSD': 2900344.19},{'peggedUSD': 0},{'peggedUSD': 2896764.93},{'peggedUSD': 0},{'peggedUSD': 2896764.93}
1651708800,{'peggedUSD': 13546974.25},{'peggedUSD': 0},{'peggedUSD': 13591088.8},{'peggedUSD': 0},{'peggedUSD': 13591088.8}
1651795200,{'peggedUSD': 27011007.53},{'peggedUSD': 0},{'peggedUSD': 27130125.4},{'peggedUSD': 0},{'peggedUSD': 27130125.4}
1651881600,{'peggedUSD': 25018351.73},{'peggedUSD': 0},{'peggedUSD': 25100153.09},{'peggedUSD': 0},{'peggedUSD': 25100153.09}
1651968000,{'peggedUSD': 25096420.74},{'peggedUSD': 0},{'peggedUSD': 25190319.05},{'peggedUSD': 0},{'peggedUSD': 25190319.05}
1652054400,{'peggedUSD': 24340026.96},{'peggedUSD': 0},{'peggedUSD': 24371352.13},{'peggedUSD': 0},{'peggedUSD': 24371352.13}
1652140800,{'peggedUSD': 34945512.78},{'peggedUSD': 0},{'peggedUSD': 34990487.02},{'peggedUSD': 0},{'peggedUSD': 34990487.02}
1652227200,{'peggedUSD': 33121127.34},{'peggedUSD': 0},{'peggedUSD': 33184493.8},{'peggedUSD': 0},{'peggedUSD': 33184493.8}
1652313600,{'peggedUSD': 42997331.94},{'peggedUSD': 0},{'peggedUSD': 42614621.29},{'peggedUSD': 0},{'peggedUSD': 42614621.29}
1652400000,{'peggedUSD': 42595318.78},{'peggedUSD': 0},{'peggedUSD': 42417479.63},{'peggedUSD': 0},{'peggedUSD': 42417479.63}
1652486400,{'peggedUSD': 38916042.13},{'peggedUSD': 0},{'peggedUSD': 38924761.68},{'peggedUSD': 0},{'peggedUSD': 38924761.68}
1652572800,{'peggedUSD': 34791094.94},{'peggedUSD': 0},{'peggedUSD': 34868217.67},{'peggedUSD': 0},{'peggedUSD': 34868217.67}
1652659200,{'peggedUSD': 34815622.59},{'peggedUSD': 0},{'peggedUSD': 34847042.93},{'peggedUSD': 0},{'peggedUSD': 34847042.93}
1652745600,{'peggedUSD': 36140368.13},{'peggedUSD': 0},{'peggedUSD': 36302986.5},{'peggedUSD': 0},{'peggedUSD': 36302986.5}
