date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158999961.95},{'peggedUSD': 158999961.95},{'peggedUSD': 0}
1652400000,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158999961.95},{'peggedUSD': 158999961.95},{'peggedUSD': 0}
1652486400,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158999961.95},{'peggedUSD': 158999961.95},{'peggedUSD': 0}
1652572800,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158832337.83},{'peggedUSD': 158832337.83},{'peggedUSD': 0}
1652659200,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158859789.17},{'peggedUSD': 158859789.17},{'peggedUSD': 0}
1652745600,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158859789.17},{'peggedUSD': 158859789.17},{'peggedUSD': 0}
1652832000,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158834341.23},{'peggedUSD': 158834341.23},{'peggedUSD': 0}
1652918400,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158844828.87},{'peggedUSD': 158844828.87},{'peggedUSD': 0}
1653004800,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158901094.18},{'peggedUSD': 158901094.18},{'peggedUSD': 0}
1653091200,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158901094.18},{'peggedUSD': 158901094.18},{'peggedUSD': 0}
1653177600,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158825313.21},{'peggedUSD': 158825313.21},{'peggedUSD': 0}
1653264000,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158856861.98},{'peggedUSD': 158856861.98},{'peggedUSD': 0}
1653350400,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158840961.99},{'peggedUSD': 158840961.99},{'peggedUSD': 0}
1653436800,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158840961.99},{'peggedUSD': 158840961.99},{'peggedUSD': 0}
1653523200,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158838810.72},{'peggedUSD': 158838810.72},{'peggedUSD': 0}
1653609600,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158849982.05},{'peggedUSD': 158849982.05},{'peggedUSD': 0}
1653696000,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158859830.51},{'peggedUSD': 158859830.51},{'peggedUSD': 0}
1653782400,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158869357.79},{'peggedUSD': 158869357.79},{'peggedUSD': 0}
1653868800,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158938926.63},{'peggedUSD': 158938926.63},{'peggedUSD': 0}
1653955200,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158915036.89},{'peggedUSD': 158915036.89},{'peggedUSD': 0}
1654041600,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158915036.89},{'peggedUSD': 158915036.89},{'peggedUSD': 0}
1654128000,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158904561.97},{'peggedUSD': 158904561.97},{'peggedUSD': 0}
1654214400,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158920461.97},{'peggedUSD': 158920461.97},{'peggedUSD': 0}
1654300800,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158912725.03},{'peggedUSD': 158912725.03},{'peggedUSD': 0}
1654387200,{'peggedUSD': 158999961.95},{'peggedUSD': 0},{'peggedUSD': 158888661.97},{'peggedUSD': 158888661.97},{'peggedUSD': 0}
