date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 30869358.45},{'peggedUSD': 0},{'peggedUSD': 30869358.45},{'peggedUSD': 0},{'peggedUSD': 30869358.45}
1652400000,{'peggedUSD': 30865055.41},{'peggedUSD': 0},{'peggedUSD': 30865055.41},{'peggedUSD': 0},{'peggedUSD': 30865055.41}
1652486400,{'peggedUSD': 24379902.89},{'peggedUSD': 0},{'peggedUSD': 24379902.89},{'peggedUSD': 0},{'peggedUSD': 24379902.89}
1652572800,{'peggedUSD': 22768794.38},{'peggedUSD': 0},{'peggedUSD': 22744790.61},{'peggedUSD': 0},{'peggedUSD': 22744790.61}
1652659200,{'peggedUSD': 24847697.66},{'peggedUSD': 0},{'peggedUSD': 24825792.18},{'peggedUSD': 0},{'peggedUSD': 24825792.18}
1652745600,{'peggedUSD': 23809828.03},{'peggedUSD': 0},{'peggedUSD': 23788837.52},{'peggedUSD': 0},{'peggedUSD': 23788837.52}
1652832000,{'peggedUSD': 22071156},{'peggedUSD': 0},{'peggedUSD': 22048165.81},{'peggedUSD': 0},{'peggedUSD': 22048165.81}
1652918400,{'peggedUSD': 21831321.31},{'peggedUSD': 0},{'peggedUSD': 21810020.92},{'peggedUSD': 0},{'peggedUSD': 21810020.92}
1653004800,{'peggedUSD': 21425943.4},{'peggedUSD': 0},{'peggedUSD': 21412620.53},{'peggedUSD': 0},{'peggedUSD': 21412620.53}
1653091200,{'peggedUSD': 21966639.25},{'peggedUSD': 0},{'peggedUSD': 21952980.18},{'peggedUSD': 0},{'peggedUSD': 21952980.18}
1653177600,{'peggedUSD': 21785364.28},{'peggedUSD': 0},{'peggedUSD': 21761434.8},{'peggedUSD': 0},{'peggedUSD': 21761434.8}
1653264000,{'peggedUSD': 21467584.17},{'peggedUSD': 0},{'peggedUSD': 21448263.34},{'peggedUSD': 0},{'peggedUSD': 21448263.34}
1653350400,{'peggedUSD': 21508793.34},{'peggedUSD': 0},{'peggedUSD': 21487284.54},{'peggedUSD': 0},{'peggedUSD': 21487284.54}
1653436800,{'peggedUSD': 21508793.34},{'peggedUSD': 0},{'peggedUSD': 21487284.54},{'peggedUSD': 0},{'peggedUSD': 21487284.54}
1653523200,{'peggedUSD': 21989821.74},{'peggedUSD': 0},{'peggedUSD': 21967534.39},{'peggedUSD': 0},{'peggedUSD': 21967534.39}
1653609600,{'peggedUSD': 21970222.92},{'peggedUSD': 0},{'peggedUSD': 21949499.06},{'peggedUSD': 0},{'peggedUSD': 21949499.06}
1653696000,{'peggedUSD': 17006132.65},{'peggedUSD': 0},{'peggedUSD': 16991144.64},{'peggedUSD': 0},{'peggedUSD': 16991144.64}
1653782400,{'peggedUSD': 16921581.86},{'peggedUSD': 0},{'peggedUSD': 16907682.3},{'peggedUSD': 0},{'peggedUSD': 16907682.3}
1653868800,{'peggedUSD': 16922456.09},{'peggedUSD': 0},{'peggedUSD': 16915960.07},{'peggedUSD': 0},{'peggedUSD': 16915960.07}
1653955200,{'peggedUSD': 15916007.18},{'peggedUSD': 0},{'peggedUSD': 15907506.12},{'peggedUSD': 0},{'peggedUSD': 15907506.12}
1654041600,{'peggedUSD': 15367026.25},{'peggedUSD': 0},{'peggedUSD': 15358818.41},{'peggedUSD': 0},{'peggedUSD': 15358818.41}
1654128000,{'peggedUSD': 15026685.26},{'peggedUSD': 0},{'peggedUSD': 15017669.25},{'peggedUSD': 0},{'peggedUSD': 15017669.25}
1654214400,{'peggedUSD': 15044248.84},{'peggedUSD': 0},{'peggedUSD': 15036726.71},{'peggedUSD': 0},{'peggedUSD': 15036726.71}
1654300800,{'peggedUSD': 14608743.49},{'peggedUSD': 0},{'peggedUSD': 14600728.26},{'peggedUSD': 0},{'peggedUSD': 14600728.26}
1654387200,{'peggedUSD': 14608591.63},{'peggedUSD': 0},{'peggedUSD': 14598365.62},{'peggedUSD': 0},{'peggedUSD': 14598365.62}
1654473600,{'peggedUSD': 14608681.81},{'peggedUSD': 0},{'peggedUSD': 14599141.17},{'peggedUSD': 0},{'peggedUSD': 14599141.17}
1654560000,{'peggedUSD': 14539212.97},{'peggedUSD': 0},{'peggedUSD': 14531981.46},{'peggedUSD': 0},{'peggedUSD': 14531981.46}
1654646400,{'peggedUSD': 14425381.76},{'peggedUSD': 0},{'peggedUSD': 14418206.86},{'peggedUSD': 0},{'peggedUSD': 14418206.86}
