date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 242767091.8},{'peggedUSD': 0},{'peggedUSD': 242767091.8},{'peggedUSD': 0},{'peggedUSD': 242767091.8}
1652400000,{'peggedUSD': 240860137.05},{'peggedUSD': 0},{'peggedUSD': 240860137.05},{'peggedUSD': 0},{'peggedUSD': 240860137.05}
1652486400,{'peggedUSD': 173306964.17},{'peggedUSD': 0},{'peggedUSD': 173306964.17},{'peggedUSD': 0},{'peggedUSD': 173306964.17}
1652572800,{'peggedUSD': 168484941.24},{'peggedUSD': 0},{'peggedUSD': 168307317.68},{'peggedUSD': 0},{'peggedUSD': 168307317.68}
1652659200,{'peggedUSD': 139429033.11},{'peggedUSD': 0},{'peggedUSD': 139306113.87},{'peggedUSD': 0},{'peggedUSD': 139306113.87}
1652745600,{'peggedUSD': 125902323.7},{'peggedUSD': 0},{'peggedUSD': 125791329.47},{'peggedUSD': 0},{'peggedUSD': 125791329.47}
1652832000,{'peggedUSD': 121945806.94},{'peggedUSD': 0},{'peggedUSD': 121818783.31},{'peggedUSD': 0},{'peggedUSD': 121818783.31}
1652918400,{'peggedUSD': 120750662.69},{'peggedUSD': 0},{'peggedUSD': 120632848.68},{'peggedUSD': 0},{'peggedUSD': 120632848.68}
1653004800,{'peggedUSD': 120410922.18},{'peggedUSD': 0},{'peggedUSD': 120336049.47},{'peggedUSD': 0},{'peggedUSD': 120336049.47}
1653091200,{'peggedUSD': 107804493.04},{'peggedUSD': 0},{'peggedUSD': 107737459.13},{'peggedUSD': 0},{'peggedUSD': 107737459.13}
1653177600,{'peggedUSD': 107423924.44},{'peggedUSD': 0},{'peggedUSD': 107305927.85},{'peggedUSD': 0},{'peggedUSD': 107305927.85}
1653264000,{'peggedUSD': 107279075.78},{'peggedUSD': 0},{'peggedUSD': 107182524.61},{'peggedUSD': 0},{'peggedUSD': 107182524.61}
1653350400,{'peggedUSD': 108409644.21},{'peggedUSD': 0},{'peggedUSD': 108301234.56},{'peggedUSD': 0},{'peggedUSD': 108301234.56}
1653436800,{'peggedUSD': 108409460.95},{'peggedUSD': 0},{'peggedUSD': 108301051.49},{'peggedUSD': 0},{'peggedUSD': 108301051.49}
1653523200,{'peggedUSD': 182345543.55},{'peggedUSD': 0},{'peggedUSD': 182160730.87},{'peggedUSD': 0},{'peggedUSD': 182160730.87}
1653609600,{'peggedUSD': 179800135.18},{'peggedUSD': 0},{'peggedUSD': 179630535.1},{'peggedUSD': 0},{'peggedUSD': 179630535.1}
1653696000,{'peggedUSD': 173077388.33},{'peggedUSD': 0},{'peggedUSD': 172924850.03},{'peggedUSD': 0},{'peggedUSD': 172924850.03}
1653782400,{'peggedUSD': 172371508.56},{'peggedUSD': 0},{'peggedUSD': 172229920.88},{'peggedUSD': 0},{'peggedUSD': 172229920.88}
1653868800,{'peggedUSD': 172273533.89},{'peggedUSD': 0},{'peggedUSD': 172207403.25},{'peggedUSD': 0},{'peggedUSD': 172207403.25}
1653955200,{'peggedUSD': 170825042.83},{'peggedUSD': 0},{'peggedUSD': 170733801.75},{'peggedUSD': 0},{'peggedUSD': 170733801.75}
1654041600,{'peggedUSD': 169671274.35},{'peggedUSD': 0},{'peggedUSD': 169580649.53},{'peggedUSD': 0},{'peggedUSD': 169580649.53}
1654128000,{'peggedUSD': 169100551.64},{'peggedUSD': 0},{'peggedUSD': 168999091.31},{'peggedUSD': 0},{'peggedUSD': 168999091.31}
1654214400,{'peggedUSD': 162301385.26},{'peggedUSD': 0},{'peggedUSD': 162220234.57},{'peggedUSD': 0},{'peggedUSD': 162220234.57}
1654300800,{'peggedUSD': 159401210.7},{'peggedUSD': 0},{'peggedUSD': 159313753.63},{'peggedUSD': 0},{'peggedUSD': 159313753.63}
1654387200,{'peggedUSD': 156828247.42},{'peggedUSD': 0},{'peggedUSD': 156718467.65},{'peggedUSD': 0},{'peggedUSD': 156718467.65}
1654473600,{'peggedUSD': 158105762.16},{'peggedUSD': 0},{'peggedUSD': 158002506.45},{'peggedUSD': 0},{'peggedUSD': 158002506.45}
1654560000,{'peggedUSD': 77195365.12},{'peggedUSD': 0},{'peggedUSD': 77156969.69},{'peggedUSD': 0},{'peggedUSD': 77156969.69}
1654646400,{'peggedUSD': 78023333.38},{'peggedUSD': 0},{'peggedUSD': 77984526.13},{'peggedUSD': 0},{'peggedUSD': 77984526.13}
1654732800,{'peggedUSD': 78851192.87},{'peggedUSD': 0},{'peggedUSD': 78816592.18},{'peggedUSD': 0},{'peggedUSD': 78816592.18}
1654819200,{'peggedUSD': 78260882.14},{'peggedUSD': 0},{'peggedUSD': 78226830.05},{'peggedUSD': 0},{'peggedUSD': 78226830.05}
1654905600,{'peggedUSD': 80862122.61},{'peggedUSD': 0},{'peggedUSD': 80837516.27},{'peggedUSD': 0},{'peggedUSD': 80837516.27}
1654992000,{'peggedUSD': 81380252.77},{'peggedUSD': 0},{'peggedUSD': 81319061.33},{'peggedUSD': 0},{'peggedUSD': 81319061.33}
1655078400,{'peggedUSD': 82256344.85},{'peggedUSD': 0},{'peggedUSD': 82223442.31},{'peggedUSD': 0},{'peggedUSD': 82223442.31}
1655164800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655251200,{'peggedUSD': 82010161.57},{'peggedUSD': 0},{'peggedUSD': 81923510.46},{'peggedUSD': 0},{'peggedUSD': 81923510.46}
1655337600,{'peggedUSD': 77162413.35},{'peggedUSD': 0},{'peggedUSD': 77054385.97},{'peggedUSD': 0},{'peggedUSD': 77054385.97}
1655424000,{'peggedUSD': 75714730.63},{'peggedUSD': 0},{'peggedUSD': 75631324.8},{'peggedUSD': 0},{'peggedUSD': 75631324.8}
1655510400,{'peggedUSD': 75314077.48},{'peggedUSD': 0},{'peggedUSD': 75224830.3},{'peggedUSD': 0},{'peggedUSD': 75224830.3}
1655596800,{'peggedUSD': 74115069.22},{'peggedUSD': 0},{'peggedUSD': 74039454.06},{'peggedUSD': 0},{'peggedUSD': 74039454.06}
1655683200,{'peggedUSD': 74250811.26},{'peggedUSD': 0},{'peggedUSD': 74155622.46},{'peggedUSD': 0},{'peggedUSD': 74155622.46}
1655769600,{'peggedUSD': 72186801.27},{'peggedUSD': 0},{'peggedUSD': 72107395.79},{'peggedUSD': 0},{'peggedUSD': 72107395.79}
1655856000,{'peggedUSD': 71468312.39},{'peggedUSD': 0},{'peggedUSD': 71395675.57},{'peggedUSD': 0},{'peggedUSD': 71395675.57}
1655942400,{'peggedUSD': 68877653.54},{'peggedUSD': 0},{'peggedUSD': 68832296.92},{'peggedUSD': 0},{'peggedUSD': 68832296.92}
1656028800,{'peggedUSD': 68062470.45},{'peggedUSD': 0},{'peggedUSD': 68006734.77},{'peggedUSD': 0},{'peggedUSD': 68006734.77}
1656115200,{'peggedUSD': 64501497.79},{'peggedUSD': 0},{'peggedUSD': 64451336.91},{'peggedUSD': 0},{'peggedUSD': 64451336.91}
1656201600,{'peggedUSD': 63711405.93},{'peggedUSD': 0},{'peggedUSD': 63666807.95},{'peggedUSD': 0},{'peggedUSD': 63666807.95}
1656288000,{'peggedUSD': 63418803.07},{'peggedUSD': 0},{'peggedUSD': 63383712.18},{'peggedUSD': 0},{'peggedUSD': 63383712.18}
1656374400,{'peggedUSD': 63894745.94},{'peggedUSD': 0},{'peggedUSD': 63859468.37},{'peggedUSD': 0},{'peggedUSD': 63859468.37}
1656460800,{'peggedUSD': 59906869.81},{'peggedUSD': 0},{'peggedUSD': 59852953.62},{'peggedUSD': 0},{'peggedUSD': 59852953.62}
1656547200,{'peggedUSD': 59392389.13},{'peggedUSD': 0},{'peggedUSD': 59328405.11},{'peggedUSD': 0},{'peggedUSD': 59328405.11}
1656633600,{'peggedUSD': 59045994.53},{'peggedUSD': 0},{'peggedUSD': 58981354.52},{'peggedUSD': 0},{'peggedUSD': 58981354.52}
1656720000,{'peggedUSD': 58432582.42},{'peggedUSD': 0},{'peggedUSD': 58369427.32},{'peggedUSD': 0},{'peggedUSD': 58369427.32}
1656806400,{'peggedUSD': 58094088.83},{'peggedUSD': 0},{'peggedUSD': 58036679.67},{'peggedUSD': 0},{'peggedUSD': 58036679.67}
