date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130203383.4},{'peggedUSD': 0},{'peggedUSD': 130203383.4}
1609459200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130006768.4},{'peggedUSD': 0},{'peggedUSD': 130006768.4}
1609545600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130259038.91},{'peggedUSD': 0},{'peggedUSD': 130259038.91}
1609632000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130405666.21},{'peggedUSD': 0},{'peggedUSD': 130405666.21}
1609718400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130093754.24},{'peggedUSD': 0},{'peggedUSD': 130093754.24}
1609804800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129961796.58},{'peggedUSD': 0},{'peggedUSD': 129961796.58}
1609891200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130357133.22},{'peggedUSD': 0},{'peggedUSD': 130357133.22}
1609977600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 131018098.72},{'peggedUSD': 0},{'peggedUSD': 131018098.72}
1610064000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130145986.93},{'peggedUSD': 0},{'peggedUSD': 130145986.93}
1610150400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130334792.08},{'peggedUSD': 0},{'peggedUSD': 130334792.08}
1610236800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130679662.2},{'peggedUSD': 0},{'peggedUSD': 130679662.2}
1610323200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130265891.11},{'peggedUSD': 0},{'peggedUSD': 130265891.11}
1610409600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 131107398.87},{'peggedUSD': 0},{'peggedUSD': 131107398.87}
1610496000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130302286.08},{'peggedUSD': 0},{'peggedUSD': 130302286.08}
1610582400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130470411.47},{'peggedUSD': 0},{'peggedUSD': 130470411.47}
1610668800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129723926.33},{'peggedUSD': 0},{'peggedUSD': 129723926.33}
1610755200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130067854.93},{'peggedUSD': 0},{'peggedUSD': 130067854.93}
1610841600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130278337.51},{'peggedUSD': 0},{'peggedUSD': 130278337.51}
1610928000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129763705.59},{'peggedUSD': 0},{'peggedUSD': 129763705.59}
1611014400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130019482.91},{'peggedUSD': 0},{'peggedUSD': 130019482.91}
1611100800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129669553.38},{'peggedUSD': 0},{'peggedUSD': 129669553.38}
1611187200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129708320.1},{'peggedUSD': 0},{'peggedUSD': 129708320.1}
1611273600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130053535.95},{'peggedUSD': 0},{'peggedUSD': 130053535.95}
1611360000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130053535.95},{'peggedUSD': 0},{'peggedUSD': 130053535.95}
1611446400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129815617.2},{'peggedUSD': 0},{'peggedUSD': 129815617.2}
1611532800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129946198.97},{'peggedUSD': 0},{'peggedUSD': 129946198.97}
1611619200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130109944.67},{'peggedUSD': 0},{'peggedUSD': 130109944.67}
1611705600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130416162.96},{'peggedUSD': 0},{'peggedUSD': 130416162.96}
1611792000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130269717.81},{'peggedUSD': 0},{'peggedUSD': 130269717.81}
1611878400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129851871.07},{'peggedUSD': 0},{'peggedUSD': 129851871.07}
1611964800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129355239.91},{'peggedUSD': 0},{'peggedUSD': 129355239.91}
1612051200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129545678.83},{'peggedUSD': 0},{'peggedUSD': 129545678.83}
1612137600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130115605.96},{'peggedUSD': 0},{'peggedUSD': 130115605.96}
1612224000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129669340.18},{'peggedUSD': 0},{'peggedUSD': 129669340.18}
1612310400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130120801.69},{'peggedUSD': 0},{'peggedUSD': 130120801.69}
1612396800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129989506.21},{'peggedUSD': 0},{'peggedUSD': 129989506.21}
1612483200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130181494.12},{'peggedUSD': 0},{'peggedUSD': 130181494.12}
1612569600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130265227.31},{'peggedUSD': 0},{'peggedUSD': 130265227.31}
1612656000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129919067.47},{'peggedUSD': 0},{'peggedUSD': 129919067.47}
1612742400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129835352.32},{'peggedUSD': 0},{'peggedUSD': 129835352.32}
1612828800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 130385855.43},{'peggedUSD': 0},{'peggedUSD': 130385855.43}
1612915200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129422970.12},{'peggedUSD': 0},{'peggedUSD': 129422970.12}
1613001600,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129742449.53},{'peggedUSD': 0},{'peggedUSD': 129742449.53}
1613088000,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129688851.21},{'peggedUSD': 0},{'peggedUSD': 129688851.21}
1613174400,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129631588.27},{'peggedUSD': 0},{'peggedUSD': 129631588.27}
1613260800,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129840670.62},{'peggedUSD': 0},{'peggedUSD': 129840670.62}
1613347200,{'peggedUSD': 130000000},{'peggedUSD': 0},{'peggedUSD': 129519159.29},{'peggedUSD': 0},{'peggedUSD': 129519159.29}
1613433600,{'peggedUSD': 150000000},{'peggedUSD': 0},{'peggedUSD': 150026902.54},{'peggedUSD': 0},{'peggedUSD': 150026902.54}
1613520000,{'peggedUSD': 170000000},{'peggedUSD': 0},{'peggedUSD': 170183382.22},{'peggedUSD': 0},{'peggedUSD': 170183382.22}
1613606400,{'peggedUSD': 180000000},{'peggedUSD': 0},{'peggedUSD': 180121282.15},{'peggedUSD': 0},{'peggedUSD': 180121282.15}
1613692800,{'peggedUSD': 210000000},{'peggedUSD': 0},{'peggedUSD': 210060740.06},{'peggedUSD': 0},{'peggedUSD': 210060740.06}
1613779200,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 241523860.83},{'peggedUSD': 0},{'peggedUSD': 241523860.83}
1613865600,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 241213550.67},{'peggedUSD': 0},{'peggedUSD': 241213550.67}
1613952000,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 240861796.35},{'peggedUSD': 0},{'peggedUSD': 240861796.35}
1614038400,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 241263713.04},{'peggedUSD': 0},{'peggedUSD': 241263713.04}
1614124800,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 240890177.61},{'peggedUSD': 0},{'peggedUSD': 240890177.61}
1614211200,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 242469255.65},{'peggedUSD': 0},{'peggedUSD': 242469255.65}
1614297600,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 240893198.01},{'peggedUSD': 0},{'peggedUSD': 240893198.01}
1614384000,{'peggedUSD': 240000000},{'peggedUSD': 0},{'peggedUSD': 241930814.45},{'peggedUSD': 0},{'peggedUSD': 241930814.45}
