date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 5634408.81},{'peggedUSD': 0},{'peggedUSD': 5634408.81},{'peggedUSD': 0},{'peggedUSD': 5634408.81}
1652400000,{'peggedUSD': 5594331.76},{'peggedUSD': 0},{'peggedUSD': 5594331.76},{'peggedUSD': 0},{'peggedUSD': 5594331.76}
1652486400,{'peggedUSD': 5856263.33},{'peggedUSD': 0},{'peggedUSD': 5856263.33},{'peggedUSD': 0},{'peggedUSD': 5856263.33}
1652572800,{'peggedUSD': 5732232.95},{'peggedUSD': 0},{'peggedUSD': 5726189.8},{'peggedUSD': 0},{'peggedUSD': 5726189.8}
1652659200,{'peggedUSD': 5813121.36},{'peggedUSD': 0},{'peggedUSD': 5807996.58},{'peggedUSD': 0},{'peggedUSD': 5807996.58}
1652745600,{'peggedUSD': 5820325.67},{'peggedUSD': 0},{'peggedUSD': 5815194.53},{'peggedUSD': 0},{'peggedUSD': 5815194.53}
1652832000,{'peggedUSD': 5855254.46},{'peggedUSD': 0},{'peggedUSD': 5849155.39},{'peggedUSD': 0},{'peggedUSD': 5849155.39}
1652918400,{'peggedUSD': 5830707.68},{'peggedUSD': 0},{'peggedUSD': 5825018.78},{'peggedUSD': 0},{'peggedUSD': 5825018.78}
1653004800,{'peggedUSD': 5877030.9},{'peggedUSD': 0},{'peggedUSD': 5873376.5},{'peggedUSD': 0},{'peggedUSD': 5873376.5}
1653091200,{'peggedUSD': 5808297.71},{'peggedUSD': 0},{'peggedUSD': 5804686.05},{'peggedUSD': 0},{'peggedUSD': 5804686.05}
1653177600,{'peggedUSD': 6281530.85},{'peggedUSD': 0},{'peggedUSD': 6274631.09},{'peggedUSD': 0},{'peggedUSD': 6274631.09}
1653264000,{'peggedUSD': 6375153.13},{'peggedUSD': 0},{'peggedUSD': 6369415.49},{'peggedUSD': 0},{'peggedUSD': 6369415.49}
1653350400,{'peggedUSD': 6309416.95},{'peggedUSD': 0},{'peggedUSD': 6303107.54},{'peggedUSD': 0},{'peggedUSD': 6303107.54}
1653436800,{'peggedUSD': 6309415.38},{'peggedUSD': 0},{'peggedUSD': 6303105.97},{'peggedUSD': 0},{'peggedUSD': 6303105.97}
1653523200,{'peggedUSD': 6255958},{'peggedUSD': 0},{'peggedUSD': 6249617.39},{'peggedUSD': 0},{'peggedUSD': 6249617.39}
1653609600,{'peggedUSD': 6553412.56},{'peggedUSD': 0},{'peggedUSD': 6547230.93},{'peggedUSD': 0},{'peggedUSD': 6547230.93}
1653696000,{'peggedUSD': 6690371.33},{'peggedUSD': 0},{'peggedUSD': 6684474.9},{'peggedUSD': 0},{'peggedUSD': 6684474.9}
1653782400,{'peggedUSD': 6474873.04},{'peggedUSD': 0},{'peggedUSD': 6469554.51},{'peggedUSD': 0},{'peggedUSD': 6469554.51}
1653868800,{'peggedUSD': 6444369.18},{'peggedUSD': 0},{'peggedUSD': 6441895.38},{'peggedUSD': 0},{'peggedUSD': 6441895.38}
1653955200,{'peggedUSD': 6499739.75},{'peggedUSD': 0},{'peggedUSD': 6496268.11},{'peggedUSD': 0},{'peggedUSD': 6496268.11}
1654041600,{'peggedUSD': 6326352.17},{'peggedUSD': 0},{'peggedUSD': 6322973.14},{'peggedUSD': 0},{'peggedUSD': 6322973.14}
1654128000,{'peggedUSD': 6624643.2},{'peggedUSD': 0},{'peggedUSD': 6620668.42},{'peggedUSD': 0},{'peggedUSD': 6620668.42}
1654214400,{'peggedUSD': 6606697.09},{'peggedUSD': 0},{'peggedUSD': 6603393.74},{'peggedUSD': 0},{'peggedUSD': 6603393.74}
1654300800,{'peggedUSD': 6458381.13},{'peggedUSD': 0},{'peggedUSD': 6454837.68},{'peggedUSD': 0},{'peggedUSD': 6454837.68}
1654387200,{'peggedUSD': 6478302.33},{'peggedUSD': 0},{'peggedUSD': 6473767.52},{'peggedUSD': 0},{'peggedUSD': 6473767.52}
1654473600,{'peggedUSD': 6408347.45},{'peggedUSD': 0},{'peggedUSD': 6404162.29},{'peggedUSD': 0},{'peggedUSD': 6404162.29}
1654560000,{'peggedUSD': 6420383.8},{'peggedUSD': 0},{'peggedUSD': 6417190.43},{'peggedUSD': 0},{'peggedUSD': 6417190.43}
1654646400,{'peggedUSD': 6358133.99},{'peggedUSD': 0},{'peggedUSD': 6354971.58},{'peggedUSD': 0},{'peggedUSD': 6354971.58}
1654732800,{'peggedUSD': 6169483.25},{'peggedUSD': 0},{'peggedUSD': 6166776.02},{'peggedUSD': 0},{'peggedUSD': 6166776.02}
1654819200,{'peggedUSD': 5882116.76},{'peggedUSD': 0},{'peggedUSD': 5879557.4},{'peggedUSD': 0},{'peggedUSD': 5879557.4}
1654905600,{'peggedUSD': 6083155.02},{'peggedUSD': 0},{'peggedUSD': 6081303.92},{'peggedUSD': 0},{'peggedUSD': 6081303.92}
1654992000,{'peggedUSD': 5754862.12},{'peggedUSD': 0},{'peggedUSD': 5750534.93},{'peggedUSD': 0},{'peggedUSD': 5750534.93}
1655078400,{'peggedUSD': 5608169.6},{'peggedUSD': 0},{'peggedUSD': 5605926.33},{'peggedUSD': 0},{'peggedUSD': 5605926.33}
1655164800,{'peggedUSD': 4806979.55},{'peggedUSD': 0},{'peggedUSD': 4798807.68},{'peggedUSD': 0},{'peggedUSD': 4798807.68}
1655251200,{'peggedUSD': 4234029.26},{'peggedUSD': 0},{'peggedUSD': 4229555.62},{'peggedUSD': 0},{'peggedUSD': 4229555.62}
1655337600,{'peggedUSD': 4374379.63},{'peggedUSD': 0},{'peggedUSD': 4368255.5},{'peggedUSD': 0},{'peggedUSD': 4368255.5}
1655424000,{'peggedUSD': 4402247.72},{'peggedUSD': 0},{'peggedUSD': 4397398.3},{'peggedUSD': 0},{'peggedUSD': 4397398.3}
1655510400,{'peggedUSD': 4552459.95},{'peggedUSD': 0},{'peggedUSD': 4547065.28},{'peggedUSD': 0},{'peggedUSD': 4547065.28}
1655596800,{'peggedUSD': 4465306.18},{'peggedUSD': 0},{'peggedUSD': 4460750.5},{'peggedUSD': 0},{'peggedUSD': 4460750.5}
1655683200,{'peggedUSD': 4207897.24},{'peggedUSD': 0},{'peggedUSD': 4202502.76},{'peggedUSD': 0},{'peggedUSD': 4202502.76}
1655769600,{'peggedUSD': 4323490.03},{'peggedUSD': 0},{'peggedUSD': 4318734.19},{'peggedUSD': 0},{'peggedUSD': 4318734.19}
1655856000,{'peggedUSD': 4303019.53},{'peggedUSD': 0},{'peggedUSD': 4298646.15},{'peggedUSD': 0},{'peggedUSD': 4298646.15}
1655942400,{'peggedUSD': 4204023.53},{'peggedUSD': 0},{'peggedUSD': 4201255.14},{'peggedUSD': 0},{'peggedUSD': 4201255.14}
1656028800,{'peggedUSD': 4010248.3},{'peggedUSD': 0},{'peggedUSD': 4006964.35},{'peggedUSD': 0},{'peggedUSD': 4006964.35}
1656115200,{'peggedUSD': 3782989.74},{'peggedUSD': 0},{'peggedUSD': 3780047.82},{'peggedUSD': 0},{'peggedUSD': 3780047.82}
1656201600,{'peggedUSD': 3737644.51},{'peggedUSD': 0},{'peggedUSD': 3735028.15},{'peggedUSD': 0},{'peggedUSD': 3735028.15}
1656288000,{'peggedUSD': 3848642.71},{'peggedUSD': 0},{'peggedUSD': 3846513.17},{'peggedUSD': 0},{'peggedUSD': 3846513.17}
1656374400,{'peggedUSD': 4092618.42},{'peggedUSD': 0},{'peggedUSD': 4090358.8},{'peggedUSD': 0},{'peggedUSD': 4090358.8}
1656460800,{'peggedUSD': 4627506.2},{'peggedUSD': 0},{'peggedUSD': 4623341.44},{'peggedUSD': 0},{'peggedUSD': 4623341.44}
1656547200,{'peggedUSD': 5109744.57},{'peggedUSD': 0},{'peggedUSD': 5104239.79},{'peggedUSD': 0},{'peggedUSD': 5104239.79}
1656633600,{'peggedUSD': 4805798.39},{'peggedUSD': 0},{'peggedUSD': 4800537.29},{'peggedUSD': 0},{'peggedUSD': 4800537.29}
1656720000,{'peggedUSD': 4787476.55},{'peggedUSD': 0},{'peggedUSD': 4782302.15},{'peggedUSD': 0},{'peggedUSD': 4782302.15}
1656806400,{'peggedUSD': 4789137.75},{'peggedUSD': 0},{'peggedUSD': 4784405.07},{'peggedUSD': 0},{'peggedUSD': 4784405.07}
1656892800,{'peggedUSD': 4577203.46},{'peggedUSD': 0},{'peggedUSD': 4573065.81},{'peggedUSD': 0},{'peggedUSD': 4573065.81}
1656979200,{'peggedUSD': 4594578.38},{'peggedUSD': 0},{'peggedUSD': 4590032.5},{'peggedUSD': 0},{'peggedUSD': 4590032.5}
1657065600,{'peggedUSD': 4666608.99},{'peggedUSD': 0},{'peggedUSD': 4665481.02},{'peggedUSD': 0},{'peggedUSD': 4665481.02}
1657152000,{'peggedUSD': 4715420.94},{'peggedUSD': 0},{'peggedUSD': 4713916.86},{'peggedUSD': 0},{'peggedUSD': 4713916.86}
