date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72764.19}
1652400000,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72764.19}
1652486400,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72764.19}
1652572800,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72687.48},{'peggedUSD': 0},{'peggedUSD': 72687.48}
1652659200,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72700.04},{'peggedUSD': 0},{'peggedUSD': 72700.04}
1652745600,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72700.04},{'peggedUSD': 0},{'peggedUSD': 72700.04}
1652832000,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72688.4},{'peggedUSD': 0},{'peggedUSD': 72688.4}
1652918400,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72693.2},{'peggedUSD': 0},{'peggedUSD': 72693.2}
1653004800,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72718.94},{'peggedUSD': 0},{'peggedUSD': 72718.94}
1653091200,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72718.94},{'peggedUSD': 0},{'peggedUSD': 72718.94}
1653177600,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72684.26},{'peggedUSD': 0},{'peggedUSD': 72684.26}
1653264000,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72698.7},{'peggedUSD': 0},{'peggedUSD': 72698.7}
1653350400,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72691.43},{'peggedUSD': 0},{'peggedUSD': 72691.43}
1653436800,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72691.43},{'peggedUSD': 0},{'peggedUSD': 72691.43}
1653523200,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72690.44},{'peggedUSD': 0},{'peggedUSD': 72690.44}
1653609600,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72695.55},{'peggedUSD': 0},{'peggedUSD': 72695.55}
1653696000,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72700.06},{'peggedUSD': 0},{'peggedUSD': 72700.06}
1653782400,{'peggedUSD': 72764.19},{'peggedUSD': 0},{'peggedUSD': 72704.42},{'peggedUSD': 0},{'peggedUSD': 72704.42}
1653868800,{'peggedUSD': 72736.91},{'peggedUSD': 0},{'peggedUSD': 72708.99},{'peggedUSD': 0},{'peggedUSD': 72708.99}
1653955200,{'peggedUSD': 72736.91},{'peggedUSD': 0},{'peggedUSD': 72698.06},{'peggedUSD': 0},{'peggedUSD': 72698.06}
1654041600,{'peggedUSD': 72736.91},{'peggedUSD': 0},{'peggedUSD': 72698.06},{'peggedUSD': 0},{'peggedUSD': 72698.06}
1654128000,{'peggedUSD': 72736.91},{'peggedUSD': 0},{'peggedUSD': 72693.27},{'peggedUSD': 0},{'peggedUSD': 72693.27}
1654214400,{'peggedUSD': 72736.91},{'peggedUSD': 0},{'peggedUSD': 72700.54},{'peggedUSD': 0},{'peggedUSD': 72700.54}
1654300800,{'peggedUSD': 72736.91},{'peggedUSD': 0},{'peggedUSD': 72697},{'peggedUSD': 0},{'peggedUSD': 72697}
