date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78250427},{'peggedUSD': 78250427},{'peggedUSD': 0}
1652400000,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78250427},{'peggedUSD': 78250427},{'peggedUSD': 0}
1652486400,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78250427},{'peggedUSD': 78250427},{'peggedUSD': 0}
1652572800,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78167932.27},{'peggedUSD': 78167932.27},{'peggedUSD': 0}
1652659200,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78181442.21},{'peggedUSD': 78181442.21},{'peggedUSD': 0}
1652745600,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78181442.21},{'peggedUSD': 78181442.21},{'peggedUSD': 0}
1652832000,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78168918.23},{'peggedUSD': 78168918.23},{'peggedUSD': 0}
1652918400,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78174079.62},{'peggedUSD': 78174079.62},{'peggedUSD': 0}
1653004800,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78201770.1},{'peggedUSD': 78201770.1},{'peggedUSD': 0}
1653091200,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78201770.1},{'peggedUSD': 78201770.1},{'peggedUSD': 0}
1653177600,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78164475.17},{'peggedUSD': 78164475.17},{'peggedUSD': 0}
1653264000,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78180001.62},{'peggedUSD': 78180001.62},{'peggedUSD': 0}
1653350400,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78172176.57},{'peggedUSD': 78172176.57},{'peggedUSD': 0}
1653436800,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78172176.57},{'peggedUSD': 78172176.57},{'peggedUSD': 0}
1653523200,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78171117.84},{'peggedUSD': 78171117.84},{'peggedUSD': 0}
1653609600,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78176615.72},{'peggedUSD': 78176615.72},{'peggedUSD': 0}
1653696000,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78181462.55},{'peggedUSD': 78181462.55},{'peggedUSD': 0}
1653782400,{'peggedUSD': 78250427},{'peggedUSD': 7000573},{'peggedUSD': 78186151.32},{'peggedUSD': 78186151.32},{'peggedUSD': 0}
