date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 12962834369.96},{'peggedUSD': 35442117.57},{'peggedUSD': 12983114565.2},{'peggedUSD': 13227232922.67},{'peggedUSD': 0}
1609459200,{'peggedUSD': 13127933832.97},{'peggedUSD': 159742117.57},{'peggedUSD': 13128617334.04},{'peggedUSD': 13382968146.89},{'peggedUSD': 0}
1609545600,{'peggedUSD': 13118372135.72},{'peggedUSD': 164742117.58},{'peggedUSD': 13144511896.12},{'peggedUSD': 13403927048.72},{'peggedUSD': 0}
1609632000,{'peggedUSD': 13126053611.93},{'peggedUSD': 146742117.58},{'peggedUSD': 13167013584.51},{'peggedUSD': 13437071473.03},{'peggedUSD': 0}
1609718400,{'peggedUSD': 13266134880.86},{'peggedUSD': 35742117.58},{'peggedUSD': 13275702237.79},{'peggedUSD': 13516011943.95},{'peggedUSD': 0}
1609804800,{'peggedUSD': 13255191132.48},{'peggedUSD': 12442117.58},{'peggedUSD': 13251295796.44},{'peggedUSD': 13525595434.97},{'peggedUSD': 0}
1609891200,{'peggedUSD': 13344682466.46},{'peggedUSD': 125075606.97},{'peggedUSD': 13381342693.1},{'peggedUSD': 13654346075.42},{'peggedUSD': 0}
1609977600,{'peggedUSD': 13534560524.66},{'peggedUSD': 214171753.09},{'peggedUSD': 13640556822.7},{'peggedUSD': 13934424815.04},{'peggedUSD': 0}
1610064000,{'peggedUSD': 13695950573.41},{'peggedUSD': 54959355.47},{'peggedUSD': 13711330802.82},{'peggedUSD': 14001062589.14},{'peggedUSD': 0}
1610150400,{'peggedUSD': 13813763871.4},{'peggedUSD': 257853770.97},{'peggedUSD': 13849338785.2},{'peggedUSD': 14118729848.14},{'peggedUSD': 0}
1610236800,{'peggedUSD': 13903763483.52},{'peggedUSD': 232369255.49},{'peggedUSD': 13976454733.55},{'peggedUSD': 14181706221.45},{'peggedUSD': 0}
1610323200,{'peggedUSD': 13862511464.92},{'peggedUSD': 253869255.49},{'peggedUSD': 13890864684.26},{'peggedUSD': 14115258701.98},{'peggedUSD': 0}
1610409600,{'peggedUSD': 14121796493.57},{'peggedUSD': 69874164.15},{'peggedUSD': 14242092350.68},{'peggedUSD': 14391511622.15},{'peggedUSD': 0}
1610496000,{'peggedUSD': 14322013153.85},{'peggedUSD': 272468922.96},{'peggedUSD': 14355315809.13},{'peggedUSD': 14500999560.66},{'peggedUSD': 0}
1610582400,{'peggedUSD': 14449060180.36},{'peggedUSD': 133468922.96},{'peggedUSD': 14501344823.31},{'peggedUSD': 14659212772.43},{'peggedUSD': 0}
1610668800,{'peggedUSD': 14374317999.4},{'peggedUSD': 207560250.12},{'peggedUSD': 14343792070.25},{'peggedUSD': 14501406251.11},{'peggedUSD': 0}
1610755200,{'peggedUSD': 14414793975.46},{'peggedUSD': 185560250.12},{'peggedUSD': 14422317935.44},{'peggedUSD': 14561864368.72},{'peggedUSD': 0}
1610841600,{'peggedUSD': 14405235673.86},{'peggedUSD': 188560250.12},{'peggedUSD': 14436078115.79},{'peggedUSD': 14582422713.68},{'peggedUSD': 0}
