date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1398502.07},{'peggedUSD': 0},{'peggedUSD': 1398502.07},{'peggedUSD': 0},{'peggedUSD': 1398502.07}
1652400000,{'peggedUSD': 1398502.07},{'peggedUSD': 0},{'peggedUSD': 1398502.07},{'peggedUSD': 0},{'peggedUSD': 1398502.07}
1652486400,{'peggedUSD': 1118666.24},{'peggedUSD': 0},{'peggedUSD': 1118666.24},{'peggedUSD': 0},{'peggedUSD': 1118666.24}
1652572800,{'peggedUSD': 1115343.03},{'peggedUSD': 0},{'peggedUSD': 1114167.19},{'peggedUSD': 0},{'peggedUSD': 1114167.19}
1652659200,{'peggedUSD': 1127265.53},{'peggedUSD': 0},{'peggedUSD': 1126271.75},{'peggedUSD': 0},{'peggedUSD': 1126271.75}
1652745600,{'peggedUSD': 1129658.76},{'peggedUSD': 0},{'peggedUSD': 1128662.86},{'peggedUSD': 0},{'peggedUSD': 1128662.86}
1652832000,{'peggedUSD': 1130703.22},{'peggedUSD': 0},{'peggedUSD': 1129525.44},{'peggedUSD': 0},{'peggedUSD': 1129525.44}
1652918400,{'peggedUSD': 1129493.66},{'peggedUSD': 0},{'peggedUSD': 1128391.64},{'peggedUSD': 0},{'peggedUSD': 1128391.64}
1653004800,{'peggedUSD': 1127412.14},{'peggedUSD': 0},{'peggedUSD': 1126711.1},{'peggedUSD': 0},{'peggedUSD': 1126711.1}
1653091200,{'peggedUSD': 1126932.62},{'peggedUSD': 0},{'peggedUSD': 1126231.89},{'peggedUSD': 0},{'peggedUSD': 1126231.89}
1653177600,{'peggedUSD': 1126920.87},{'peggedUSD': 0},{'peggedUSD': 1125683.03},{'peggedUSD': 0},{'peggedUSD': 1125683.03}
1653264000,{'peggedUSD': 1128772.11},{'peggedUSD': 0},{'peggedUSD': 1127756.21},{'peggedUSD': 0},{'peggedUSD': 1127756.21}
1653350400,{'peggedUSD': 1128041.74},{'peggedUSD': 0},{'peggedUSD': 1126913.7},{'peggedUSD': 0},{'peggedUSD': 1126913.7}
1653436800,{'peggedUSD': 1128041.74},{'peggedUSD': 0},{'peggedUSD': 1126913.7},{'peggedUSD': 0},{'peggedUSD': 1126913.7}
1653523200,{'peggedUSD': 1127599.48},{'peggedUSD': 0},{'peggedUSD': 1126456.62},{'peggedUSD': 0},{'peggedUSD': 1126456.62}
1653609600,{'peggedUSD': 1127516.81},{'peggedUSD': 0},{'peggedUSD': 1126453.26},{'peggedUSD': 0},{'peggedUSD': 1126453.26}
1653696000,{'peggedUSD': 1142076.82},{'peggedUSD': 0},{'peggedUSD': 1141070.28},{'peggedUSD': 0},{'peggedUSD': 1141070.28}
1653782400,{'peggedUSD': 1344238.81},{'peggedUSD': 0},{'peggedUSD': 1343134.64},{'peggedUSD': 0},{'peggedUSD': 1343134.64}
1653868800,{'peggedUSD': 1344993.87},{'peggedUSD': 0},{'peggedUSD': 1344477.56},{'peggedUSD': 0},{'peggedUSD': 1344477.56}
1653955200,{'peggedUSD': 1336733.52},{'peggedUSD': 0},{'peggedUSD': 1336019.54},{'peggedUSD': 0},{'peggedUSD': 1336019.54}
1654041600,{'peggedUSD': 1335749.54},{'peggedUSD': 0},{'peggedUSD': 1335036.09},{'peggedUSD': 0},{'peggedUSD': 1335036.09}
1654128000,{'peggedUSD': 1334486.65},{'peggedUSD': 0},{'peggedUSD': 1333685.96},{'peggedUSD': 0},{'peggedUSD': 1333685.96}
1654214400,{'peggedUSD': 1332526.48},{'peggedUSD': 0},{'peggedUSD': 1331860.21},{'peggedUSD': 0},{'peggedUSD': 1331860.21}
1654300800,{'peggedUSD': 1331600.54},{'peggedUSD': 0},{'peggedUSD': 1330869.95},{'peggedUSD': 0},{'peggedUSD': 1330869.95}
1654387200,{'peggedUSD': 1300778.93},{'peggedUSD': 0},{'peggedUSD': 1299868.38},{'peggedUSD': 0},{'peggedUSD': 1299868.38}
1654473600,{'peggedUSD': 1304148.47},{'peggedUSD': 0},{'peggedUSD': 1303296.76},{'peggedUSD': 0},{'peggedUSD': 1303296.76}
1654560000,{'peggedUSD': 1303529.44},{'peggedUSD': 0},{'peggedUSD': 1302881.09},{'peggedUSD': 0},{'peggedUSD': 1302881.09}
1654646400,{'peggedUSD': 1427811.21},{'peggedUSD': 0},{'peggedUSD': 1427101.04},{'peggedUSD': 0},{'peggedUSD': 1427101.04}
1654732800,{'peggedUSD': 1427405.26},{'peggedUSD': 0},{'peggedUSD': 1426778.91},{'peggedUSD': 0},{'peggedUSD': 1426778.91}
1654819200,{'peggedUSD': 1433160.11},{'peggedUSD': 0},{'peggedUSD': 1432536.53},{'peggedUSD': 0},{'peggedUSD': 1432536.53}
1654905600,{'peggedUSD': 1435514.31},{'peggedUSD': 0},{'peggedUSD': 1435077.48},{'peggedUSD': 0},{'peggedUSD': 1435077.48}
1654992000,{'peggedUSD': 1440536.06},{'peggedUSD': 0},{'peggedUSD': 1439452.89},{'peggedUSD': 0},{'peggedUSD': 1439452.89}
1655078400,{'peggedUSD': 1213560.36},{'peggedUSD': 0},{'peggedUSD': 1213074.94},{'peggedUSD': 0},{'peggedUSD': 1213074.94}
1655164800,{'peggedUSD': 594400.82},{'peggedUSD': 0},{'peggedUSD': 593390.34},{'peggedUSD': 0},{'peggedUSD': 593390.34}
1655251200,{'peggedUSD': 594169.27},{'peggedUSD': 0},{'peggedUSD': 593541.48},{'peggedUSD': 0},{'peggedUSD': 593541.48}
1655337600,{'peggedUSD': 595246.41},{'peggedUSD': 0},{'peggedUSD': 594413.07},{'peggedUSD': 0},{'peggedUSD': 594413.07}
1655424000,{'peggedUSD': 596000.41},{'peggedUSD': 0},{'peggedUSD': 595343.87},{'peggedUSD': 0},{'peggedUSD': 595343.87}
1655510400,{'peggedUSD': 596000.41},{'peggedUSD': 0},{'peggedUSD': 595294.15},{'peggedUSD': 0},{'peggedUSD': 595294.15}
1655596800,{'peggedUSD': 596354.4},{'peggedUSD': 0},{'peggedUSD': 595745.98},{'peggedUSD': 0},{'peggedUSD': 595745.98}
1655683200,{'peggedUSD': 596413.28},{'peggedUSD': 0},{'peggedUSD': 595648.68},{'peggedUSD': 0},{'peggedUSD': 595648.68}
1655769600,{'peggedUSD': 596145.13},{'peggedUSD': 0},{'peggedUSD': 595489.37},{'peggedUSD': 0},{'peggedUSD': 595489.37}
1655856000,{'peggedUSD': 596254.36},{'peggedUSD': 0},{'peggedUSD': 595648.36},{'peggedUSD': 0},{'peggedUSD': 595648.36}
1655942400,{'peggedUSD': 596743.33},{'peggedUSD': 0},{'peggedUSD': 596350.36},{'peggedUSD': 0},{'peggedUSD': 596350.36}
1656028800,{'peggedUSD': 596738.28},{'peggedUSD': 0},{'peggedUSD': 596249.62},{'peggedUSD': 0},{'peggedUSD': 596249.62}
1656115200,{'peggedUSD': 596878.43},{'peggedUSD': 0},{'peggedUSD': 596414.25},{'peggedUSD': 0},{'peggedUSD': 596414.25}
1656201600,{'peggedUSD': 596071},{'peggedUSD': 0},{'peggedUSD': 595653.76},{'peggedUSD': 0},{'peggedUSD': 595653.76}
1656288000,{'peggedUSD': 595518.13},{'peggedUSD': 0},{'peggedUSD': 595188.62},{'peggedUSD': 0},{'peggedUSD': 595188.62}
1656374400,{'peggedUSD': 595808.47},{'peggedUSD': 0},{'peggedUSD': 595479.51},{'peggedUSD': 0},{'peggedUSD': 595479.51}
1656460800,{'peggedUSD': 595808.47},{'peggedUSD': 0},{'peggedUSD': 595272.24},{'peggedUSD': 0},{'peggedUSD': 595272.24}
1656547200,{'peggedUSD': 595170.71},{'peggedUSD': 0},{'peggedUSD': 594529.52},{'peggedUSD': 0},{'peggedUSD': 594529.52}
1656633600,{'peggedUSD': 595152.83},{'peggedUSD': 0},{'peggedUSD': 594501.29},{'peggedUSD': 0},{'peggedUSD': 594501.29}
1656720000,{'peggedUSD': 595228.17},{'peggedUSD': 0},{'peggedUSD': 594584.83},{'peggedUSD': 0},{'peggedUSD': 594584.83}
1656806400,{'peggedUSD': 595223.94},{'peggedUSD': 0},{'peggedUSD': 594635.74},{'peggedUSD': 0},{'peggedUSD': 594635.74}
1656892800,{'peggedUSD': 595817},{'peggedUSD': 0},{'peggedUSD': 595278.4},{'peggedUSD': 0},{'peggedUSD': 595278.4}
1656979200,{'peggedUSD': 595847.11},{'peggedUSD': 0},{'peggedUSD': 595257.58},{'peggedUSD': 0},{'peggedUSD': 595257.58}
1657065600,{'peggedUSD': 595676.39},{'peggedUSD': 0},{'peggedUSD': 595532.41},{'peggedUSD': 0},{'peggedUSD': 595532.41}
1657152000,{'peggedUSD': 593676},{'peggedUSD': 0},{'peggedUSD': 593486.64},{'peggedUSD': 0},{'peggedUSD': 593486.64}
1657238400,{'peggedUSD': 610393.21},{'peggedUSD': 0},{'peggedUSD': 609843.85},{'peggedUSD': 0},{'peggedUSD': 609843.85}
1657324800,{'peggedUSD': 610091.14},{'peggedUSD': 0},{'peggedUSD': 610152},{'peggedUSD': 0},{'peggedUSD': 610152}
1657411200,{'peggedUSD': 610328.29},{'peggedUSD': 0},{'peggedUSD': 610033.89},{'peggedUSD': 0},{'peggedUSD': 610033.89}
1657497600,{'peggedUSD': 609985.42},{'peggedUSD': 0},{'peggedUSD': 609994.72},{'peggedUSD': 0},{'peggedUSD': 609994.72}
1657584000,{'peggedUSD': 609686.98},{'peggedUSD': 0},{'peggedUSD': 609696.28},{'peggedUSD': 0},{'peggedUSD': 609696.28}
1657670400,{'peggedUSD': 607476.59},{'peggedUSD': 0},{'peggedUSD': 607495.36},{'peggedUSD': 0},{'peggedUSD': 607495.36}
1657756800,{'peggedUSD': 613912.23},{'peggedUSD': 0},{'peggedUSD': 613459.3},{'peggedUSD': 0},{'peggedUSD': 613459.3}
1657843200,{'peggedUSD': 613912.23},{'peggedUSD': 0},{'peggedUSD': 613617.75},{'peggedUSD': 0},{'peggedUSD': 613617.75}
1657929600,{'peggedUSD': 541470.09},{'peggedUSD': 0},{'peggedUSD': 541210.35},{'peggedUSD': 0},{'peggedUSD': 541210.35}
1658016000,{'peggedUSD': 539430.99},{'peggedUSD': 0},{'peggedUSD': 539428.47},{'peggedUSD': 0},{'peggedUSD': 539428.47}
1658102400,{'peggedUSD': 541094.04},{'peggedUSD': 0},{'peggedUSD': 540982.27},{'peggedUSD': 0},{'peggedUSD': 540982.27}
1658188800,{'peggedUSD': 541145.89},{'peggedUSD': 0},{'peggedUSD': 541091.78},{'peggedUSD': 0},{'peggedUSD': 541091.78}
1658275200,{'peggedUSD': 541620.93},{'peggedUSD': 0},{'peggedUSD': 541625.94},{'peggedUSD': 0},{'peggedUSD': 541625.94}
1658361600,{'peggedUSD': 539841.33},{'peggedUSD': 0},{'peggedUSD': 539873.34},{'peggedUSD': 0},{'peggedUSD': 539873.34}
1658448000,{'peggedUSD': 540037.57},{'peggedUSD': 0},{'peggedUSD': 540059.07},{'peggedUSD': 0},{'peggedUSD': 540059.07}
1658534400,{'peggedUSD': 539764.5},{'peggedUSD': 0},{'peggedUSD': 539835.41},{'peggedUSD': 0},{'peggedUSD': 539835.41}
1658620800,{'peggedUSD': 537913.47},{'peggedUSD': 0},{'peggedUSD': 537979.58},{'peggedUSD': 0},{'peggedUSD': 537979.58}
1658707200,{'peggedUSD': 539004.57},{'peggedUSD': 0},{'peggedUSD': 539059.92},{'peggedUSD': 0},{'peggedUSD': 539059.92}
1658793600,{'peggedUSD': 539018.58},{'peggedUSD': 0},{'peggedUSD': 539041.21},{'peggedUSD': 0},{'peggedUSD': 539041.21}
1658880000,{'peggedUSD': 539018.58},{'peggedUSD': 0},{'peggedUSD': 539194.17},{'peggedUSD': 0},{'peggedUSD': 539194.17}
1658966400,{'peggedUSD': 539017.58},{'peggedUSD': 0},{'peggedUSD': 539068.99},{'peggedUSD': 0},{'peggedUSD': 539068.99}
