date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 837656.91}
1652400000,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 837656.91}
1652486400,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 837656.91}
1652572800,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 836773.82},{'peggedUSD': 0},{'peggedUSD': 836773.82}
1652659200,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 836918.44},{'peggedUSD': 0},{'peggedUSD': 836918.44}
1652745600,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 836918.44},{'peggedUSD': 0},{'peggedUSD': 836918.44}
1652832000,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 836784.37},{'peggedUSD': 0},{'peggedUSD': 836784.37}
1652918400,{'peggedUSD': 837656.91},{'peggedUSD': 0},{'peggedUSD': 836839.62},{'peggedUSD': 0},{'peggedUSD': 836839.62}
1653004800,{'peggedUSD': 851622.98},{'peggedUSD': 0},{'peggedUSD': 851093.44},{'peggedUSD': 0},{'peggedUSD': 851093.44}
1653091200,{'peggedUSD': 851622.98},{'peggedUSD': 0},{'peggedUSD': 851093.44},{'peggedUSD': 0},{'peggedUSD': 851093.44}
1653177600,{'peggedUSD': 851622.98},{'peggedUSD': 0},{'peggedUSD': 850687.54},{'peggedUSD': 0},{'peggedUSD': 850687.54}
1653264000,{'peggedUSD': 851622.98},{'peggedUSD': 0},{'peggedUSD': 850856.52},{'peggedUSD': 0},{'peggedUSD': 850856.52}
1653350400,{'peggedUSD': 851622.98},{'peggedUSD': 0},{'peggedUSD': 850771.36},{'peggedUSD': 0},{'peggedUSD': 850771.36}
1653436800,{'peggedUSD': 851622.98},{'peggedUSD': 0},{'peggedUSD': 850771.36},{'peggedUSD': 0},{'peggedUSD': 850771.36}
1653523200,{'peggedUSD': 851622.98},{'peggedUSD': 0},{'peggedUSD': 850759.84},{'peggedUSD': 0},{'peggedUSD': 850759.84}
