date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 73991034.63},{'peggedUSD': 0},{'peggedUSD': 73991034.63},{'peggedUSD': 0},{'peggedUSD': 73991034.63}
1652400000,{'peggedUSD': 72677617.89},{'peggedUSD': 0},{'peggedUSD': 72677617.89},{'peggedUSD': 0},{'peggedUSD': 72677617.89}
1652486400,{'peggedUSD': 64199715.78},{'peggedUSD': 0},{'peggedUSD': 64199715.78},{'peggedUSD': 0},{'peggedUSD': 64199715.78}
1652572800,{'peggedUSD': 59043866.42},{'peggedUSD': 0},{'peggedUSD': 58981620.02},{'peggedUSD': 0},{'peggedUSD': 58981620.02}
1652659200,{'peggedUSD': 55645633.42},{'peggedUSD': 0},{'peggedUSD': 55596576.79},{'peggedUSD': 0},{'peggedUSD': 55596576.79}
1652745600,{'peggedUSD': 53038555.3},{'peggedUSD': 0},{'peggedUSD': 52991797.04},{'peggedUSD': 0},{'peggedUSD': 52991797.04}
1652832000,{'peggedUSD': 49042374.77},{'peggedUSD': 0},{'peggedUSD': 48991290.27},{'peggedUSD': 0},{'peggedUSD': 48991290.27}
1652918400,{'peggedUSD': 44188578.43},{'peggedUSD': 0},{'peggedUSD': 44145464.52},{'peggedUSD': 0},{'peggedUSD': 44145464.52}
1653004800,{'peggedUSD': 39188578.43},{'peggedUSD': 0},{'peggedUSD': 39164210.58},{'peggedUSD': 0},{'peggedUSD': 39164210.58}
1653091200,{'peggedUSD': 34291806.01},{'peggedUSD': 0},{'peggedUSD': 34270483.03},{'peggedUSD': 0},{'peggedUSD': 34270483.03}
1653177600,{'peggedUSD': 34291806.01},{'peggedUSD': 0},{'peggedUSD': 34254139.21},{'peggedUSD': 0},{'peggedUSD': 34254139.21}
1653264000,{'peggedUSD': 34271076.74},{'peggedUSD': 0},{'peggedUSD': 34240232.78},{'peggedUSD': 0},{'peggedUSD': 34240232.78}
1653350400,{'peggedUSD': 31700925.78},{'peggedUSD': 0},{'peggedUSD': 31669224.85},{'peggedUSD': 0},{'peggedUSD': 31669224.85}
1653436800,{'peggedUSD': 31700925.78},{'peggedUSD': 0},{'peggedUSD': 31669224.85},{'peggedUSD': 0},{'peggedUSD': 31669224.85}
1653523200,{'peggedUSD': 29764493.82},{'peggedUSD': 0},{'peggedUSD': 29734326.61},{'peggedUSD': 0},{'peggedUSD': 29734326.61}
1653609600,{'peggedUSD': 29871801.76},{'peggedUSD': 0},{'peggedUSD': 29843624.59},{'peggedUSD': 0},{'peggedUSD': 29843624.59}
1653696000,{'peggedUSD': 30697152.86},{'peggedUSD': 0},{'peggedUSD': 30670098.53},{'peggedUSD': 0},{'peggedUSD': 30670098.53}
1653782400,{'peggedUSD': 33235657.63},{'peggedUSD': 0},{'peggedUSD': 33208357.53},{'peggedUSD': 0},{'peggedUSD': 33208357.53}
1653868800,{'peggedUSD': 33658937.99},{'peggedUSD': 0},{'peggedUSD': 33646017.33},{'peggedUSD': 0},{'peggedUSD': 33646017.33}
1653955200,{'peggedUSD': 35734591.54},{'peggedUSD': 0},{'peggedUSD': 35715504.98},{'peggedUSD': 0},{'peggedUSD': 35715504.98}
1654041600,{'peggedUSD': 36731768.26},{'peggedUSD': 0},{'peggedUSD': 36712149.09},{'peggedUSD': 0},{'peggedUSD': 36712149.09}
1654128000,{'peggedUSD': 37731768.26},{'peggedUSD': 0},{'peggedUSD': 37709129.2},{'peggedUSD': 0},{'peggedUSD': 37709129.2}
1654214400,{'peggedUSD': 39382897.23},{'peggedUSD': 0},{'peggedUSD': 39363205.78},{'peggedUSD': 0},{'peggedUSD': 39363205.78}
1654300800,{'peggedUSD': 39472897.21},{'peggedUSD': 0},{'peggedUSD': 39451240.01},{'peggedUSD': 0},{'peggedUSD': 39451240.01}
1654387200,{'peggedUSD': 41758200.23},{'peggedUSD': 0},{'peggedUSD': 41728969.49},{'peggedUSD': 0},{'peggedUSD': 41728969.49}
1654473600,{'peggedUSD': 41757964.18},{'peggedUSD': 0},{'peggedUSD': 41730692.89},{'peggedUSD': 0},{'peggedUSD': 41730692.89}
1654560000,{'peggedUSD': 41760218.41},{'peggedUSD': 0},{'peggedUSD': 41739447.72},{'peggedUSD': 0},{'peggedUSD': 41739447.72}
1654646400,{'peggedUSD': 41760228.41},{'peggedUSD': 0},{'peggedUSD': 41739457.71},{'peggedUSD': 0},{'peggedUSD': 41739457.71}
1654732800,{'peggedUSD': 44697823.15},{'peggedUSD': 0},{'peggedUSD': 44678209.3},{'peggedUSD': 0},{'peggedUSD': 44678209.3}
1654819200,{'peggedUSD': 45165622.38},{'peggedUSD': 0},{'peggedUSD': 45145970.37},{'peggedUSD': 0},{'peggedUSD': 45145970.37}
1654905600,{'peggedUSD': 45817639.29},{'peggedUSD': 0},{'peggedUSD': 45803696.98},{'peggedUSD': 0},{'peggedUSD': 45803696.98}
1654992000,{'peggedUSD': 52051531.92},{'peggedUSD': 0},{'peggedUSD': 52012393.33},{'peggedUSD': 0},{'peggedUSD': 52012393.33}
1655078400,{'peggedUSD': 54583723.18},{'peggedUSD': 0},{'peggedUSD': 54561889.69},{'peggedUSD': 0},{'peggedUSD': 54561889.69}
1655164800,{'peggedUSD': 56253441.23},{'peggedUSD': 0},{'peggedUSD': 56157810.38},{'peggedUSD': 0},{'peggedUSD': 56157810.38}
1655251200,{'peggedUSD': 51675841.18},{'peggedUSD': 0},{'peggedUSD': 51621241.01},{'peggedUSD': 0},{'peggedUSD': 51621241.01}
1655337600,{'peggedUSD': 51365043.99},{'peggedUSD': 0},{'peggedUSD': 51293132.92},{'peggedUSD': 0},{'peggedUSD': 51293132.92}
1655424000,{'peggedUSD': 46433425.43},{'peggedUSD': 0},{'peggedUSD': 46382275.3},{'peggedUSD': 0},{'peggedUSD': 46382275.3}
1655510400,{'peggedUSD': 42150518.48},{'peggedUSD': 0},{'peggedUSD': 42100570.11},{'peggedUSD': 0},{'peggedUSD': 42100570.11}
1655596800,{'peggedUSD': 42150484.8},{'peggedUSD': 0},{'peggedUSD': 42107481.19},{'peggedUSD': 0},{'peggedUSD': 42107481.19}
1655683200,{'peggedUSD': 41453989.27},{'peggedUSD': 0},{'peggedUSD': 41400845.67},{'peggedUSD': 0},{'peggedUSD': 41400845.67}
1655769600,{'peggedUSD': 41145130.51},{'peggedUSD': 0},{'peggedUSD': 41099870.86},{'peggedUSD': 0},{'peggedUSD': 41099870.86}
1655856000,{'peggedUSD': 40944890.31},{'peggedUSD': 0},{'peggedUSD': 40903275.97},{'peggedUSD': 0},{'peggedUSD': 40903275.97}
1655942400,{'peggedUSD': 41936551.56},{'peggedUSD': 0},{'peggedUSD': 41908935.92},{'peggedUSD': 0},{'peggedUSD': 41908935.92}
1656028800,{'peggedUSD': 41876551.6},{'peggedUSD': 0},{'peggedUSD': 41842259.31},{'peggedUSD': 0},{'peggedUSD': 41842259.31}
1656115200,{'peggedUSD': 43156970.92},{'peggedUSD': 0},{'peggedUSD': 43123409.04},{'peggedUSD': 0},{'peggedUSD': 43123409.04}
