date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609459200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609545600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609632000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609718400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609804800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609891200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609977600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610064000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610150400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610236800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610323200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610409600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610496000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610582400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610668800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610755200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610841600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610928000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611014400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611100800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611187200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611273600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611360000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611446400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611532800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611619200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611705600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611792000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611878400,{'peggedUSD': 117},{'peggedUSD': 0},{'peggedUSD': 116.87},{'peggedUSD': 0},{'peggedUSD': 116.87}
1611964800,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 318.41},{'peggedUSD': 0},{'peggedUSD': 318.41}
1612051200,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 318.88},{'peggedUSD': 0},{'peggedUSD': 318.88}
1612137600,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.28},{'peggedUSD': 0},{'peggedUSD': 320.28}
1612224000,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.19},{'peggedUSD': 0},{'peggedUSD': 319.19}
1612310400,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.3},{'peggedUSD': 0},{'peggedUSD': 320.3}
1612396800,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.97},{'peggedUSD': 0},{'peggedUSD': 319.97}
1612483200,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.45},{'peggedUSD': 0},{'peggedUSD': 320.45}
1612569600,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.65},{'peggedUSD': 0},{'peggedUSD': 320.65}
1612656000,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.8},{'peggedUSD': 0},{'peggedUSD': 319.8}
1612742400,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.59},{'peggedUSD': 0},{'peggedUSD': 319.59}
1612828800,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.95},{'peggedUSD': 0},{'peggedUSD': 320.95}
1612915200,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 318.58},{'peggedUSD': 0},{'peggedUSD': 318.58}
1613001600,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.37},{'peggedUSD': 0},{'peggedUSD': 319.37}
1613088000,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.23},{'peggedUSD': 0},{'peggedUSD': 319.23}
1613174400,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.09},{'peggedUSD': 0},{'peggedUSD': 319.09}
1613260800,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 319.61},{'peggedUSD': 0},{'peggedUSD': 319.61}
1613347200,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 318.82},{'peggedUSD': 0},{'peggedUSD': 318.82}
1613433600,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.06},{'peggedUSD': 0},{'peggedUSD': 320.06}
1613520000,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.35},{'peggedUSD': 0},{'peggedUSD': 320.35}
1613606400,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.22},{'peggedUSD': 0},{'peggedUSD': 320.22}
1613692800,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 320.09},{'peggedUSD': 0},{'peggedUSD': 320.09}
1613779200,{'peggedUSD': 320},{'peggedUSD': 0},{'peggedUSD': 322.03},{'peggedUSD': 0},{'peggedUSD': 322.03}
1613865600,{'peggedUSD': 85280980},{'peggedUSD': 0},{'peggedUSD': 85712199.96},{'peggedUSD': 0},{'peggedUSD': 85712199.96}
1613952000,{'peggedUSD': 162497112},{'peggedUSD': 0},{'peggedUSD': 163080609.57},{'peggedUSD': 0},{'peggedUSD': 163080609.57}
1614038400,{'peggedUSD': 241015197},{'peggedUSD': 0},{'peggedUSD': 242284255.53},{'peggedUSD': 0},{'peggedUSD': 242284255.53}
1614124800,{'peggedUSD': 302578729},{'peggedUSD': 0},{'peggedUSD': 303701015.7},{'peggedUSD': 0},{'peggedUSD': 303701015.7}
1614211200,{'peggedUSD': 349234514},{'peggedUSD': 0},{'peggedUSD': 352827636.07},{'peggedUSD': 0},{'peggedUSD': 352827636.07}
1614297600,{'peggedUSD': 379446384},{'peggedUSD': 0},{'peggedUSD': 380858553.81},{'peggedUSD': 0},{'peggedUSD': 380858553.81}
1614384000,{'peggedUSD': 409669989},{'peggedUSD': 0},{'peggedUSD': 412965808.72},{'peggedUSD': 0},{'peggedUSD': 412965808.72}
1614470400,{'peggedUSD': 409669989},{'peggedUSD': 0},{'peggedUSD': 407210315.8},{'peggedUSD': 0},{'peggedUSD': 407210315.8}
1614556800,{'peggedUSD': 409669989},{'peggedUSD': 0},{'peggedUSD': 414322006.81},{'peggedUSD': 0},{'peggedUSD': 414322006.81}
1614643200,{'peggedUSD': 409669989},{'peggedUSD': 0},{'peggedUSD': 413043290.79},{'peggedUSD': 0},{'peggedUSD': 413043290.79}
1614729600,{'peggedUSD': 409669989},{'peggedUSD': 0},{'peggedUSD': 413124904.13},{'peggedUSD': 0},{'peggedUSD': 413124904.13}
1614816000,{'peggedUSD': 409669989},{'peggedUSD': 0},{'peggedUSD': 409352783.6},{'peggedUSD': 0},{'peggedUSD': 409352783.6}
1614902400,{'peggedUSD': 404764408},{'peggedUSD': 0},{'peggedUSD': 406101378.25},{'peggedUSD': 0},{'peggedUSD': 406101378.25}
1614988800,{'peggedUSD': 412741981},{'peggedUSD': 0},{'peggedUSD': 412118410.51},{'peggedUSD': 0},{'peggedUSD': 412118410.51}
1615075200,{'peggedUSD': 393305337},{'peggedUSD': 0},{'peggedUSD': 394032556.14},{'peggedUSD': 0},{'peggedUSD': 394032556.14}
1615161600,{'peggedUSD': 321703376},{'peggedUSD': 0},{'peggedUSD': 322712501.71},{'peggedUSD': 0},{'peggedUSD': 322712501.71}
1615248000,{'peggedUSD': 349734049},{'peggedUSD': 0},{'peggedUSD': 349859306.43},{'peggedUSD': 0},{'peggedUSD': 349859306.43}
1615334400,{'peggedUSD': 349734049},{'peggedUSD': 0},{'peggedUSD': 350610233.39},{'peggedUSD': 0},{'peggedUSD': 350610233.39}
1615420800,{'peggedUSD': 346168684.01},{'peggedUSD': 0},{'peggedUSD': 345158965.04},{'peggedUSD': 0},{'peggedUSD': 345158965.04}
1615507200,{'peggedUSD': 346168684.01},{'peggedUSD': 0},{'peggedUSD': 346941850.1},{'peggedUSD': 0},{'peggedUSD': 346941850.1}
1615593600,{'peggedUSD': 346168684.01},{'peggedUSD': 0},{'peggedUSD': 346870827.84},{'peggedUSD': 0},{'peggedUSD': 346870827.84}
1615680000,{'peggedUSD': 346168684.01},{'peggedUSD': 0},{'peggedUSD': 346844645.49},{'peggedUSD': 0},{'peggedUSD': 346844645.49}
1615766400,{'peggedUSD': 346168684.01},{'peggedUSD': 0},{'peggedUSD': 347450710.22},{'peggedUSD': 0},{'peggedUSD': 347450710.22}
1615852800,{'peggedUSD': 961887625},{'peggedUSD': 0},{'peggedUSD': 964807565.96},{'peggedUSD': 0},{'peggedUSD': 964807565.96}
1615939200,{'peggedUSD': 983411235},{'peggedUSD': 0},{'peggedUSD': 985032134.77},{'peggedUSD': 0},{'peggedUSD': 985032134.77}
1616025600,{'peggedUSD': 1006029192},{'peggedUSD': 0},{'peggedUSD': 1010100487.41},{'peggedUSD': 0},{'peggedUSD': 1010100487.41}
1616112000,{'peggedUSD': 1028015802},{'peggedUSD': 0},{'peggedUSD': 1032000169.11},{'peggedUSD': 0},{'peggedUSD': 1032000169.11}
1616198400,{'peggedUSD': 1028015802},{'peggedUSD': 0},{'peggedUSD': 1032524826.25},{'peggedUSD': 0},{'peggedUSD': 1032524826.25}
1616284800,{'peggedUSD': 1010352865},{'peggedUSD': 0},{'peggedUSD': 1014753428.74},{'peggedUSD': 0},{'peggedUSD': 1014753428.74}
1616371200,{'peggedUSD': 974165897},{'peggedUSD': 0},{'peggedUSD': 977470130.25},{'peggedUSD': 0},{'peggedUSD': 977470130.25}
1616457600,{'peggedUSD': 953289425},{'peggedUSD': 0},{'peggedUSD': 956706840.09},{'peggedUSD': 0},{'peggedUSD': 956706840.09}
1616544000,{'peggedUSD': 915601543},{'peggedUSD': 0},{'peggedUSD': 914096665.51},{'peggedUSD': 0},{'peggedUSD': 914096665.51}
1616630400,{'peggedUSD': 889583668},{'peggedUSD': 0},{'peggedUSD': 888569202.72},{'peggedUSD': 0},{'peggedUSD': 888569202.72}
1616716800,{'peggedUSD': 917810618},{'peggedUSD': 0},{'peggedUSD': 916784780.01},{'peggedUSD': 0},{'peggedUSD': 916784780.01}
1616803200,{'peggedUSD': 925173745},{'peggedUSD': 0},{'peggedUSD': 924765762.28},{'peggedUSD': 0},{'peggedUSD': 924765762.28}
1616889600,{'peggedUSD': 957420426},{'peggedUSD': 0},{'peggedUSD': 957424992.76},{'peggedUSD': 0},{'peggedUSD': 957424992.76}
1616976000,{'peggedUSD': 976318409},{'peggedUSD': 0},{'peggedUSD': 979665534.67},{'peggedUSD': 0},{'peggedUSD': 979665534.67}
1617062400,{'peggedUSD': 1009176154},{'peggedUSD': 0},{'peggedUSD': 1008392639.43},{'peggedUSD': 0},{'peggedUSD': 1008392639.43}
1617148800,{'peggedUSD': 995196984},{'peggedUSD': 0},{'peggedUSD': 995102943.17},{'peggedUSD': 0},{'peggedUSD': 995102943.17}
1617235200,{'peggedUSD': 986199376},{'peggedUSD': 0},{'peggedUSD': 986483230.37},{'peggedUSD': 0},{'peggedUSD': 986483230.37}
1617321600,{'peggedUSD': 1032430950},{'peggedUSD': 0},{'peggedUSD': 1033190469.88},{'peggedUSD': 0},{'peggedUSD': 1033190469.88}
1617408000,{'peggedUSD': 1043437601},{'peggedUSD': 0},{'peggedUSD': 1044023023.81},{'peggedUSD': 0},{'peggedUSD': 1044023023.81}
1617494400,{'peggedUSD': 999038280},{'peggedUSD': 0},{'peggedUSD': 999674954.54},{'peggedUSD': 0},{'peggedUSD': 999674954.54}
1617580800,{'peggedUSD': 1008113726},{'peggedUSD': 0},{'peggedUSD': 1008640906.96},{'peggedUSD': 0},{'peggedUSD': 1008640906.96}
1617667200,{'peggedUSD': 1063259649},{'peggedUSD': 0},{'peggedUSD': 1062545352.82},{'peggedUSD': 0},{'peggedUSD': 1062545352.82}
1617753600,{'peggedUSD': 1084015360},{'peggedUSD': 0},{'peggedUSD': 1084343931.35},{'peggedUSD': 0},{'peggedUSD': 1084343931.35}
1617840000,{'peggedUSD': 1091432727},{'peggedUSD': 0},{'peggedUSD': 1090843230.05},{'peggedUSD': 0},{'peggedUSD': 1090843230.05}
1617926400,{'peggedUSD': 1113043855},{'peggedUSD': 0},{'peggedUSD': 1115020573.51},{'peggedUSD': 0},{'peggedUSD': 1115020573.51}
1618012800,{'peggedUSD': 1132843397},{'peggedUSD': 0},{'peggedUSD': 1132280037},{'peggedUSD': 0},{'peggedUSD': 1132280037}
1618099200,{'peggedUSD': 1127654442},{'peggedUSD': 0},{'peggedUSD': 1126817837.93},{'peggedUSD': 0},{'peggedUSD': 1126817837.93}
1618185600,{'peggedUSD': 1121111227},{'peggedUSD': 0},{'peggedUSD': 1122159107.93},{'peggedUSD': 0},{'peggedUSD': 1122159107.93}
1618272000,{'peggedUSD': 1144594867},{'peggedUSD': 0},{'peggedUSD': 1145502841.22},{'peggedUSD': 0},{'peggedUSD': 1145502841.22}
1618358400,{'peggedUSD': 1158070179},{'peggedUSD': 0},{'peggedUSD': 1159492931.9},{'peggedUSD': 0},{'peggedUSD': 1159492931.9}
1618444800,{'peggedUSD': 1223599202},{'peggedUSD': 0},{'peggedUSD': 1223197724.87},{'peggedUSD': 0},{'peggedUSD': 1223197724.87}
1618531200,{'peggedUSD': 1319216211},{'peggedUSD': 0},{'peggedUSD': 1319191405.14},{'peggedUSD': 0},{'peggedUSD': 1319191405.14}
1618617600,{'peggedUSD': 1420662820},{'peggedUSD': 0},{'peggedUSD': 1419137807.71},{'peggedUSD': 0},{'peggedUSD': 1419137807.71}
1618704000,{'peggedUSD': 1317060408},{'peggedUSD': 0},{'peggedUSD': 1318837112.95},{'peggedUSD': 0},{'peggedUSD': 1318837112.95}
1618790400,{'peggedUSD': 1311923923},{'peggedUSD': 0},{'peggedUSD': 1312689916.59},{'peggedUSD': 0},{'peggedUSD': 1312689916.59}
1618876800,{'peggedUSD': 1358127476},{'peggedUSD': 0},{'peggedUSD': 1357905983.41},{'peggedUSD': 0},{'peggedUSD': 1357905983.41}
1618963200,{'peggedUSD': 1411999339},{'peggedUSD': 0},{'peggedUSD': 1412548976.35},{'peggedUSD': 0},{'peggedUSD': 1412548976.35}
1619049600,{'peggedUSD': 1495780857},{'peggedUSD': 0},{'peggedUSD': 1491510175.75},{'peggedUSD': 0},{'peggedUSD': 1491510175.75}
1619136000,{'peggedUSD': 1494848094},{'peggedUSD': 0},{'peggedUSD': 1496496620.11},{'peggedUSD': 0},{'peggedUSD': 1496496620.11}
1619222400,{'peggedUSD': 1504118020},{'peggedUSD': 0},{'peggedUSD': 1506779614},{'peggedUSD': 0},{'peggedUSD': 1506779614}
1619308800,{'peggedUSD': 1544983458},{'peggedUSD': 0},{'peggedUSD': 1542736458.91},{'peggedUSD': 0},{'peggedUSD': 1542736458.91}
1619395200,{'peggedUSD': 1575961591},{'peggedUSD': 0},{'peggedUSD': 1582047703.51},{'peggedUSD': 0},{'peggedUSD': 1582047703.51}
1619481600,{'peggedUSD': 1604483246},{'peggedUSD': 0},{'peggedUSD': 1605433562.67},{'peggedUSD': 0},{'peggedUSD': 1605433562.67}
1619568000,{'peggedUSD': 1613027257},{'peggedUSD': 0},{'peggedUSD': 1607945763.67},{'peggedUSD': 0},{'peggedUSD': 1607945763.67}
1619654400,{'peggedUSD': 1660165749},{'peggedUSD': 0},{'peggedUSD': 1662822754.45},{'peggedUSD': 0},{'peggedUSD': 1662822754.45}
1619740800,{'peggedUSD': 1692303865},{'peggedUSD': 0},{'peggedUSD': 1693484881.65},{'peggedUSD': 0},{'peggedUSD': 1693484881.65}
1619827200,{'peggedUSD': 1716094422},{'peggedUSD': 0},{'peggedUSD': 1718450657.19},{'peggedUSD': 0},{'peggedUSD': 1718450657.19}
1619913600,{'peggedUSD': 1745972826},{'peggedUSD': 0},{'peggedUSD': 1746928303.32},{'peggedUSD': 0},{'peggedUSD': 1746928303.32}
1620000000,{'peggedUSD': 1766987753},{'peggedUSD': 0},{'peggedUSD': 1768035425.08},{'peggedUSD': 0},{'peggedUSD': 1768035425.08}
1620086400,{'peggedUSD': 1789049608},{'peggedUSD': 0},{'peggedUSD': 1791410864.95},{'peggedUSD': 0},{'peggedUSD': 1791410864.95}
1620172800,{'peggedUSD': 1758950074},{'peggedUSD': 0},{'peggedUSD': 1765162167.48},{'peggedUSD': 0},{'peggedUSD': 1765162167.48}
