date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 44818091.97},{'peggedUSD': 0},{'peggedUSD': 44818091.97},{'peggedUSD': 0},{'peggedUSD': 44818091.97}
1652400000,{'peggedUSD': 44818091.97},{'peggedUSD': 0},{'peggedUSD': 44818091.97},{'peggedUSD': 0},{'peggedUSD': 44818091.97}
1652486400,{'peggedUSD': 44976219.99},{'peggedUSD': 0},{'peggedUSD': 44976219.99},{'peggedUSD': 0},{'peggedUSD': 44976219.99}
1652572800,{'peggedUSD': 45182028.75},{'peggedUSD': 0},{'peggedUSD': 45134396.05},{'peggedUSD': 0},{'peggedUSD': 45134396.05}
1652659200,{'peggedUSD': 45281313.39},{'peggedUSD': 0},{'peggedUSD': 45241393.84},{'peggedUSD': 0},{'peggedUSD': 45241393.84}
1652745600,{'peggedUSD': 45292178.12},{'peggedUSD': 0},{'peggedUSD': 45252248.99},{'peggedUSD': 0},{'peggedUSD': 45252248.99}
1652832000,{'peggedUSD': 46331441.89},{'peggedUSD': 0},{'peggedUSD': 46283181.21},{'peggedUSD': 0},{'peggedUSD': 46283181.21}
1652918400,{'peggedUSD': 46393613.08},{'peggedUSD': 0},{'peggedUSD': 46348347.76},{'peggedUSD': 0},{'peggedUSD': 46348347.76}
1653004800,{'peggedUSD': 46394383.99},{'peggedUSD': 0},{'peggedUSD': 46365535.5},{'peggedUSD': 0},{'peggedUSD': 46365535.5}
1653091200,{'peggedUSD': 46435922.8},{'peggedUSD': 0},{'peggedUSD': 46407048.48},{'peggedUSD': 0},{'peggedUSD': 46407048.48}
1653177600,{'peggedUSD': 46439341.15},{'peggedUSD': 0},{'peggedUSD': 46388331.25},{'peggedUSD': 0},{'peggedUSD': 46388331.25}
1653264000,{'peggedUSD': 46492870.54},{'peggedUSD': 0},{'peggedUSD': 46451026.96},{'peggedUSD': 0},{'peggedUSD': 46451026.96}
1653350400,{'peggedUSD': 46680088.22},{'peggedUSD': 0},{'peggedUSD': 46633408.13},{'peggedUSD': 0},{'peggedUSD': 46633408.13}
1653436800,{'peggedUSD': 46680088.22},{'peggedUSD': 0},{'peggedUSD': 46633408.13},{'peggedUSD': 0},{'peggedUSD': 46633408.13}
1653523200,{'peggedUSD': 47681084.25},{'peggedUSD': 0},{'peggedUSD': 47632758.04},{'peggedUSD': 0},{'peggedUSD': 47632758.04}
1653609600,{'peggedUSD': 47681250.62},{'peggedUSD': 0},{'peggedUSD': 47636274.32},{'peggedUSD': 0},{'peggedUSD': 47636274.32}
