date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1166690.26},{'peggedUSD': 0},{'peggedUSD': 1166690.26},{'peggedUSD': 0},{'peggedUSD': 1166690.26}
1652400000,{'peggedUSD': 1166690.26},{'peggedUSD': 0},{'peggedUSD': 1166690.26},{'peggedUSD': 0},{'peggedUSD': 1166690.26}
1652486400,{'peggedUSD': 1151100.36},{'peggedUSD': 0},{'peggedUSD': 1151100.36},{'peggedUSD': 0},{'peggedUSD': 1151100.36}
1652572800,{'peggedUSD': 1151098.76},{'peggedUSD': 0},{'peggedUSD': 1149885.23},{'peggedUSD': 0},{'peggedUSD': 1149885.23}
1652659200,{'peggedUSD': 1151098.76},{'peggedUSD': 0},{'peggedUSD': 1150083.97},{'peggedUSD': 0},{'peggedUSD': 1150083.97}
1652745600,{'peggedUSD': 1151096.93},{'peggedUSD': 0},{'peggedUSD': 1150082.14},{'peggedUSD': 0},{'peggedUSD': 1150082.14}
1652832000,{'peggedUSD': 1151153.28},{'peggedUSD': 0},{'peggedUSD': 1149954.19},{'peggedUSD': 0},{'peggedUSD': 1149954.19}
1652918400,{'peggedUSD': 1144877.28},{'peggedUSD': 0},{'peggedUSD': 1143760.25},{'peggedUSD': 0},{'peggedUSD': 1143760.25}
1653004800,{'peggedUSD': 1145260.28},{'peggedUSD': 0},{'peggedUSD': 1144548.14},{'peggedUSD': 0},{'peggedUSD': 1144548.14}
1653091200,{'peggedUSD': 1144813.72},{'peggedUSD': 0},{'peggedUSD': 1144101.86},{'peggedUSD': 0},{'peggedUSD': 1144101.86}
1653177600,{'peggedUSD': 1149438.63},{'peggedUSD': 0},{'peggedUSD': 1148176.07},{'peggedUSD': 0},{'peggedUSD': 1148176.07}
1653264000,{'peggedUSD': 1143900.32},{'peggedUSD': 0},{'peggedUSD': 1142870.81},{'peggedUSD': 0},{'peggedUSD': 1142870.81}
1653350400,{'peggedUSD': 1143930.7},{'peggedUSD': 0},{'peggedUSD': 1142786.77},{'peggedUSD': 0},{'peggedUSD': 1142786.77}
1653436800,{'peggedUSD': 1143930.7},{'peggedUSD': 0},{'peggedUSD': 1142786.77},{'peggedUSD': 0},{'peggedUSD': 1142786.77}
1653523200,{'peggedUSD': 1144091.71},{'peggedUSD': 0},{'peggedUSD': 1142932.14},{'peggedUSD': 0},{'peggedUSD': 1142932.14}
1653609600,{'peggedUSD': 1143928.97},{'peggedUSD': 0},{'peggedUSD': 1142849.93},{'peggedUSD': 0},{'peggedUSD': 1142849.93}
1653696000,{'peggedUSD': 1143884.15},{'peggedUSD': 0},{'peggedUSD': 1142876.02},{'peggedUSD': 0},{'peggedUSD': 1142876.02}
1653782400,{'peggedUSD': 1143884.15},{'peggedUSD': 0},{'peggedUSD': 1142944.56},{'peggedUSD': 0},{'peggedUSD': 1142944.56}
1653868800,{'peggedUSD': 1143884.15},{'peggedUSD': 0},{'peggedUSD': 1143445.05},{'peggedUSD': 0},{'peggedUSD': 1143445.05}
1653955200,{'peggedUSD': 1143984.15},{'peggedUSD': 0},{'peggedUSD': 1143373.13},{'peggedUSD': 0},{'peggedUSD': 1143373.13}
1654041600,{'peggedUSD': 1146661.69},{'peggedUSD': 0},{'peggedUSD': 1146049.23},{'peggedUSD': 0},{'peggedUSD': 1146049.23}
1654128000,{'peggedUSD': 1137973.84},{'peggedUSD': 0},{'peggedUSD': 1137291.06},{'peggedUSD': 0},{'peggedUSD': 1137291.06}
1654214400,{'peggedUSD': 1137973.29},{'peggedUSD': 0},{'peggedUSD': 1137404.31},{'peggedUSD': 0},{'peggedUSD': 1137404.31}
1654300800,{'peggedUSD': 1175524.02},{'peggedUSD': 0},{'peggedUSD': 1174879.06},{'peggedUSD': 0},{'peggedUSD': 1174879.06}
1654387200,{'peggedUSD': 1169508.22},{'peggedUSD': 0},{'peggedUSD': 1168689.57},{'peggedUSD': 0},{'peggedUSD': 1168689.57}
1654473600,{'peggedUSD': 1172099.18},{'peggedUSD': 0},{'peggedUSD': 1171333.71},{'peggedUSD': 0},{'peggedUSD': 1171333.71}
1654560000,{'peggedUSD': 1175481.12},{'peggedUSD': 0},{'peggedUSD': 1174896.46},{'peggedUSD': 0},{'peggedUSD': 1174896.46}
1654646400,{'peggedUSD': 1154914.49},{'peggedUSD': 0},{'peggedUSD': 1154340.06},{'peggedUSD': 0},{'peggedUSD': 1154340.06}
1654732800,{'peggedUSD': 1149525.47},{'peggedUSD': 0},{'peggedUSD': 1149021.04},{'peggedUSD': 0},{'peggedUSD': 1149021.04}
1654819200,{'peggedUSD': 1143114.99},{'peggedUSD': 0},{'peggedUSD': 1142617.61},{'peggedUSD': 0},{'peggedUSD': 1142617.61}
1654905600,{'peggedUSD': 1128235.74},{'peggedUSD': 0},{'peggedUSD': 1127892.42},{'peggedUSD': 0},{'peggedUSD': 1127892.42}
1654992000,{'peggedUSD': 1103864.25},{'peggedUSD': 0},{'peggedUSD': 1103034.23},{'peggedUSD': 0},{'peggedUSD': 1103034.23}
1655078400,{'peggedUSD': 1103864.25},{'peggedUSD': 0},{'peggedUSD': 1103422.7},{'peggedUSD': 0},{'peggedUSD': 1103422.7}
1655164800,{'peggedUSD': 1061013.74},{'peggedUSD': 0},{'peggedUSD': 1059210.01},{'peggedUSD': 0},{'peggedUSD': 1059210.01}
1655251200,{'peggedUSD': 1061014.09},{'peggedUSD': 0},{'peggedUSD': 1059893.03},{'peggedUSD': 0},{'peggedUSD': 1059893.03}
1655337600,{'peggedUSD': 1061014.09},{'peggedUSD': 0},{'peggedUSD': 1059528.67},{'peggedUSD': 0},{'peggedUSD': 1059528.67}
1655424000,{'peggedUSD': 1061014.09},{'peggedUSD': 0},{'peggedUSD': 1059845.3},{'peggedUSD': 0},{'peggedUSD': 1059845.3}
1655510400,{'peggedUSD': 1061014.09},{'peggedUSD': 0},{'peggedUSD': 1059756.79},{'peggedUSD': 0},{'peggedUSD': 1059756.79}
1655596800,{'peggedUSD': 1039804.19},{'peggedUSD': 0},{'peggedUSD': 1038743.34},{'peggedUSD': 0},{'peggedUSD': 1038743.34}
1655683200,{'peggedUSD': 1039803.72},{'peggedUSD': 0},{'peggedUSD': 1038470.7},{'peggedUSD': 0},{'peggedUSD': 1038470.7}
1655769600,{'peggedUSD': 1039803.72},{'peggedUSD': 0},{'peggedUSD': 1038659.93},{'peggedUSD': 0},{'peggedUSD': 1038659.93}
1655856000,{'peggedUSD': 1039802.78},{'peggedUSD': 0},{'peggedUSD': 1038745.97},{'peggedUSD': 0},{'peggedUSD': 1038745.97}
1655942400,{'peggedUSD': 1039802.78},{'peggedUSD': 0},{'peggedUSD': 1039118.06},{'peggedUSD': 0},{'peggedUSD': 1039118.06}
1656028800,{'peggedUSD': 1039802.19},{'peggedUSD': 0},{'peggedUSD': 1038950.7},{'peggedUSD': 0},{'peggedUSD': 1038950.7}
1656115200,{'peggedUSD': 1039802.19},{'peggedUSD': 0},{'peggedUSD': 1038993.56},{'peggedUSD': 0},{'peggedUSD': 1038993.56}
1656201600,{'peggedUSD': 1039801.19},{'peggedUSD': 0},{'peggedUSD': 1039073.33},{'peggedUSD': 0},{'peggedUSD': 1039073.33}
1656288000,{'peggedUSD': 1038163.39},{'peggedUSD': 0},{'peggedUSD': 1037588.95},{'peggedUSD': 0},{'peggedUSD': 1037588.95}
1656374400,{'peggedUSD': 1038163.39},{'peggedUSD': 0},{'peggedUSD': 1037590.2},{'peggedUSD': 0},{'peggedUSD': 1037590.2}
1656460800,{'peggedUSD': 1034247.2},{'peggedUSD': 0},{'peggedUSD': 1033316.38},{'peggedUSD': 0},{'peggedUSD': 1033316.38}
1656547200,{'peggedUSD': 1034147.18},{'peggedUSD': 0},{'peggedUSD': 1033033.08},{'peggedUSD': 0},{'peggedUSD': 1033033.08}
1656633600,{'peggedUSD': 1034146.28},{'peggedUSD': 0},{'peggedUSD': 1033014.16},{'peggedUSD': 0},{'peggedUSD': 1033014.16}
1656720000,{'peggedUSD': 1034146.28},{'peggedUSD': 0},{'peggedUSD': 1033028.55},{'peggedUSD': 0},{'peggedUSD': 1033028.55}
1656806400,{'peggedUSD': 1032846.15},{'peggedUSD': 0},{'peggedUSD': 1031825.48},{'peggedUSD': 0},{'peggedUSD': 1031825.48}
1656892800,{'peggedUSD': 1032846.15},{'peggedUSD': 0},{'peggedUSD': 1031912.49},{'peggedUSD': 0},{'peggedUSD': 1031912.49}
1656979200,{'peggedUSD': 1032846.15},{'peggedUSD': 0},{'peggedUSD': 1031824.25},{'peggedUSD': 0},{'peggedUSD': 1031824.25}
1657065600,{'peggedUSD': 1032845.08},{'peggedUSD': 0},{'peggedUSD': 1032595.43},{'peggedUSD': 0},{'peggedUSD': 1032595.43}
1657152000,{'peggedUSD': 1034151.96},{'peggedUSD': 0},{'peggedUSD': 1033822.09},{'peggedUSD': 0},{'peggedUSD': 1033822.09}
1657238400,{'peggedUSD': 1032842.63},{'peggedUSD': 0},{'peggedUSD': 1031913.07},{'peggedUSD': 0},{'peggedUSD': 1031913.07}
1657324800,{'peggedUSD': 1036452.41},{'peggedUSD': 0},{'peggedUSD': 1036555.79},{'peggedUSD': 0},{'peggedUSD': 1036555.79}
1657411200,{'peggedUSD': 1037648.14},{'peggedUSD': 0},{'peggedUSD': 1037147.61},{'peggedUSD': 0},{'peggedUSD': 1037147.61}
1657497600,{'peggedUSD': 1033590.47},{'peggedUSD': 0},{'peggedUSD': 1033606.22},{'peggedUSD': 0},{'peggedUSD': 1033606.22}
1657584000,{'peggedUSD': 1032531.61},{'peggedUSD': 0},{'peggedUSD': 1032547.34},{'peggedUSD': 0},{'peggedUSD': 1032547.34}
1657670400,{'peggedUSD': 988722.61},{'peggedUSD': 0},{'peggedUSD': 988753.15},{'peggedUSD': 0},{'peggedUSD': 988753.15}
1657756800,{'peggedUSD': 988722.61},{'peggedUSD': 0},{'peggedUSD': 987993.15},{'peggedUSD': 0},{'peggedUSD': 987993.15}
1657843200,{'peggedUSD': 469359.79},{'peggedUSD': 0},{'peggedUSD': 469134.65},{'peggedUSD': 0},{'peggedUSD': 469134.65}
