date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25711849},{'peggedUSD': 25711849},{'peggedUSD': 0}
1652400000,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25711849},{'peggedUSD': 25711849},{'peggedUSD': 0}
1652486400,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25711849},{'peggedUSD': 25711849},{'peggedUSD': 0}
1652572800,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25684742.54},{'peggedUSD': 25684742.54},{'peggedUSD': 0}
1652659200,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25689181.69},{'peggedUSD': 25689181.69},{'peggedUSD': 0}
1652745600,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25689181.69},{'peggedUSD': 25689181.69},{'peggedUSD': 0}
1652832000,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25685066.51},{'peggedUSD': 25685066.51},{'peggedUSD': 0}
1652918400,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25686762.46},{'peggedUSD': 25686762.46},{'peggedUSD': 0}
1653004800,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25695861.12},{'peggedUSD': 25695861.12},{'peggedUSD': 0}
1653091200,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25695861.12},{'peggedUSD': 25695861.12},{'peggedUSD': 0}
1653177600,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25683606.59},{'peggedUSD': 25683606.59},{'peggedUSD': 0}
1653264000,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25688708.34},{'peggedUSD': 25688708.34},{'peggedUSD': 0}
1653350400,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25686137.15},{'peggedUSD': 25686137.15},{'peggedUSD': 0}
1653436800,{'peggedUSD': 25711849},{'peggedUSD': 10849151},{'peggedUSD': 25686137.15},{'peggedUSD': 25686137.15},{'peggedUSD': 0}
