date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 1930137.11},{'peggedUSD': 0},{'peggedUSD': 1933156.78},{'peggedUSD': 0},{'peggedUSD': 1933156.78}
1609459200,{'peggedUSD': 2083855.18},{'peggedUSD': 0},{'peggedUSD': 2083963.67},{'peggedUSD': 0},{'peggedUSD': 2083963.67}
1609545600,{'peggedUSD': 2091491.43},{'peggedUSD': 0},{'peggedUSD': 2095658.95},{'peggedUSD': 0},{'peggedUSD': 2095658.95}
1609632000,{'peggedUSD': 2123062.84},{'peggedUSD': 0},{'peggedUSD': 2129687.88},{'peggedUSD': 0},{'peggedUSD': 2129687.88}
1609718400,{'peggedUSD': 2388264.6},{'peggedUSD': 0},{'peggedUSD': 2389986.99},{'peggedUSD': 0},{'peggedUSD': 2389986.99}
1609804800,{'peggedUSD': 3211788.25},{'peggedUSD': 0},{'peggedUSD': 3210844.39},{'peggedUSD': 0},{'peggedUSD': 3210844.39}
1609891200,{'peggedUSD': 4088365.48},{'peggedUSD': 0},{'peggedUSD': 4099596.95},{'peggedUSD': 0},{'peggedUSD': 4099596.95}
1609977600,{'peggedUSD': 6282416.99},{'peggedUSD': 0},{'peggedUSD': 6331617.92},{'peggedUSD': 0},{'peggedUSD': 6331617.92}
1610064000,{'peggedUSD': 6716378.07},{'peggedUSD': 0},{'peggedUSD': 6723920.4},{'peggedUSD': 0},{'peggedUSD': 6723920.4}
1610150400,{'peggedUSD': 6582239.37},{'peggedUSD': 0},{'peggedUSD': 6599190.77},{'peggedUSD': 0},{'peggedUSD': 6599190.77}
1610236800,{'peggedUSD': 6716951.51},{'peggedUSD': 0},{'peggedUSD': 6752068.88},{'peggedUSD': 0},{'peggedUSD': 6752068.88}
1610323200,{'peggedUSD': 6052726.4},{'peggedUSD': 0},{'peggedUSD': 6065106.14},{'peggedUSD': 0},{'peggedUSD': 6065106.14}
1610409600,{'peggedUSD': 6505198.17},{'peggedUSD': 0},{'peggedUSD': 6560612.39},{'peggedUSD': 0},{'peggedUSD': 6560612.39}
1610496000,{'peggedUSD': 6581237.64},{'peggedUSD': 0},{'peggedUSD': 6596540.84},{'peggedUSD': 0},{'peggedUSD': 6596540.84}
1610582400,{'peggedUSD': 6998060.85},{'peggedUSD': 0},{'peggedUSD': 7023383.68},{'peggedUSD': 0},{'peggedUSD': 7023383.68}
1610668800,{'peggedUSD': 7625213.26},{'peggedUSD': 0},{'peggedUSD': 7609020.03},{'peggedUSD': 0},{'peggedUSD': 7609020.03}
1610755200,{'peggedUSD': 7494651.36},{'peggedUSD': 0},{'peggedUSD': 7498563.27},{'peggedUSD': 0},{'peggedUSD': 7498563.27}
1610841600,{'peggedUSD': 7587167.8},{'peggedUSD': 0},{'peggedUSD': 7603412.37},{'peggedUSD': 0},{'peggedUSD': 7603412.37}
1610928000,{'peggedUSD': 7607378.6},{'peggedUSD': 0},{'peggedUSD': 7593551.05},{'peggedUSD': 0},{'peggedUSD': 7593551.05}
1611014400,{'peggedUSD': 7991239.83},{'peggedUSD': 0},{'peggedUSD': 7992437.46},{'peggedUSD': 0},{'peggedUSD': 7992437.46}
1611100800,{'peggedUSD': 8739229.5},{'peggedUSD': 0},{'peggedUSD': 8717015.28},{'peggedUSD': 0},{'peggedUSD': 8717015.28}
