date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374377.96}
1652400000,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374377.96}
1652486400,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374377.96}
1652572800,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 373983.28},{'peggedUSD': 0},{'peggedUSD': 373983.28}
1652659200,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374047.91},{'peggedUSD': 0},{'peggedUSD': 374047.91}
1652745600,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374047.91},{'peggedUSD': 0},{'peggedUSD': 374047.91}
1652832000,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 373987.99},{'peggedUSD': 0},{'peggedUSD': 373987.99}
1652918400,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374012.69},{'peggedUSD': 0},{'peggedUSD': 374012.69}
1653004800,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374145.17},{'peggedUSD': 0},{'peggedUSD': 374145.17}
1653091200,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374145.17},{'peggedUSD': 0},{'peggedUSD': 374145.17}
1653177600,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 373966.74},{'peggedUSD': 0},{'peggedUSD': 373966.74}
1653264000,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374041.02},{'peggedUSD': 0},{'peggedUSD': 374041.02}
1653350400,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374003.58},{'peggedUSD': 0},{'peggedUSD': 374003.58}
1653436800,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374003.58},{'peggedUSD': 0},{'peggedUSD': 374003.58}
1653523200,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 373998.52},{'peggedUSD': 0},{'peggedUSD': 373998.52}
1653609600,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374024.82},{'peggedUSD': 0},{'peggedUSD': 374024.82}
1653696000,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374048.01},{'peggedUSD': 0},{'peggedUSD': 374048.01}
1653782400,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374070.44},{'peggedUSD': 0},{'peggedUSD': 374070.44}
1653868800,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374234.25},{'peggedUSD': 0},{'peggedUSD': 374234.25}
1653955200,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374178},{'peggedUSD': 0},{'peggedUSD': 374178}
1654041600,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374178},{'peggedUSD': 0},{'peggedUSD': 374178}
1654128000,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374153.33},{'peggedUSD': 0},{'peggedUSD': 374153.33}
1654214400,{'peggedUSD': 374377.96},{'peggedUSD': 0},{'peggedUSD': 374190.77},{'peggedUSD': 0},{'peggedUSD': 374190.77}
