date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 4429761.53},{'peggedUSD': 0},{'peggedUSD': 4429761.53},{'peggedUSD': 0},{'peggedUSD': 4429761.53}
1652400000,{'peggedUSD': 4409570.97},{'peggedUSD': 0},{'peggedUSD': 4409570.97},{'peggedUSD': 0},{'peggedUSD': 4409570.97}
1652486400,{'peggedUSD': 4014904.31},{'peggedUSD': 0},{'peggedUSD': 4014904.31},{'peggedUSD': 0},{'peggedUSD': 4014904.31}
1652572800,{'peggedUSD': 3889912.37},{'peggedUSD': 0},{'peggedUSD': 3885811.47},{'peggedUSD': 0},{'peggedUSD': 3885811.47}
1652659200,{'peggedUSD': 3896356.35},{'peggedUSD': 0},{'peggedUSD': 3892921.36},{'peggedUSD': 0},{'peggedUSD': 3892921.36}
1652745600,{'peggedUSD': 3823404.89},{'peggedUSD': 0},{'peggedUSD': 3820034.22},{'peggedUSD': 0},{'peggedUSD': 3820034.22}
1652832000,{'peggedUSD': 3738404.89},{'peggedUSD': 0},{'peggedUSD': 3734510.82},{'peggedUSD': 0},{'peggedUSD': 3734510.82}
1652918400,{'peggedUSD': 3705425.72},{'peggedUSD': 0},{'peggedUSD': 3701810.41},{'peggedUSD': 0},{'peggedUSD': 3701810.41}
1653004800,{'peggedUSD': 3715343.16},{'peggedUSD': 0},{'peggedUSD': 3713032.92},{'peggedUSD': 0},{'peggedUSD': 3713032.92}
1653091200,{'peggedUSD': 3710916.97},{'peggedUSD': 0},{'peggedUSD': 3708609.48},{'peggedUSD': 0},{'peggedUSD': 3708609.48}
1653177600,{'peggedUSD': 3738525.18},{'peggedUSD': 0},{'peggedUSD': 3734418.71},{'peggedUSD': 0},{'peggedUSD': 3734418.71}
1653264000,{'peggedUSD': 3653843.23},{'peggedUSD': 0},{'peggedUSD': 3650554.77},{'peggedUSD': 0},{'peggedUSD': 3650554.77}
1653350400,{'peggedUSD': 3663755.68},{'peggedUSD': 0},{'peggedUSD': 3660091.92},{'peggedUSD': 0},{'peggedUSD': 3660091.92}
1653436800,{'peggedUSD': 3663755.68},{'peggedUSD': 0},{'peggedUSD': 3660091.92},{'peggedUSD': 0},{'peggedUSD': 3660091.92}
1653523200,{'peggedUSD': 3718811.93},{'peggedUSD': 0},{'peggedUSD': 3715042.8},{'peggedUSD': 0},{'peggedUSD': 3715042.8}
1653609600,{'peggedUSD': 3747182},{'peggedUSD': 0},{'peggedUSD': 3743647.4},{'peggedUSD': 0},{'peggedUSD': 3743647.4}
1653696000,{'peggedUSD': 3741760.3},{'peggedUSD': 0},{'peggedUSD': 3738462.58},{'peggedUSD': 0},{'peggedUSD': 3738462.58}
1653782400,{'peggedUSD': 3743065.19},{'peggedUSD': 0},{'peggedUSD': 3739990.6},{'peggedUSD': 0},{'peggedUSD': 3739990.6}
1653868800,{'peggedUSD': 3746190.48},{'peggedUSD': 0},{'peggedUSD': 3744752.43},{'peggedUSD': 0},{'peggedUSD': 3744752.43}
1653955200,{'peggedUSD': 3754774.77},{'peggedUSD': 0},{'peggedUSD': 3752769.27},{'peggedUSD': 0},{'peggedUSD': 3752769.27}
1654041600,{'peggedUSD': 3819194.18},{'peggedUSD': 0},{'peggedUSD': 3817154.27},{'peggedUSD': 0},{'peggedUSD': 3817154.27}
1654128000,{'peggedUSD': 4158697.87},{'peggedUSD': 0},{'peggedUSD': 4156202.65},{'peggedUSD': 0},{'peggedUSD': 4156202.65}
1654214400,{'peggedUSD': 4172224.42},{'peggedUSD': 0},{'peggedUSD': 4170138.31},{'peggedUSD': 0},{'peggedUSD': 4170138.31}
1654300800,{'peggedUSD': 4170315.03},{'peggedUSD': 0},{'peggedUSD': 4168026.95},{'peggedUSD': 0},{'peggedUSD': 4168026.95}
1654387200,{'peggedUSD': 4223188.21},{'peggedUSD': 0},{'peggedUSD': 4220231.98},{'peggedUSD': 0},{'peggedUSD': 4220231.98}
1654473600,{'peggedUSD': 4222341.04},{'peggedUSD': 0},{'peggedUSD': 4219583.52},{'peggedUSD': 0},{'peggedUSD': 4219583.52}
1654560000,{'peggedUSD': 4251515.04},{'peggedUSD': 0},{'peggedUSD': 4249400.42},{'peggedUSD': 0},{'peggedUSD': 4249400.42}
1654646400,{'peggedUSD': 4201772.47},{'peggedUSD': 0},{'peggedUSD': 4199682.59},{'peggedUSD': 0},{'peggedUSD': 4199682.59}
1654732800,{'peggedUSD': 4221732.47},{'peggedUSD': 0},{'peggedUSD': 4219879.93},{'peggedUSD': 0},{'peggedUSD': 4219879.93}
1654819200,{'peggedUSD': 4251333.19},{'peggedUSD': 0},{'peggedUSD': 4249483.39},{'peggedUSD': 0},{'peggedUSD': 4249483.39}
1654905600,{'peggedUSD': 4292673.15},{'peggedUSD': 0},{'peggedUSD': 4291366.88},{'peggedUSD': 0},{'peggedUSD': 4291366.88}
