date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 111750897.83},{'peggedUSD': 0},{'peggedUSD': 111925730.74},{'peggedUSD': 0},{'peggedUSD': 111925730.74}
1609459200,{'peggedUSD': 122198985.74},{'peggedUSD': 0},{'peggedUSD': 122205347.98},{'peggedUSD': 0},{'peggedUSD': 122205347.98}
1609545600,{'peggedUSD': 126753046.73},{'peggedUSD': 0},{'peggedUSD': 127005615.74},{'peggedUSD': 0},{'peggedUSD': 127005615.74}
1609632000,{'peggedUSD': 137039997.22},{'peggedUSD': 0},{'peggedUSD': 137467631.81},{'peggedUSD': 0},{'peggedUSD': 137467631.81}
1609718400,{'peggedUSD': 107693526.52},{'peggedUSD': 0},{'peggedUSD': 107771193.63},{'peggedUSD': 0},{'peggedUSD': 107771193.63}
1609804800,{'peggedUSD': 141113741.11},{'peggedUSD': 0},{'peggedUSD': 141072271.66},{'peggedUSD': 0},{'peggedUSD': 141072271.66}
1609891200,{'peggedUSD': 138111942.3},{'peggedUSD': 0},{'peggedUSD': 138491360.48},{'peggedUSD': 0},{'peggedUSD': 138491360.48}
1609977600,{'peggedUSD': 155245254.84},{'peggedUSD': 0},{'peggedUSD': 156461062.5},{'peggedUSD': 0},{'peggedUSD': 156461062.5}
1610064000,{'peggedUSD': 152631251.21},{'peggedUSD': 0},{'peggedUSD': 152802652.51},{'peggedUSD': 0},{'peggedUSD': 152802652.51}
1610150400,{'peggedUSD': 132056797.64},{'peggedUSD': 0},{'peggedUSD': 132396886.64},{'peggedUSD': 0},{'peggedUSD': 132396886.64}
1610236800,{'peggedUSD': 67404932.28},{'peggedUSD': 0},{'peggedUSD': 67757336.78},{'peggedUSD': 0},{'peggedUSD': 67757336.78}
1610323200,{'peggedUSD': 87821744.3},{'peggedUSD': 0},{'peggedUSD': 88001367.54},{'peggedUSD': 0},{'peggedUSD': 88001367.54}
1610409600,{'peggedUSD': 11585902.15},{'peggedUSD': 0},{'peggedUSD': 11684596.11},{'peggedUSD': 0},{'peggedUSD': 11684596.11}
1610496000,{'peggedUSD': 8690574.81},{'peggedUSD': 0},{'peggedUSD': 8710782.81},{'peggedUSD': 0},{'peggedUSD': 8710782.81}
1610582400,{'peggedUSD': 20226009.26},{'peggedUSD': 0},{'peggedUSD': 20299198.08},{'peggedUSD': 0},{'peggedUSD': 20299198.08}
1610668800,{'peggedUSD': 20252292.46},{'peggedUSD': 0},{'peggedUSD': 20209283.8},{'peggedUSD': 0},{'peggedUSD': 20209283.8}
1610755200,{'peggedUSD': 1901113.31},{'peggedUSD': 0},{'peggedUSD': 1902105.62},{'peggedUSD': 0},{'peggedUSD': 1902105.62}
1610841600,{'peggedUSD': 8300823.77},{'peggedUSD': 0},{'peggedUSD': 8318596.31},{'peggedUSD': 0},{'peggedUSD': 8318596.31}
1610928000,{'peggedUSD': 13742061.35},{'peggedUSD': 0},{'peggedUSD': 13717083.1},{'peggedUSD': 0},{'peggedUSD': 13717083.1}
1611014400,{'peggedUSD': 5378892.88},{'peggedUSD': 0},{'peggedUSD': 5379699.01},{'peggedUSD': 0},{'peggedUSD': 5379699.01}
1611100800,{'peggedUSD': 40488086.96},{'peggedUSD': 0},{'peggedUSD': 40385170.41},{'peggedUSD': 0},{'peggedUSD': 40385170.41}
1611187200,{'peggedUSD': 41089177.99},{'peggedUSD': 0},{'peggedUSD': 40996986.55},{'peggedUSD': 0},{'peggedUSD': 40996986.55}
1611273600,{'peggedUSD': 28384167.47},{'peggedUSD': 0},{'peggedUSD': 28395856.49},{'peggedUSD': 0},{'peggedUSD': 28395856.49}
1611360000,{'peggedUSD': 3563323.82},{'peggedUSD': 0},{'peggedUSD': 3564791.25},{'peggedUSD': 0},{'peggedUSD': 3564791.25}
1611446400,{'peggedUSD': 8708503.97},{'peggedUSD': 0},{'peggedUSD': 8696152.45},{'peggedUSD': 0},{'peggedUSD': 8696152.45}
1611532800,{'peggedUSD': 23350878.16},{'peggedUSD': 0},{'peggedUSD': 23341214.31},{'peggedUSD': 0},{'peggedUSD': 23341214.31}
1611619200,{'peggedUSD': 48743022.8},{'peggedUSD': 0},{'peggedUSD': 48784246.15},{'peggedUSD': 0},{'peggedUSD': 48784246.15}
1611705600,{'peggedUSD': 124800098.67},{'peggedUSD': 0},{'peggedUSD': 125199615.43},{'peggedUSD': 0},{'peggedUSD': 125199615.43}
1611792000,{'peggedUSD': 162720325.1},{'peggedUSD': 0},{'peggedUSD': 163057929.49},{'peggedUSD': 0},{'peggedUSD': 163057929.49}
1611878400,{'peggedUSD': 161877380.35},{'peggedUSD': 0},{'peggedUSD': 161692928.63},{'peggedUSD': 0},{'peggedUSD': 161692928.63}
1611964800,{'peggedUSD': 178158805.21},{'peggedUSD': 0},{'peggedUSD': 177275192.23},{'peggedUSD': 0},{'peggedUSD': 177275192.23}
1612051200,{'peggedUSD': 182813664.68},{'peggedUSD': 0},{'peggedUSD': 182174771.47},{'peggedUSD': 0},{'peggedUSD': 182174771.47}
1612137600,{'peggedUSD': 168704778.22},{'peggedUSD': 0},{'peggedUSD': 168854803.44},{'peggedUSD': 0},{'peggedUSD': 168854803.44}
1612224000,{'peggedUSD': 148475220.92},{'peggedUSD': 0},{'peggedUSD': 148097568.69},{'peggedUSD': 0},{'peggedUSD': 148097568.69}
1612310400,{'peggedUSD': 131793989.03},{'peggedUSD': 0},{'peggedUSD': 131916457.77},{'peggedUSD': 0},{'peggedUSD': 131916457.77}
1612396800,{'peggedUSD': 101795005.46},{'peggedUSD': 0},{'peggedUSD': 101786788.42},{'peggedUSD': 0},{'peggedUSD': 101786788.42}
1612483200,{'peggedUSD': 73965679.55},{'peggedUSD': 0},{'peggedUSD': 74068943.68},{'peggedUSD': 0},{'peggedUSD': 74068943.68}
1612569600,{'peggedUSD': 44332287.09},{'peggedUSD': 0},{'peggedUSD': 44422734.27},{'peggedUSD': 0},{'peggedUSD': 44422734.27}
1612656000,{'peggedUSD': 50950847.17},{'peggedUSD': 0},{'peggedUSD': 50919127.31},{'peggedUSD': 0},{'peggedUSD': 50919127.31}
1612742400,{'peggedUSD': 41504605.89},{'peggedUSD': 0},{'peggedUSD': 41452039.45},{'peggedUSD': 0},{'peggedUSD': 41452039.45}
1612828800,{'peggedUSD': 63891257.61},{'peggedUSD': 0},{'peggedUSD': 64080894.44},{'peggedUSD': 0},{'peggedUSD': 64080894.44}
1612915200,{'peggedUSD': 71038243.24},{'peggedUSD': 0},{'peggedUSD': 70722926.4},{'peggedUSD': 0},{'peggedUSD': 70722926.4}
1613001600,{'peggedUSD': 87808443.58},{'peggedUSD': 0},{'peggedUSD': 87634481.23},{'peggedUSD': 0},{'peggedUSD': 87634481.23}
1613088000,{'peggedUSD': 81106358.25},{'peggedUSD': 0},{'peggedUSD': 80912234.05},{'peggedUSD': 0},{'peggedUSD': 80912234.05}
1613174400,{'peggedUSD': 90792169.31},{'peggedUSD': 0},{'peggedUSD': 90534870.08},{'peggedUSD': 0},{'peggedUSD': 90534870.08}
1613260800,{'peggedUSD': 80031483.96},{'peggedUSD': 0},{'peggedUSD': 79933396.52},{'peggedUSD': 0},{'peggedUSD': 79933396.52}
1613347200,{'peggedUSD': 83749500.89},{'peggedUSD': 0},{'peggedUSD': 83439730.36},{'peggedUSD': 0},{'peggedUSD': 83439730.36}
1613433600,{'peggedUSD': 34957912.57},{'peggedUSD': 0},{'peggedUSD': 34964182.28},{'peggedUSD': 0},{'peggedUSD': 34964182.28}
1613520000,{'peggedUSD': 21174051.96},{'peggedUSD': 0},{'peggedUSD': 21196892.81},{'peggedUSD': 0},{'peggedUSD': 21196892.81}
1613606400,{'peggedUSD': 8323409.92},{'peggedUSD': 0},{'peggedUSD': 8329018.15},{'peggedUSD': 0},{'peggedUSD': 8329018.15}
1613692800,{'peggedUSD': 19296504.34},{'peggedUSD': 0},{'peggedUSD': 19302085.63},{'peggedUSD': 0},{'peggedUSD': 19302085.63}
1613779200,{'peggedUSD': 39913838.96},{'peggedUSD': 0},{'peggedUSD': 40167268.69},{'peggedUSD': 0},{'peggedUSD': 40167268.69}
1613865600,{'peggedUSD': 37828274.28},{'peggedUSD': 0},{'peggedUSD': 38019551.48},{'peggedUSD': 0},{'peggedUSD': 38019551.48}
1613952000,{'peggedUSD': 61408251.94},{'peggedUSD': 0},{'peggedUSD': 61628757.8},{'peggedUSD': 0},{'peggedUSD': 61628757.8}
1614038400,{'peggedUSD': 66316331.73},{'peggedUSD': 0},{'peggedUSD': 66665518.45},{'peggedUSD': 0},{'peggedUSD': 66665518.45}
1614124800,{'peggedUSD': 70750790.12},{'peggedUSD': 0},{'peggedUSD': 71013209.99},{'peggedUSD': 0},{'peggedUSD': 71013209.99}
1614211200,{'peggedUSD': 74454927.17},{'peggedUSD': 0},{'peggedUSD': 75220961.54},{'peggedUSD': 0},{'peggedUSD': 75220961.54}
1614297600,{'peggedUSD': 73133557.51},{'peggedUSD': 0},{'peggedUSD': 73405735.62},{'peggedUSD': 0},{'peggedUSD': 73405735.62}
1614384000,{'peggedUSD': 71703991.64},{'peggedUSD': 0},{'peggedUSD': 72280854.57},{'peggedUSD': 0},{'peggedUSD': 72280854.57}
1614470400,{'peggedUSD': 73934129.34},{'peggedUSD': 0},{'peggedUSD': 73490226.2},{'peggedUSD': 0},{'peggedUSD': 73490226.2}
1614556800,{'peggedUSD': 77181738.88},{'peggedUSD': 0},{'peggedUSD': 78058178.05},{'peggedUSD': 0},{'peggedUSD': 78058178.05}
1614643200,{'peggedUSD': 87306200.08},{'peggedUSD': 0},{'peggedUSD': 88025096.19},{'peggedUSD': 0},{'peggedUSD': 88025096.19}
1614729600,{'peggedUSD': 71673522.96},{'peggedUSD': 0},{'peggedUSD': 72277975.19},{'peggedUSD': 0},{'peggedUSD': 72277975.19}
1614816000,{'peggedUSD': 59311355.37},{'peggedUSD': 0},{'peggedUSD': 59265430.88},{'peggedUSD': 0},{'peggedUSD': 59265430.88}
1614902400,{'peggedUSD': 95956872.61},{'peggedUSD': 0},{'peggedUSD': 96273826.08},{'peggedUSD': 0},{'peggedUSD': 96273826.08}
1614988800,{'peggedUSD': 87300935.9},{'peggedUSD': 0},{'peggedUSD': 87169041.67},{'peggedUSD': 0},{'peggedUSD': 87169041.67}
1615075200,{'peggedUSD': 99803799.1},{'peggedUSD': 0},{'peggedUSD': 99988335.71},{'peggedUSD': 0},{'peggedUSD': 99988335.71}
1615161600,{'peggedUSD': 97534734.4},{'peggedUSD': 0},{'peggedUSD': 97840683.35},{'peggedUSD': 0},{'peggedUSD': 97840683.35}
1615248000,{'peggedUSD': 119423938.52},{'peggedUSD': 0},{'peggedUSD': 119466710.26},{'peggedUSD': 0},{'peggedUSD': 119466710.26}
1615334400,{'peggedUSD': 132337814.05},{'peggedUSD': 0},{'peggedUSD': 132669358.34},{'peggedUSD': 0},{'peggedUSD': 132669358.34}
1615420800,{'peggedUSD': 130642215.75},{'peggedUSD': 0},{'peggedUSD': 130261153.19},{'peggedUSD': 0},{'peggedUSD': 130261153.19}
1615507200,{'peggedUSD': 123601478.68},{'peggedUSD': 0},{'peggedUSD': 123877541.99},{'peggedUSD': 0},{'peggedUSD': 123877541.99}
1615593600,{'peggedUSD': 103681729.16},{'peggedUSD': 0},{'peggedUSD': 103892029.78},{'peggedUSD': 0},{'peggedUSD': 103892029.78}
1615680000,{'peggedUSD': 122304880.7},{'peggedUSD': 0},{'peggedUSD': 122543704.69},{'peggedUSD': 0},{'peggedUSD': 122543704.69}
1615766400,{'peggedUSD': 132414362.24},{'peggedUSD': 0},{'peggedUSD': 132904755.2},{'peggedUSD': 0},{'peggedUSD': 132904755.2}
1615852800,{'peggedUSD': 157594583.03},{'peggedUSD': 0},{'peggedUSD': 158072982.87},{'peggedUSD': 0},{'peggedUSD': 158072982.87}
1615939200,{'peggedUSD': 150904743.5},{'peggedUSD': 0},{'peggedUSD': 151153471.05},{'peggedUSD': 0},{'peggedUSD': 151153471.05}
1616025600,{'peggedUSD': 138892700.84},{'peggedUSD': 0},{'peggedUSD': 139454785.14},{'peggedUSD': 0},{'peggedUSD': 139454785.14}
1616112000,{'peggedUSD': 117329093.92},{'peggedUSD': 0},{'peggedUSD': 117783836.13},{'peggedUSD': 0},{'peggedUSD': 117783836.13}
1616198400,{'peggedUSD': 96018254.7},{'peggedUSD': 0},{'peggedUSD': 96439404.49},{'peggedUSD': 0},{'peggedUSD': 96439404.49}
1616284800,{'peggedUSD': 116144694.16},{'peggedUSD': 0},{'peggedUSD': 116650559.13},{'peggedUSD': 0},{'peggedUSD': 116650559.13}
1616371200,{'peggedUSD': 140098934.89},{'peggedUSD': 0},{'peggedUSD': 140574130.71},{'peggedUSD': 0},{'peggedUSD': 140574130.71}
1616457600,{'peggedUSD': 156777882.52},{'peggedUSD': 0},{'peggedUSD': 157339910.26},{'peggedUSD': 0},{'peggedUSD': 157339910.26}
1616544000,{'peggedUSD': 136591687.84},{'peggedUSD': 0},{'peggedUSD': 136367186.52},{'peggedUSD': 0},{'peggedUSD': 136367186.52}
1616630400,{'peggedUSD': 174428211.14},{'peggedUSD': 0},{'peggedUSD': 174229296.34},{'peggedUSD': 0},{'peggedUSD': 174229296.34}
1616716800,{'peggedUSD': 215057139.98},{'peggedUSD': 0},{'peggedUSD': 214816770.37},{'peggedUSD': 0},{'peggedUSD': 214816770.37}
1616803200,{'peggedUSD': 227666065.9},{'peggedUSD': 0},{'peggedUSD': 227565669.81},{'peggedUSD': 0},{'peggedUSD': 227565669.81}
1616889600,{'peggedUSD': 217444731.46},{'peggedUSD': 0},{'peggedUSD': 217445768.64},{'peggedUSD': 0},{'peggedUSD': 217445768.64}
1616976000,{'peggedUSD': 189137906.02},{'peggedUSD': 0},{'peggedUSD': 189786330.07},{'peggedUSD': 0},{'peggedUSD': 189786330.07}
1617062400,{'peggedUSD': 150263784.45},{'peggedUSD': 0},{'peggedUSD': 150147121.11},{'peggedUSD': 0},{'peggedUSD': 150147121.11}
1617148800,{'peggedUSD': 124094271.61},{'peggedUSD': 0},{'peggedUSD': 124082545.36},{'peggedUSD': 0},{'peggedUSD': 124082545.36}
1617235200,{'peggedUSD': 102994677.06},{'peggedUSD': 0},{'peggedUSD': 103024321.66},{'peggedUSD': 0},{'peggedUSD': 103024321.66}
1617321600,{'peggedUSD': 86513134.08},{'peggedUSD': 0},{'peggedUSD': 86576778.47},{'peggedUSD': 0},{'peggedUSD': 86576778.47}
1617408000,{'peggedUSD': 45039103.4},{'peggedUSD': 0},{'peggedUSD': 45064372.68},{'peggedUSD': 0},{'peggedUSD': 45064372.68}
1617494400,{'peggedUSD': 2588410.13},{'peggedUSD': 0},{'peggedUSD': 2590059.7},{'peggedUSD': 0},{'peggedUSD': 2590059.7}
1617580800,{'peggedUSD': 12538933.94},{'peggedUSD': 0},{'peggedUSD': 12545491.02},{'peggedUSD': 0},{'peggedUSD': 12545491.02}
1617667200,{'peggedUSD': 19455956.38},{'peggedUSD': 0},{'peggedUSD': 19442885.9},{'peggedUSD': 0},{'peggedUSD': 19442885.9}
1617753600,{'peggedUSD': 28580537.6},{'peggedUSD': 0},{'peggedUSD': 28589200.53},{'peggedUSD': 0},{'peggedUSD': 28589200.53}
1617840000,{'peggedUSD': 33436837.25},{'peggedUSD': 0},{'peggedUSD': 33418777.58},{'peggedUSD': 0},{'peggedUSD': 33418777.58}
1617926400,{'peggedUSD': 29192206.9},{'peggedUSD': 0},{'peggedUSD': 29244051.02},{'peggedUSD': 0},{'peggedUSD': 29244051.02}
1618012800,{'peggedUSD': 2838782.19},{'peggedUSD': 0},{'peggedUSD': 2837370.47},{'peggedUSD': 0},{'peggedUSD': 2837370.47}
1618099200,{'peggedUSD': 17225018.75},{'peggedUSD': 0},{'peggedUSD': 17212239.55},{'peggedUSD': 0},{'peggedUSD': 17212239.55}
1618185600,{'peggedUSD': 23914627.87},{'peggedUSD': 0},{'peggedUSD': 23936980.41},{'peggedUSD': 0},{'peggedUSD': 23936980.41}
1618272000,{'peggedUSD': 23787298.62},{'peggedUSD': 0},{'peggedUSD': 23806168.4},{'peggedUSD': 0},{'peggedUSD': 23806168.4}
1618358400,{'peggedUSD': 44743797.88},{'peggedUSD': 0},{'peggedUSD': 44798768.09},{'peggedUSD': 0},{'peggedUSD': 44798768.09}
1618444800,{'peggedUSD': 61725936.23},{'peggedUSD': 0},{'peggedUSD': 61705683.23},{'peggedUSD': 0},{'peggedUSD': 61705683.23}
1618531200,{'peggedUSD': 88445076.94},{'peggedUSD': 0},{'peggedUSD': 88443413.86},{'peggedUSD': 0},{'peggedUSD': 88443413.86}
1618617600,{'peggedUSD': 178793179.8},{'peggedUSD': 0},{'peggedUSD': 178601254.04},{'peggedUSD': 0},{'peggedUSD': 178601254.04}
1618704000,{'peggedUSD': 248259923.19},{'peggedUSD': 0},{'peggedUSD': 248594824.03},{'peggedUSD': 0},{'peggedUSD': 248594824.03}
1618790400,{'peggedUSD': 292652530.95},{'peggedUSD': 0},{'peggedUSD': 292823402.12},{'peggedUSD': 0},{'peggedUSD': 292823402.12}
1618876800,{'peggedUSD': 279561303.02},{'peggedUSD': 0},{'peggedUSD': 279515710.28},{'peggedUSD': 0},{'peggedUSD': 279515710.28}
1618963200,{'peggedUSD': 286213936.15},{'peggedUSD': 0},{'peggedUSD': 286325348.3},{'peggedUSD': 0},{'peggedUSD': 286325348.3}
1619049600,{'peggedUSD': 226407211.94},{'peggedUSD': 0},{'peggedUSD': 225760785.01},{'peggedUSD': 0},{'peggedUSD': 225760785.01}
1619136000,{'peggedUSD': 156730748.69},{'peggedUSD': 0},{'peggedUSD': 156903592.16},{'peggedUSD': 0},{'peggedUSD': 156903592.16}
1619222400,{'peggedUSD': 163813600.8},{'peggedUSD': 0},{'peggedUSD': 164103475.19},{'peggedUSD': 0},{'peggedUSD': 164103475.19}
1619308800,{'peggedUSD': 143366241.98},{'peggedUSD': 0},{'peggedUSD': 143157732.42},{'peggedUSD': 0},{'peggedUSD': 143157732.42}
1619395200,{'peggedUSD': 133113438.16},{'peggedUSD': 0},{'peggedUSD': 133627501.04},{'peggedUSD': 0},{'peggedUSD': 133627501.04}
1619481600,{'peggedUSD': 128093845.48},{'peggedUSD': 0},{'peggedUSD': 128169713.97},{'peggedUSD': 0},{'peggedUSD': 128169713.97}
1619568000,{'peggedUSD': 109498747},{'peggedUSD': 0},{'peggedUSD': 109153794.89},{'peggedUSD': 0},{'peggedUSD': 109153794.89}
1619654400,{'peggedUSD': 95474827.25},{'peggedUSD': 0},{'peggedUSD': 95627629.55},{'peggedUSD': 0},{'peggedUSD': 95627629.55}
1619740800,{'peggedUSD': 79166154.28},{'peggedUSD': 0},{'peggedUSD': 79221402.36},{'peggedUSD': 0},{'peggedUSD': 79221402.36}
1619827200,{'peggedUSD': 73302188.38},{'peggedUSD': 0},{'peggedUSD': 73402833.88},{'peggedUSD': 0},{'peggedUSD': 73402833.88}
1619913600,{'peggedUSD': 67145121.1},{'peggedUSD': 0},{'peggedUSD': 67181866.03},{'peggedUSD': 0},{'peggedUSD': 67181866.03}
1620000000,{'peggedUSD': 28824184.79},{'peggedUSD': 0},{'peggedUSD': 28841275.06},{'peggedUSD': 0},{'peggedUSD': 28841275.06}
1620086400,{'peggedUSD': 11876881.47},{'peggedUSD': 0},{'peggedUSD': 11892557.03},{'peggedUSD': 0},{'peggedUSD': 11892557.03}
1620172800,{'peggedUSD': 19750993.05},{'peggedUSD': 0},{'peggedUSD': 19820747.74},{'peggedUSD': 0},{'peggedUSD': 19820747.74}
1620259200,{'peggedUSD': 47686232.82},{'peggedUSD': 0},{'peggedUSD': 47614342.77},{'peggedUSD': 0},{'peggedUSD': 47614342.77}
1620345600,{'peggedUSD': 33926399.02},{'peggedUSD': 0},{'peggedUSD': 33936553.47},{'peggedUSD': 0},{'peggedUSD': 33936553.47}
1620432000,{'peggedUSD': 17824758.78},{'peggedUSD': 0},{'peggedUSD': 17857294.39},{'peggedUSD': 0},{'peggedUSD': 17857294.39}
1620518400,{'peggedUSD': 22318918.66},{'peggedUSD': 0},{'peggedUSD': 22293118.17},{'peggedUSD': 0},{'peggedUSD': 22293118.17}
1620604800,{'peggedUSD': 20870525.59},{'peggedUSD': 0},{'peggedUSD': 20892361.74},{'peggedUSD': 0},{'peggedUSD': 20892361.74}
1620691200,{'peggedUSD': 117742653.05},{'peggedUSD': 0},{'peggedUSD': 118588892.2},{'peggedUSD': 0},{'peggedUSD': 118588892.2}
1620777600,{'peggedUSD': 107508294.54},{'peggedUSD': 0},{'peggedUSD': 107586378.71},{'peggedUSD': 0},{'peggedUSD': 107586378.71}
1620864000,{'peggedUSD': 61356768.39},{'peggedUSD': 0},{'peggedUSD': 61552616.42},{'peggedUSD': 0},{'peggedUSD': 61552616.42}
1620950400,{'peggedUSD': 92346131.41},{'peggedUSD': 0},{'peggedUSD': 91698097.89},{'peggedUSD': 0},{'peggedUSD': 91698097.89}
1621036800,{'peggedUSD': 29011388.87},{'peggedUSD': 0},{'peggedUSD': 28971683.7},{'peggedUSD': 0},{'peggedUSD': 28971683.7}
1621123200,{'peggedUSD': 13608627.55},{'peggedUSD': 0},{'peggedUSD': 13542405.3},{'peggedUSD': 0},{'peggedUSD': 13542405.3}
1621209600,{'peggedUSD': 33601410.02},{'peggedUSD': 0},{'peggedUSD': 33522331.05},{'peggedUSD': 0},{'peggedUSD': 33522331.05}
1621296000,{'peggedUSD': 22000439.11},{'peggedUSD': 0},{'peggedUSD': 22131006.25},{'peggedUSD': 0},{'peggedUSD': 22131006.25}
1621382400,{'peggedUSD': 22343693.84},{'peggedUSD': 0},{'peggedUSD': 22277257.68},{'peggedUSD': 0},{'peggedUSD': 22277257.68}
1621468800,{'peggedUSD': 187701804.28},{'peggedUSD': 0},{'peggedUSD': 186611360.36},{'peggedUSD': 0},{'peggedUSD': 186611360.36}
1621555200,{'peggedUSD': 213986491.49},{'peggedUSD': 0},{'peggedUSD': 214965887.64},{'peggedUSD': 0},{'peggedUSD': 214965887.64}
1621641600,{'peggedUSD': 216366351.86},{'peggedUSD': 0},{'peggedUSD': 216127803.6},{'peggedUSD': 0},{'peggedUSD': 216127803.6}
1621728000,{'peggedUSD': 135497113.14},{'peggedUSD': 0},{'peggedUSD': 135885941.17},{'peggedUSD': 0},{'peggedUSD': 135885941.17}
1621814400,{'peggedUSD': 103496959.69},{'peggedUSD': 0},{'peggedUSD': 103638216.66},{'peggedUSD': 0},{'peggedUSD': 103638216.66}
1621900800,{'peggedUSD': 99717065.39},{'peggedUSD': 0},{'peggedUSD': 100024276.86},{'peggedUSD': 0},{'peggedUSD': 100024276.86}
1621987200,{'peggedUSD': 72101982.49},{'peggedUSD': 0},{'peggedUSD': 72185618.03},{'peggedUSD': 0},{'peggedUSD': 72185618.03}
1622073600,{'peggedUSD': 50024681.1},{'peggedUSD': 0},{'peggedUSD': 49990183.11},{'peggedUSD': 0},{'peggedUSD': 49990183.11}
1622160000,{'peggedUSD': 18102493.51},{'peggedUSD': 0},{'peggedUSD': 18089382.39},{'peggedUSD': 0},{'peggedUSD': 18089382.39}
1622246400,{'peggedUSD': 33656769.22},{'peggedUSD': 0},{'peggedUSD': 33677998.11},{'peggedUSD': 0},{'peggedUSD': 33677998.11}
1622332800,{'peggedUSD': 54416507.34},{'peggedUSD': 0},{'peggedUSD': 54370884.54},{'peggedUSD': 0},{'peggedUSD': 54370884.54}
1622419200,{'peggedUSD': 45413980.74},{'peggedUSD': 0},{'peggedUSD': 45325364.22},{'peggedUSD': 0},{'peggedUSD': 45325364.22}
1622505600,{'peggedUSD': 38581789.12},{'peggedUSD': 0},{'peggedUSD': 38487278.18},{'peggedUSD': 0},{'peggedUSD': 38487278.18}
1622592000,{'peggedUSD': 38520561.4},{'peggedUSD': 0},{'peggedUSD': 38610590.19},{'peggedUSD': 0},{'peggedUSD': 38610590.19}
1622678400,{'peggedUSD': 55584020.93},{'peggedUSD': 0},{'peggedUSD': 55554713.62},{'peggedUSD': 0},{'peggedUSD': 55554713.62}
1622764800,{'peggedUSD': 61629578.45},{'peggedUSD': 0},{'peggedUSD': 61649853.27},{'peggedUSD': 0},{'peggedUSD': 61649853.27}
1622851200,{'peggedUSD': 68398677.31},{'peggedUSD': 0},{'peggedUSD': 68442816.97},{'peggedUSD': 0},{'peggedUSD': 68442816.97}
1622937600,{'peggedUSD': 73302912.17},{'peggedUSD': 0},{'peggedUSD': 73376853.28},{'peggedUSD': 0},{'peggedUSD': 73376853.28}
1623024000,{'peggedUSD': 64640767.1},{'peggedUSD': 0},{'peggedUSD': 64807426.09},{'peggedUSD': 0},{'peggedUSD': 64807426.09}
1623110400,{'peggedUSD': 56013698.09},{'peggedUSD': 0},{'peggedUSD': 56029172.71},{'peggedUSD': 0},{'peggedUSD': 56029172.71}
1623196800,{'peggedUSD': 50174002.86},{'peggedUSD': 0},{'peggedUSD': 50295555.83},{'peggedUSD': 0},{'peggedUSD': 50295555.83}
1623283200,{'peggedUSD': 44082696.27},{'peggedUSD': 0},{'peggedUSD': 44159800.93},{'peggedUSD': 0},{'peggedUSD': 44159800.93}
1623369600,{'peggedUSD': 44258580.2},{'peggedUSD': 0},{'peggedUSD': 44434773.24},{'peggedUSD': 0},{'peggedUSD': 44434773.24}
1623456000,{'peggedUSD': 37284910.85},{'peggedUSD': 0},{'peggedUSD': 37310380.81},{'peggedUSD': 0},{'peggedUSD': 37310380.81}
1623542400,{'peggedUSD': 28822021.96},{'peggedUSD': 0},{'peggedUSD': 28945056.4},{'peggedUSD': 0},{'peggedUSD': 28945056.4}
1623628800,{'peggedUSD': 20371991.55},{'peggedUSD': 0},{'peggedUSD': 20360280.49},{'peggedUSD': 0},{'peggedUSD': 20360280.49}
1623715200,{'peggedUSD': 20833253.15},{'peggedUSD': 0},{'peggedUSD': 20856564.7},{'peggedUSD': 0},{'peggedUSD': 20856564.7}
1623801600,{'peggedUSD': 24165345.93},{'peggedUSD': 0},{'peggedUSD': 24234987.48},{'peggedUSD': 0},{'peggedUSD': 24234987.48}
1623888000,{'peggedUSD': 17916427.48},{'peggedUSD': 0},{'peggedUSD': 17889595.29},{'peggedUSD': 0},{'peggedUSD': 17889595.29}
1623974400,{'peggedUSD': 16993428.23},{'peggedUSD': 0},{'peggedUSD': 17043039.06},{'peggedUSD': 0},{'peggedUSD': 17043039.06}
1624060800,{'peggedUSD': 6993531.63},{'peggedUSD': 0},{'peggedUSD': 6999665.79},{'peggedUSD': 0},{'peggedUSD': 6999665.79}
1624147200,{'peggedUSD': 14782449.31},{'peggedUSD': 0},{'peggedUSD': 14844705.11},{'peggedUSD': 0},{'peggedUSD': 14844705.11}
