date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 85421434.4},{'peggedUSD': 0},{'peggedUSD': 85421434.4},{'peggedUSD': 0},{'peggedUSD': 85421434.4}
1652400000,{'peggedUSD': 85421434.4},{'peggedUSD': 0},{'peggedUSD': 85421434.4},{'peggedUSD': 0},{'peggedUSD': 85421434.4}
1652486400,{'peggedUSD': 83656785.57},{'peggedUSD': 0},{'peggedUSD': 83656785.57},{'peggedUSD': 0},{'peggedUSD': 83656785.57}
1652572800,{'peggedUSD': 83696140.62},{'peggedUSD': 0},{'peggedUSD': 83607904.8},{'peggedUSD': 0},{'peggedUSD': 83607904.8}
1652659200,{'peggedUSD': 82463339.43},{'peggedUSD': 0},{'peggedUSD': 82390640.58},{'peggedUSD': 0},{'peggedUSD': 82390640.58}
1652745600,{'peggedUSD': 84499171.96},{'peggedUSD': 0},{'peggedUSD': 84424678.34},{'peggedUSD': 0},{'peggedUSD': 84424678.34}
1652832000,{'peggedUSD': 84970551.02},{'peggedUSD': 0},{'peggedUSD': 84882042.3},{'peggedUSD': 0},{'peggedUSD': 84882042.3}
1652918400,{'peggedUSD': 85037516.95},{'peggedUSD': 0},{'peggedUSD': 84954547.55},{'peggedUSD': 0},{'peggedUSD': 84954547.55}
1653004800,{'peggedUSD': 87413193.11},{'peggedUSD': 0},{'peggedUSD': 87358838.71},{'peggedUSD': 0},{'peggedUSD': 87358838.71}
1653091200,{'peggedUSD': 88440446.21},{'peggedUSD': 0},{'peggedUSD': 88385453.06},{'peggedUSD': 0},{'peggedUSD': 88385453.06}
1653177600,{'peggedUSD': 90265627.5},{'peggedUSD': 0},{'peggedUSD': 90166477.93},{'peggedUSD': 0},{'peggedUSD': 90166477.93}
1653264000,{'peggedUSD': 91006885.22},{'peggedUSD': 0},{'peggedUSD': 90924979.02},{'peggedUSD': 0},{'peggedUSD': 90924979.02}
1653350400,{'peggedUSD': 93866862.25},{'peggedUSD': 0},{'peggedUSD': 93772995.38},{'peggedUSD': 0},{'peggedUSD': 93772995.38}
1653436800,{'peggedUSD': 93866862.25},{'peggedUSD': 0},{'peggedUSD': 93772995.38},{'peggedUSD': 0},{'peggedUSD': 93772995.38}
1653523200,{'peggedUSD': 93782564.72},{'peggedUSD': 0},{'peggedUSD': 93687513.27},{'peggedUSD': 0},{'peggedUSD': 93687513.27}
1653609600,{'peggedUSD': 92844350.89},{'peggedUSD': 0},{'peggedUSD': 92756773.6},{'peggedUSD': 0},{'peggedUSD': 92756773.6}
1653696000,{'peggedUSD': 92212391.93},{'peggedUSD': 0},{'peggedUSD': 92131122.38},{'peggedUSD': 0},{'peggedUSD': 92131122.38}
