date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887739398.97},{'peggedUSD': 887739398.97},{'peggedUSD': 0}
1652400000,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887739398.97},{'peggedUSD': 887739398.97},{'peggedUSD': 0}
1652486400,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887739398.97},{'peggedUSD': 887739398.97},{'peggedUSD': 0}
1652572800,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886803508.59},{'peggedUSD': 886803508.59},{'peggedUSD': 0}
1652659200,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886956776.79},{'peggedUSD': 886956776.79},{'peggedUSD': 0}
1652745600,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886956776.79},{'peggedUSD': 886956776.79},{'peggedUSD': 0}
1652832000,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886814694.1},{'peggedUSD': 886814694.1},{'peggedUSD': 0}
1652918400,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886873249.39},{'peggedUSD': 886873249.39},{'peggedUSD': 0}
1653004800,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887187393.73},{'peggedUSD': 887187393.73},{'peggedUSD': 0}
1653091200,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887187393.73},{'peggedUSD': 887187393.73},{'peggedUSD': 0}
1653177600,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886764288.26},{'peggedUSD': 886764288.26},{'peggedUSD': 0}
1653264000,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886940433.51},{'peggedUSD': 886940433.51},{'peggedUSD': 0}
1653350400,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886851659.57},{'peggedUSD': 886851659.57},{'peggedUSD': 0}
1653436800,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886851659.57},{'peggedUSD': 886851659.57},{'peggedUSD': 0}
1653523200,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886839648.46},{'peggedUSD': 886839648.46},{'peggedUSD': 0}
1653609600,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886902021.03},{'peggedUSD': 886902021.03},{'peggedUSD': 0}
1653696000,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 886957007.61},{'peggedUSD': 886957007.61},{'peggedUSD': 0}
1653782400,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887010200.95},{'peggedUSD': 887010200.95},{'peggedUSD': 0}
1653868800,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887398622.45},{'peggedUSD': 887398622.45},{'peggedUSD': 0}
1653955200,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887265239.6},{'peggedUSD': 887265239.6},{'peggedUSD': 0}
1654041600,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887265239.6},{'peggedUSD': 887265239.6},{'peggedUSD': 0}
1654128000,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887206755.33},{'peggedUSD': 887206755.33},{'peggedUSD': 0}
1654214400,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887295529.27},{'peggedUSD': 887295529.27},{'peggedUSD': 0}
1654300800,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887252331.87},{'peggedUSD': 887252331.87},{'peggedUSD': 0}
1654387200,{'peggedUSD': 887739398.97},{'peggedUSD': 447260601.03},{'peggedUSD': 887117981.39},{'peggedUSD': 887117981.39},{'peggedUSD': 0}
