date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 43319.3},{'peggedUSD': 0},{'peggedUSD': 43387.07},{'peggedUSD': 0},{'peggedUSD': 43387.07}
1609459200,{'peggedUSD': 42325.63},{'peggedUSD': 0},{'peggedUSD': 42327.84},{'peggedUSD': 0},{'peggedUSD': 42327.84}
1609545600,{'peggedUSD': 42325.63},{'peggedUSD': 0},{'peggedUSD': 42409.97},{'peggedUSD': 0},{'peggedUSD': 42409.97}
1609632000,{'peggedUSD': 42325.63},{'peggedUSD': 0},{'peggedUSD': 42457.71},{'peggedUSD': 0},{'peggedUSD': 42457.71}
1609718400,{'peggedUSD': 42325.63},{'peggedUSD': 0},{'peggedUSD': 42356.16},{'peggedUSD': 0},{'peggedUSD': 42356.16}
1609804800,{'peggedUSD': 42325.63},{'peggedUSD': 0},{'peggedUSD': 42313.19},{'peggedUSD': 0},{'peggedUSD': 42313.19}
1609891200,{'peggedUSD': 42325.63},{'peggedUSD': 0},{'peggedUSD': 42441.91},{'peggedUSD': 0},{'peggedUSD': 42441.91}
1609977600,{'peggedUSD': 42427.2},{'peggedUSD': 0},{'peggedUSD': 42759.47},{'peggedUSD': 0},{'peggedUSD': 42759.47}
1610064000,{'peggedUSD': 45344.2},{'peggedUSD': 0},{'peggedUSD': 45395.13},{'peggedUSD': 0},{'peggedUSD': 45395.13}
1610150400,{'peggedUSD': 46244.2},{'peggedUSD': 0},{'peggedUSD': 46363.3},{'peggedUSD': 0},{'peggedUSD': 46363.3}
1610236800,{'peggedUSD': 46283.82},{'peggedUSD': 0},{'peggedUSD': 46525.8},{'peggedUSD': 0},{'peggedUSD': 46525.8}
1610323200,{'peggedUSD': 45803.82},{'peggedUSD': 0},{'peggedUSD': 45897.5},{'peggedUSD': 0},{'peggedUSD': 45897.5}
1610409600,{'peggedUSD': 50443.82},{'peggedUSD': 0},{'peggedUSD': 50873.52},{'peggedUSD': 0},{'peggedUSD': 50873.52}
1610496000,{'peggedUSD': 58330.52},{'peggedUSD': 0},{'peggedUSD': 58466.15},{'peggedUSD': 0},{'peggedUSD': 58466.15}
1610582400,{'peggedUSD': 59083.52},{'peggedUSD': 0},{'peggedUSD': 59297.31},{'peggedUSD': 0},{'peggedUSD': 59297.31}
1610668800,{'peggedUSD': 56509.59},{'peggedUSD': 0},{'peggedUSD': 56389.58},{'peggedUSD': 0},{'peggedUSD': 56389.58}
