date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 11606928.27},{'peggedUSD': 0},{'peggedUSD': 11606928.27},{'peggedUSD': 0},{'peggedUSD': 11606928.27}
1652400000,{'peggedUSD': 11606928.27},{'peggedUSD': 0},{'peggedUSD': 11606928.27},{'peggedUSD': 0},{'peggedUSD': 11606928.27}
1652486400,{'peggedUSD': 11606928.27},{'peggedUSD': 0},{'peggedUSD': 11606928.27},{'peggedUSD': 0},{'peggedUSD': 11606928.27}
1652572800,{'peggedUSD': 11606477.38},{'peggedUSD': 0},{'peggedUSD': 11594241.36},{'peggedUSD': 0},{'peggedUSD': 11594241.36}
1652659200,{'peggedUSD': 11606477.38},{'peggedUSD': 0},{'peggedUSD': 11596245.22},{'peggedUSD': 0},{'peggedUSD': 11596245.22}
1652745600,{'peggedUSD': 11606477.38},{'peggedUSD': 0},{'peggedUSD': 11596245.22},{'peggedUSD': 0},{'peggedUSD': 11596245.22}
1652832000,{'peggedUSD': 11606377.58},{'peggedUSD': 0},{'peggedUSD': 11594287.91},{'peggedUSD': 0},{'peggedUSD': 11594287.91}
1652918400,{'peggedUSD': 11576106.24},{'peggedUSD': 0},{'peggedUSD': 11564811.67},{'peggedUSD': 0},{'peggedUSD': 11564811.67}
1653004800,{'peggedUSD': 11576106.24},{'peggedUSD': 0},{'peggedUSD': 11568908.1},{'peggedUSD': 0},{'peggedUSD': 11568908.1}
1653091200,{'peggedUSD': 11576106.24},{'peggedUSD': 0},{'peggedUSD': 11568908.1},{'peggedUSD': 0},{'peggedUSD': 11568908.1}
1653177600,{'peggedUSD': 11557425.83},{'peggedUSD': 0},{'peggedUSD': 11544730.92},{'peggedUSD': 0},{'peggedUSD': 11544730.92}
1653264000,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11481840.45},{'peggedUSD': 0},{'peggedUSD': 11481840.45}
1653350400,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11480691.23},{'peggedUSD': 0},{'peggedUSD': 11480691.23}
1653436800,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11480691.23},{'peggedUSD': 0},{'peggedUSD': 11480691.23}
1653523200,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11480535.74},{'peggedUSD': 0},{'peggedUSD': 11480535.74}
1653609600,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11481343.18},{'peggedUSD': 0},{'peggedUSD': 11481343.18}
1653696000,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11482055.01},{'peggedUSD': 0},{'peggedUSD': 11482055.01}
1653782400,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11482743.62},{'peggedUSD': 0},{'peggedUSD': 11482743.62}
1653868800,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11487771.91},{'peggedUSD': 0},{'peggedUSD': 11487771.91}
1653955200,{'peggedUSD': 11492183.41},{'peggedUSD': 0},{'peggedUSD': 11486045.21},{'peggedUSD': 0},{'peggedUSD': 11486045.21}
1654041600,{'peggedUSD': 11490240.55},{'peggedUSD': 0},{'peggedUSD': 11484103.38},{'peggedUSD': 0},{'peggedUSD': 11484103.38}
1654128000,{'peggedUSD': 11490240.55},{'peggedUSD': 0},{'peggedUSD': 11483346.4},{'peggedUSD': 0},{'peggedUSD': 11483346.4}
1654214400,{'peggedUSD': 11476311.74},{'peggedUSD': 0},{'peggedUSD': 11470573.58},{'peggedUSD': 0},{'peggedUSD': 11470573.58}
1654300800,{'peggedUSD': 11476311.74},{'peggedUSD': 0},{'peggedUSD': 11470015.15},{'peggedUSD': 0},{'peggedUSD': 11470015.15}
1654387200,{'peggedUSD': 11476311.74},{'peggedUSD': 0},{'peggedUSD': 11468278.32},{'peggedUSD': 0},{'peggedUSD': 11468278.32}
1654473600,{'peggedUSD': 11476311.74},{'peggedUSD': 0},{'peggedUSD': 11468816.79},{'peggedUSD': 0},{'peggedUSD': 11468816.79}
1654560000,{'peggedUSD': 11476311.74},{'peggedUSD': 0},{'peggedUSD': 11470603.65},{'peggedUSD': 0},{'peggedUSD': 11470603.65}
1654646400,{'peggedUSD': 11476311.74},{'peggedUSD': 0},{'peggedUSD': 11470603.65},{'peggedUSD': 0},{'peggedUSD': 11470603.65}
1654732800,{'peggedUSD': 11476311.74},{'peggedUSD': 0},{'peggedUSD': 11471275.82},{'peggedUSD': 0},{'peggedUSD': 11471275.82}
1654819200,{'peggedUSD': 11476207.46},{'peggedUSD': 0},{'peggedUSD': 11471214.05},{'peggedUSD': 0},{'peggedUSD': 11471214.05}
1654905600,{'peggedUSD': 11476207.46},{'peggedUSD': 0},{'peggedUSD': 11472715.26},{'peggedUSD': 0},{'peggedUSD': 11472715.26}
1654992000,{'peggedUSD': 11475794.12},{'peggedUSD': 0},{'peggedUSD': 11467165.24},{'peggedUSD': 0},{'peggedUSD': 11467165.24}
1655078400,{'peggedUSD': 11474446.01},{'peggedUSD': 0},{'peggedUSD': 11469856.23},{'peggedUSD': 0},{'peggedUSD': 11469856.23}
1655164800,{'peggedUSD': 9478434.19},{'peggedUSD': 0},{'peggedUSD': 9462320.85},{'peggedUSD': 0},{'peggedUSD': 9462320.85}
1655251200,{'peggedUSD': 9427811.24},{'peggedUSD': 0},{'peggedUSD': 9417849.91},{'peggedUSD': 0},{'peggedUSD': 9417849.91}
1655337600,{'peggedUSD': 7410310.39},{'peggedUSD': 0},{'peggedUSD': 7399935.95},{'peggedUSD': 0},{'peggedUSD': 7399935.95}
1655424000,{'peggedUSD': 7389304.13},{'peggedUSD': 0},{'peggedUSD': 7381164.22},{'peggedUSD': 0},{'peggedUSD': 7381164.22}
1655510400,{'peggedUSD': 7149800.07},{'peggedUSD': 0},{'peggedUSD': 7141327.56},{'peggedUSD': 0},{'peggedUSD': 7141327.56}
1655596800,{'peggedUSD': 7149800.07},{'peggedUSD': 0},{'peggedUSD': 7142505.56},{'peggedUSD': 0},{'peggedUSD': 7142505.56}
1655683200,{'peggedUSD': 7149800.07},{'peggedUSD': 0},{'peggedUSD': 7140634.1},{'peggedUSD': 0},{'peggedUSD': 7140634.1}
1655769600,{'peggedUSD': 6151800.07},{'peggedUSD': 0},{'peggedUSD': 6145033.09},{'peggedUSD': 0},{'peggedUSD': 6145033.09}
1655856000,{'peggedUSD': 6151800.07},{'peggedUSD': 0},{'peggedUSD': 6145547.69},{'peggedUSD': 0},{'peggedUSD': 6145547.69}
1655942400,{'peggedUSD': 6145408.12},{'peggedUSD': 0},{'peggedUSD': 6141361.3},{'peggedUSD': 0},{'peggedUSD': 6141361.3}
1656028800,{'peggedUSD': 6143789.62},{'peggedUSD': 0},{'peggedUSD': 6138758.53},{'peggedUSD': 0},{'peggedUSD': 6138758.53}
1656115200,{'peggedUSD': 6145785.62},{'peggedUSD': 0},{'peggedUSD': 6141006.23},{'peggedUSD': 0},{'peggedUSD': 6141006.23}
1656201600,{'peggedUSD': 6145785.62},{'peggedUSD': 0},{'peggedUSD': 6141483.57},{'peggedUSD': 0},{'peggedUSD': 6141483.57}
1656288000,{'peggedUSD': 6145785.62},{'peggedUSD': 0},{'peggedUSD': 6142385.03},{'peggedUSD': 0},{'peggedUSD': 6142385.03}
1656374400,{'peggedUSD': 6145785.62},{'peggedUSD': 0},{'peggedUSD': 6142392.41},{'peggedUSD': 0},{'peggedUSD': 6142392.41}
1656460800,{'peggedUSD': 6145785.62},{'peggedUSD': 0},{'peggedUSD': 6140254.41},{'peggedUSD': 0},{'peggedUSD': 6140254.41}
1656547200,{'peggedUSD': 6136435.17},{'peggedUSD': 0},{'peggedUSD': 6129824.33},{'peggedUSD': 0},{'peggedUSD': 6129824.33}
1656633600,{'peggedUSD': 6129937.89},{'peggedUSD': 0},{'peggedUSD': 6123227.2},{'peggedUSD': 0},{'peggedUSD': 6123227.2}
1656720000,{'peggedUSD': 6129937.89},{'peggedUSD': 0},{'peggedUSD': 6123312.53},{'peggedUSD': 0},{'peggedUSD': 6123312.53}
1656806400,{'peggedUSD': 6127193.39},{'peggedUSD': 0},{'peggedUSD': 6121138.43},{'peggedUSD': 0},{'peggedUSD': 6121138.43}
1656892800,{'peggedUSD': 6127193.39},{'peggedUSD': 0},{'peggedUSD': 6121654.59},{'peggedUSD': 0},{'peggedUSD': 6121654.59}
1656979200,{'peggedUSD': 6127193.39},{'peggedUSD': 0},{'peggedUSD': 6121131.14},{'peggedUSD': 0},{'peggedUSD': 6121131.14}
1657065600,{'peggedUSD': 6127193.39},{'peggedUSD': 0},{'peggedUSD': 6125712.38},{'peggedUSD': 0},{'peggedUSD': 6125712.38}
1657152000,{'peggedUSD': 6127193.39},{'peggedUSD': 0},{'peggedUSD': 6125239},{'peggedUSD': 0},{'peggedUSD': 6125239}
1657238400,{'peggedUSD': 6127193.39},{'peggedUSD': 0},{'peggedUSD': 6121678.91},{'peggedUSD': 0},{'peggedUSD': 6121678.91}
