date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25332.81}
1652400000,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25332.81}
1652486400,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25332.81}
1652572800,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25306.11},{'peggedUSD': 0},{'peggedUSD': 25306.11}
1652659200,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25310.48},{'peggedUSD': 0},{'peggedUSD': 25310.48}
1652745600,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25310.48},{'peggedUSD': 0},{'peggedUSD': 25310.48}
1652832000,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25306.42},{'peggedUSD': 0},{'peggedUSD': 25306.42}
1652918400,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25308.1},{'peggedUSD': 0},{'peggedUSD': 25308.1}
1653004800,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25317.06},{'peggedUSD': 0},{'peggedUSD': 25317.06}
1653091200,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25317.06},{'peggedUSD': 0},{'peggedUSD': 25317.06}
1653177600,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25304.99},{'peggedUSD': 0},{'peggedUSD': 25304.99}
1653264000,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25310.01},{'peggedUSD': 0},{'peggedUSD': 25310.01}
1653350400,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25307.48},{'peggedUSD': 0},{'peggedUSD': 25307.48}
1653436800,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25307.48},{'peggedUSD': 0},{'peggedUSD': 25307.48}
1653523200,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25307.14},{'peggedUSD': 0},{'peggedUSD': 25307.14}
1653609600,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25308.92},{'peggedUSD': 0},{'peggedUSD': 25308.92}
1653696000,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25310.49},{'peggedUSD': 0},{'peggedUSD': 25310.49}
1653782400,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25312},{'peggedUSD': 0},{'peggedUSD': 25312}
1653868800,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25323.09},{'peggedUSD': 0},{'peggedUSD': 25323.09}
1653955200,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25319.28},{'peggedUSD': 0},{'peggedUSD': 25319.28}
1654041600,{'peggedUSD': 25332.81},{'peggedUSD': 0},{'peggedUSD': 25319.28},{'peggedUSD': 0},{'peggedUSD': 25319.28}
