date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1758873607.68},{'peggedUSD': 138883323.77},{'peggedUSD': 1758873607.68},{'peggedUSD': 1751116682.22},{'peggedUSD': 14921614.5}
1652400000,{'peggedUSD': 1759023344.19},{'peggedUSD': 138883323.77},{'peggedUSD': 1759023344.19},{'peggedUSD': 1751116682.22},{'peggedUSD': 15074328.75}
1652486400,{'peggedUSD': 1817313877.61},{'peggedUSD': 78883323.77},{'peggedUSD': 1817313877.61},{'peggedUSD': 1811116682.22},{'peggedUSD': 13301584.62}
1652572800,{'peggedUSD': 1817335828.66},{'peggedUSD': 78883323.77},{'peggedUSD': 1815419920.53},{'peggedUSD': 1809207330.57},{'peggedUSD': 13314452.5}
1652659200,{'peggedUSD': 1817289214.35},{'peggedUSD': 78883323.77},{'peggedUSD': 1815687110.35},{'peggedUSD': 1809520019.86},{'peggedUSD': 13265917.76}
1652745600,{'peggedUSD': 1817064344.98},{'peggedUSD': 78883323.77},{'peggedUSD': 1815462439.23},{'peggedUSD': 1809520019.86},{'peggedUSD': 13042554.46}
1652832000,{'peggedUSD': 1817067398.75},{'peggedUSD': 78883323.77},{'peggedUSD': 1815174668.67},{'peggedUSD': 1809230150.64},{'peggedUSD': 13046444.16}
1652918400,{'peggedUSD': 1816659537.9},{'peggedUSD': 78883323.77},{'peggedUSD': 1814887059.52},{'peggedUSD': 1809349611.89},{'peggedUSD': 12641275.29}
1653004800,{'peggedUSD': 1817938205.05},{'peggedUSD': 78883323.77},{'peggedUSD': 1816807792.89},{'peggedUSD': 1809990511.75},{'peggedUSD': 13936033.02}
1653091200,{'peggedUSD': 1822304183.26},{'peggedUSD': 78883323.77},{'peggedUSD': 1821171056.3},{'peggedUSD': 1809990511.75},{'peggedUSD': 18300351.48}
1653177600,{'peggedUSD': 1822324083.16},{'peggedUSD': 78883323.77},{'peggedUSD': 1820322405.94},{'peggedUSD': 1809127306.23},{'peggedUSD': 18335195.35}
1653264000,{'peggedUSD': 1822547214.54},{'peggedUSD': 78883323.77},{'peggedUSD': 1820906922.05},{'peggedUSD': 1809486668},{'peggedUSD': 18490480.47}
1653350400,{'peggedUSD': 1822696688.86},{'peggedUSD': 78883323.77},{'peggedUSD': 1820873992.18},{'peggedUSD': 1809305555.93},{'peggedUSD': 18643588.45}
1653436800,{'peggedUSD': 1822696990.85},{'peggedUSD': 78883323.77},{'peggedUSD': 1820874293.86},{'peggedUSD': 1809305555.93},{'peggedUSD': 18643890.13}
1653523200,{'peggedUSD': 1822539518.38},{'peggedUSD': 78883323.77},{'peggedUSD': 1820692319.9},{'peggedUSD': 1809281051.47},{'peggedUSD': 18482414.65}
1653609600,{'peggedUSD': 1822638633.25},{'peggedUSD': 78883323.77},{'peggedUSD': 1820919392.9},{'peggedUSD': 1809408300.52},{'peggedUSD': 18626416.68}
1653696000,{'peggedUSD': 1822293324.97},{'peggedUSD': 78883323.77},{'peggedUSD': 1820687283.2},{'peggedUSD': 1809520481.07},{'peggedUSD': 18352997.61}
1653782400,{'peggedUSD': 1822231928.56},{'peggedUSD': 78883323.77},{'peggedUSD': 1820735129.03},{'peggedUSD': 1809629003.18},{'peggedUSD': 18292042.01}
1653868800,{'peggedUSD': 1822330815.43},{'peggedUSD': 78883323.77},{'peggedUSD': 1821631277.3},{'peggedUSD': 1810421439.16},{'peggedUSD': 18280963.39}
1653955200,{'peggedUSD': 1822360159.05},{'peggedUSD': 78883323.77},{'peggedUSD': 1821386800.04},{'peggedUSD': 1810149318.87},{'peggedUSD': 18305190.71}
