date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 606101.61},{'peggedUSD': 0},{'peggedUSD': 606101.61},{'peggedUSD': 0},{'peggedUSD': 606101.61}
1652400000,{'peggedUSD': 606101.61},{'peggedUSD': 0},{'peggedUSD': 606101.61},{'peggedUSD': 0},{'peggedUSD': 606101.61}
1652486400,{'peggedUSD': 606101.61},{'peggedUSD': 0},{'peggedUSD': 606101.61},{'peggedUSD': 0},{'peggedUSD': 606101.61}
1652572800,{'peggedUSD': 537109.12},{'peggedUSD': 0},{'peggedUSD': 536542.87},{'peggedUSD': 0},{'peggedUSD': 536542.87}
1652659200,{'peggedUSD': 537109.12},{'peggedUSD': 0},{'peggedUSD': 536635.61},{'peggedUSD': 0},{'peggedUSD': 536635.61}
1652745600,{'peggedUSD': 537109.12},{'peggedUSD': 0},{'peggedUSD': 536635.61},{'peggedUSD': 0},{'peggedUSD': 536635.61}
1652832000,{'peggedUSD': 537109.12},{'peggedUSD': 0},{'peggedUSD': 536549.64},{'peggedUSD': 0},{'peggedUSD': 536549.64}
1652918400,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 528855.44},{'peggedUSD': 0},{'peggedUSD': 528855.44}
1653004800,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 529042.77},{'peggedUSD': 0},{'peggedUSD': 529042.77}
1653091200,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 529042.77},{'peggedUSD': 0},{'peggedUSD': 529042.77}
1653177600,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 528790.47},{'peggedUSD': 0},{'peggedUSD': 528790.47}
1653264000,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 528895.5},{'peggedUSD': 0},{'peggedUSD': 528895.5}
1653350400,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 528842.57},{'peggedUSD': 0},{'peggedUSD': 528842.57}
1653436800,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 528842.57},{'peggedUSD': 0},{'peggedUSD': 528842.57}
1653523200,{'peggedUSD': 529371.94},{'peggedUSD': 0},{'peggedUSD': 528835.4},{'peggedUSD': 0},{'peggedUSD': 528835.4}
1653609600,{'peggedUSD': 516236.46},{'peggedUSD': 0},{'peggedUSD': 515749.51},{'peggedUSD': 0},{'peggedUSD': 515749.51}
1653696000,{'peggedUSD': 516236.46},{'peggedUSD': 0},{'peggedUSD': 515781.49},{'peggedUSD': 0},{'peggedUSD': 515781.49}
1653782400,{'peggedUSD': 532115.9},{'peggedUSD': 0},{'peggedUSD': 531678.81},{'peggedUSD': 0},{'peggedUSD': 531678.81}
1653868800,{'peggedUSD': 532115.9},{'peggedUSD': 0},{'peggedUSD': 531911.63},{'peggedUSD': 0},{'peggedUSD': 531911.63}
1653955200,{'peggedUSD': 532115.9},{'peggedUSD': 0},{'peggedUSD': 531831.68},{'peggedUSD': 0},{'peggedUSD': 531831.68}
1654041600,{'peggedUSD': 528868.34},{'peggedUSD': 0},{'peggedUSD': 528585.86},{'peggedUSD': 0},{'peggedUSD': 528585.86}
