date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 298316.92},{'peggedUSD': 0},{'peggedUSD': 298316.92},{'peggedUSD': 0},{'peggedUSD': 298316.92}
1652400000,{'peggedUSD': 298316.92},{'peggedUSD': 0},{'peggedUSD': 298316.92},{'peggedUSD': 0},{'peggedUSD': 298316.92}
1652486400,{'peggedUSD': 268700.37},{'peggedUSD': 0},{'peggedUSD': 268700.37},{'peggedUSD': 0},{'peggedUSD': 268700.37}
1652572800,{'peggedUSD': 286934.72},{'peggedUSD': 0},{'peggedUSD': 286632.22},{'peggedUSD': 0},{'peggedUSD': 286632.22}
1652659200,{'peggedUSD': 286718.34},{'peggedUSD': 0},{'peggedUSD': 286465.58},{'peggedUSD': 0},{'peggedUSD': 286465.58}
1652745600,{'peggedUSD': 311964.75},{'peggedUSD': 0},{'peggedUSD': 311689.73},{'peggedUSD': 0},{'peggedUSD': 311689.73}
1652832000,{'peggedUSD': 297129.41},{'peggedUSD': 0},{'peggedUSD': 296819.91},{'peggedUSD': 0},{'peggedUSD': 296819.91}
1652918400,{'peggedUSD': 297131.41},{'peggedUSD': 0},{'peggedUSD': 296841.51},{'peggedUSD': 0},{'peggedUSD': 296841.51}
1653004800,{'peggedUSD': 297231.41},{'peggedUSD': 0},{'peggedUSD': 297046.59},{'peggedUSD': 0},{'peggedUSD': 297046.59}
1653091200,{'peggedUSD': 297235.04},{'peggedUSD': 0},{'peggedUSD': 297050.22},{'peggedUSD': 0},{'peggedUSD': 297050.22}
1653177600,{'peggedUSD': 297338.93},{'peggedUSD': 0},{'peggedUSD': 297012.33},{'peggedUSD': 0},{'peggedUSD': 297012.33}
1653264000,{'peggedUSD': 298717.53},{'peggedUSD': 0},{'peggedUSD': 298448.69},{'peggedUSD': 0},{'peggedUSD': 298448.69}
1653350400,{'peggedUSD': 316288.61},{'peggedUSD': 0},{'peggedUSD': 315972.32},{'peggedUSD': 0},{'peggedUSD': 315972.32}
1653436800,{'peggedUSD': 316288.61},{'peggedUSD': 0},{'peggedUSD': 315972.32},{'peggedUSD': 0},{'peggedUSD': 315972.32}
1653523200,{'peggedUSD': 332011.01},{'peggedUSD': 0},{'peggedUSD': 331674.51},{'peggedUSD': 0},{'peggedUSD': 331674.51}
1653609600,{'peggedUSD': 328134.69},{'peggedUSD': 0},{'peggedUSD': 327825.17},{'peggedUSD': 0},{'peggedUSD': 327825.17}
1653696000,{'peggedUSD': 326156.96},{'peggedUSD': 0},{'peggedUSD': 325869.51},{'peggedUSD': 0},{'peggedUSD': 325869.51}
1653782400,{'peggedUSD': 346198.96},{'peggedUSD': 0},{'peggedUSD': 345914.59},{'peggedUSD': 0},{'peggedUSD': 345914.59}
1653868800,{'peggedUSD': 346198.96},{'peggedUSD': 0},{'peggedUSD': 346066.07},{'peggedUSD': 0},{'peggedUSD': 346066.07}
1653955200,{'peggedUSD': 326258.96},{'peggedUSD': 0},{'peggedUSD': 326084.7},{'peggedUSD': 0},{'peggedUSD': 326084.7}
1654041600,{'peggedUSD': 325977.81},{'peggedUSD': 0},{'peggedUSD': 325803.7},{'peggedUSD': 0},{'peggedUSD': 325803.7}
1654128000,{'peggedUSD': 314251.87},{'peggedUSD': 0},{'peggedUSD': 314063.31},{'peggedUSD': 0},{'peggedUSD': 314063.31}
1654214400,{'peggedUSD': 313960.22},{'peggedUSD': 0},{'peggedUSD': 313803.24},{'peggedUSD': 0},{'peggedUSD': 313803.24}
1654300800,{'peggedUSD': 312285.5},{'peggedUSD': 0},{'peggedUSD': 312114.16},{'peggedUSD': 0},{'peggedUSD': 312114.16}
1654387200,{'peggedUSD': 313285.5},{'peggedUSD': 0},{'peggedUSD': 313066.2},{'peggedUSD': 0},{'peggedUSD': 313066.2}
1654473600,{'peggedUSD': 313285.5},{'peggedUSD': 0},{'peggedUSD': 313080.9},{'peggedUSD': 0},{'peggedUSD': 313080.9}
1654560000,{'peggedUSD': 312536.8},{'peggedUSD': 0},{'peggedUSD': 312381.35},{'peggedUSD': 0},{'peggedUSD': 312381.35}
1654646400,{'peggedUSD': 312133.28},{'peggedUSD': 0},{'peggedUSD': 311978.03},{'peggedUSD': 0},{'peggedUSD': 311978.03}
1654732800,{'peggedUSD': 311835.51},{'peggedUSD': 0},{'peggedUSD': 311698.67},{'peggedUSD': 0},{'peggedUSD': 311698.67}
1654819200,{'peggedUSD': 311835.51},{'peggedUSD': 0},{'peggedUSD': 311699.83},{'peggedUSD': 0},{'peggedUSD': 311699.83}
1654905600,{'peggedUSD': 310411.73},{'peggedUSD': 0},{'peggedUSD': 310317.27},{'peggedUSD': 0},{'peggedUSD': 310317.27}
1654992000,{'peggedUSD': 310411.73},{'peggedUSD': 0},{'peggedUSD': 310178.32},{'peggedUSD': 0},{'peggedUSD': 310178.32}
1655078400,{'peggedUSD': 308464.46},{'peggedUSD': 0},{'peggedUSD': 308341.08},{'peggedUSD': 0},{'peggedUSD': 308341.08}
1655164800,{'peggedUSD': 307967.48},{'peggedUSD': 0},{'peggedUSD': 307443.93},{'peggedUSD': 0},{'peggedUSD': 307443.93}
1655251200,{'peggedUSD': 307967.48},{'peggedUSD': 0},{'peggedUSD': 307642.08},{'peggedUSD': 0},{'peggedUSD': 307642.08}
1655337600,{'peggedUSD': 307967.48},{'peggedUSD': 0},{'peggedUSD': 307536.32},{'peggedUSD': 0},{'peggedUSD': 307536.32}
1655424000,{'peggedUSD': 307967.48},{'peggedUSD': 0},{'peggedUSD': 307628.23},{'peggedUSD': 0},{'peggedUSD': 307628.23}
1655510400,{'peggedUSD': 307967.48},{'peggedUSD': 0},{'peggedUSD': 307602.54},{'peggedUSD': 0},{'peggedUSD': 307602.54}
1655596800,{'peggedUSD': 307967.48},{'peggedUSD': 0},{'peggedUSD': 307653.28},{'peggedUSD': 0},{'peggedUSD': 307653.28}
1655683200,{'peggedUSD': 307967.48},{'peggedUSD': 0},{'peggedUSD': 307572.67},{'peggedUSD': 0},{'peggedUSD': 307572.67}
1655769600,{'peggedUSD': 307974.32},{'peggedUSD': 0},{'peggedUSD': 307635.55},{'peggedUSD': 0},{'peggedUSD': 307635.55}
1655856000,{'peggedUSD': 307974.32},{'peggedUSD': 0},{'peggedUSD': 307661.31},{'peggedUSD': 0},{'peggedUSD': 307661.31}
1655942400,{'peggedUSD': 307974.32},{'peggedUSD': 0},{'peggedUSD': 307771.51},{'peggedUSD': 0},{'peggedUSD': 307771.51}
1656028800,{'peggedUSD': 307974.32},{'peggedUSD': 0},{'peggedUSD': 307722.12},{'peggedUSD': 0},{'peggedUSD': 307722.12}
1656115200,{'peggedUSD': 307875.19},{'peggedUSD': 0},{'peggedUSD': 307635.77},{'peggedUSD': 0},{'peggedUSD': 307635.77}
1656201600,{'peggedUSD': 308717.45},{'peggedUSD': 0},{'peggedUSD': 308501.34},{'peggedUSD': 0},{'peggedUSD': 308501.34}
1656288000,{'peggedUSD': 308717.45},{'peggedUSD': 0},{'peggedUSD': 308546.63},{'peggedUSD': 0},{'peggedUSD': 308546.63}
1656374400,{'peggedUSD': 312162.59},{'peggedUSD': 0},{'peggedUSD': 311990.24},{'peggedUSD': 0},{'peggedUSD': 311990.24}
1656460800,{'peggedUSD': 315278.95},{'peggedUSD': 0},{'peggedUSD': 314995.2},{'peggedUSD': 0},{'peggedUSD': 314995.2}
1656547200,{'peggedUSD': 322841.63},{'peggedUSD': 0},{'peggedUSD': 322493.83},{'peggedUSD': 0},{'peggedUSD': 322493.83}
1656633600,{'peggedUSD': 324554.54},{'peggedUSD': 0},{'peggedUSD': 324199.24},{'peggedUSD': 0},{'peggedUSD': 324199.24}
