date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1132.42}
1652400000,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1132.42}
1652486400,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1132.42}
1652572800,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.23},{'peggedUSD': 0},{'peggedUSD': 1131.23}
1652659200,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.42},{'peggedUSD': 0},{'peggedUSD': 1131.42}
1652745600,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.42},{'peggedUSD': 0},{'peggedUSD': 1131.42}
1652832000,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.24},{'peggedUSD': 0},{'peggedUSD': 1131.24}
1652918400,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.32},{'peggedUSD': 0},{'peggedUSD': 1131.32}
1653004800,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.72},{'peggedUSD': 0},{'peggedUSD': 1131.72}
1653091200,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.72},{'peggedUSD': 0},{'peggedUSD': 1131.72}
1653177600,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.18},{'peggedUSD': 0},{'peggedUSD': 1131.18}
1653264000,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.4},{'peggedUSD': 0},{'peggedUSD': 1131.4}
1653350400,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.29},{'peggedUSD': 0},{'peggedUSD': 1131.29}
1653436800,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.29},{'peggedUSD': 0},{'peggedUSD': 1131.29}
1653523200,{'peggedUSD': 1132.42},{'peggedUSD': 0},{'peggedUSD': 1131.28},{'peggedUSD': 0},{'peggedUSD': 1131.28}
