date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 449573.26},{'peggedUSD': 0},{'peggedUSD': 449573.26},{'peggedUSD': 0},{'peggedUSD': 449573.26}
1652400000,{'peggedUSD': 449573.26},{'peggedUSD': 0},{'peggedUSD': 449573.26},{'peggedUSD': 0},{'peggedUSD': 449573.26}
1652486400,{'peggedUSD': 449573.26},{'peggedUSD': 0},{'peggedUSD': 449573.26},{'peggedUSD': 0},{'peggedUSD': 449573.26}
1652572800,{'peggedUSD': 449068.26},{'peggedUSD': 0},{'peggedUSD': 448594.83},{'peggedUSD': 0},{'peggedUSD': 448594.83}
1652659200,{'peggedUSD': 449068.26},{'peggedUSD': 0},{'peggedUSD': 448672.36},{'peggedUSD': 0},{'peggedUSD': 448672.36}
1652745600,{'peggedUSD': 449068.26},{'peggedUSD': 0},{'peggedUSD': 448672.36},{'peggedUSD': 0},{'peggedUSD': 448672.36}
1652832000,{'peggedUSD': 449068.26},{'peggedUSD': 0},{'peggedUSD': 448600.49},{'peggedUSD': 0},{'peggedUSD': 448600.49}
1652918400,{'peggedUSD': 449068.26},{'peggedUSD': 0},{'peggedUSD': 448630.11},{'peggedUSD': 0},{'peggedUSD': 448630.11}
1653004800,{'peggedUSD': 434068.26},{'peggedUSD': 0},{'peggedUSD': 433798.35},{'peggedUSD': 0},{'peggedUSD': 433798.35}
1653091200,{'peggedUSD': 434068.26},{'peggedUSD': 0},{'peggedUSD': 433798.35},{'peggedUSD': 0},{'peggedUSD': 433798.35}
1653177600,{'peggedUSD': 434068.26},{'peggedUSD': 0},{'peggedUSD': 433591.47},{'peggedUSD': 0},{'peggedUSD': 433591.47}
1653264000,{'peggedUSD': 434068.26},{'peggedUSD': 0},{'peggedUSD': 433677.59},{'peggedUSD': 0},{'peggedUSD': 433677.59}
1653350400,{'peggedUSD': 434068.26},{'peggedUSD': 0},{'peggedUSD': 433634.19},{'peggedUSD': 0},{'peggedUSD': 433634.19}
