date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 34828023792.91},{'peggedUSD': 1273449930.04},{'peggedUSD': 34828023792.91},{'peggedUSD': 38462152306.51},{'peggedUSD': 0}
1652400000,{'peggedUSD': 34828083869.36},{'peggedUSD': 1273449930.04},{'peggedUSD': 34828083869.36},{'peggedUSD': 38462152306.51},{'peggedUSD': 0}
1652486400,{'peggedUSD': 33708489490.99},{'peggedUSD': 2392928792.59},{'peggedUSD': 33708489490.99},{'peggedUSD': 37342673443.96},{'peggedUSD': 0}
1652572800,{'peggedUSD': 32752538043.6},{'peggedUSD': 2348959516.79},{'peggedUSD': 32718009007.9},{'peggedUSD': 36348282465.54},{'peggedUSD': 0}
1652659200,{'peggedUSD': 32752438593.19},{'peggedUSD': 2348959516.79},{'peggedUSD': 32723564370.85},{'peggedUSD': 36354564619.4},{'peggedUSD': 0}
1652745600,{'peggedUSD': 32752406710.01},{'peggedUSD': 2348959516.79},{'peggedUSD': 32723532515.78},{'peggedUSD': 36354564619.4},{'peggedUSD': 0}
1652832000,{'peggedUSD': 32177516028.21},{'peggedUSD': 2923805891.78},{'peggedUSD': 32143998640.42},{'peggedUSD': 35774493345.22},{'peggedUSD': 0}
1652918400,{'peggedUSD': 32177679993.87},{'peggedUSD': 2923636081.59},{'peggedUSD': 32146284875.05},{'peggedUSD': 35777025135.82},{'peggedUSD': 0}
1653004800,{'peggedUSD': 32177630195.8},{'peggedUSD': 2923636081.59},{'peggedUSD': 32157621823.56},{'peggedUSD': 35789697916.28},{'peggedUSD': 0}
1653091200,{'peggedUSD': 31625146536.71},{'peggedUSD': 3476199924.5},{'peggedUSD': 31605481704.34},{'peggedUSD': 35237477663.1},{'peggedUSD': 0}
1653177600,{'peggedUSD': 31624918489.49},{'peggedUSD': 3476199924.5},{'peggedUSD': 31590181046.52},{'peggedUSD': 35220672679.36},{'peggedUSD': 0}
1653264000,{'peggedUSD': 31624878412.7},{'peggedUSD': 3476199924.5},{'peggedUSD': 31596416022.13},{'peggedUSD': 35227668849.97},{'peggedUSD': 0}
1653350400,{'peggedUSD': 31624968532.86},{'peggedUSD': 3476199924.5},{'peggedUSD': 31593343564.33},{'peggedUSD': 35224142909.74},{'peggedUSD': 0}
1653436800,{'peggedUSD': 31624959240.91},{'peggedUSD': 3476199924.5},{'peggedUSD': 31593334281.67},{'peggedUSD': 35224142909.74},{'peggedUSD': 0}
1653523200,{'peggedUSD': 31624978566.72},{'peggedUSD': 3476199924.5},{'peggedUSD': 31592925702.19},{'peggedUSD': 35223665850.02},{'peggedUSD': 0}
1653609600,{'peggedUSD': 31584829226.33},{'peggedUSD': 3516099024.4},{'peggedUSD': 31555036204.46},{'peggedUSD': 35186281711.35},{'peggedUSD': 0}
1653696000,{'peggedUSD': 31052661727.55},{'peggedUSD': 4048145348.4},{'peggedUSD': 31025294085.19},{'peggedUSD': 34656885791.77},{'peggedUSD': 0}
1653782400,{'peggedUSD': 31052714461.55},{'peggedUSD': 4048145348.4},{'peggedUSD': 31027207451.37},{'peggedUSD': 34658964264.19},{'peggedUSD': 0}
1653868800,{'peggedUSD': 31052745963.51},{'peggedUSD': 4048145348.4},{'peggedUSD': 31040825745.91},{'peggedUSD': 34674141414.07},{'peggedUSD': 0}
1653955200,{'peggedUSD': 31052743883.25},{'peggedUSD': 4048145348.4},{'peggedUSD': 31036157991.69},{'peggedUSD': 34668929623.68},{'peggedUSD': 0}
1654041600,{'peggedUSD': 31052822314.29},{'peggedUSD': 4048145348.4},{'peggedUSD': 31036236380.83},{'peggedUSD': 34668929623.68},{'peggedUSD': 0}
1654128000,{'peggedUSD': 31052647037.25},{'peggedUSD': 4048145348.4},{'peggedUSD': 31034015449.03},{'peggedUSD': 34666644414.02},{'peggedUSD': 0}
1654214400,{'peggedUSD': 31222658713.26},{'peggedUSD': 3878145348.4},{'peggedUSD': 31207047383.91},{'peggedUSD': 34840028159.7},{'peggedUSD': 0}
1654300800,{'peggedUSD': 31227812912.73},{'peggedUSD': 3873145348.4},{'peggedUSD': 31210679460.9},{'peggedUSD': 34843329252.55},{'peggedUSD': 0}
1654387200,{'peggedUSD': 31227790991.53},{'peggedUSD': 3873145348.4},{'peggedUSD': 31205931537.84},{'peggedUSD': 34838053168.33},{'peggedUSD': 0}
1654473600,{'peggedUSD': 31412872947.31},{'peggedUSD': 3688145348.4},{'peggedUSD': 31392357828.25},{'peggedUSD': 35024568095},{'peggedUSD': 0}
1654560000,{'peggedUSD': 31374951182.3},{'peggedUSD': 3726045348.4},{'peggedUSD': 31359345909.08},{'peggedUSD': 34992143834.74},{'peggedUSD': 0}
1654646400,{'peggedUSD': 31314944922.5},{'peggedUSD': 3786045348.4},{'peggedUSD': 31299369495.2},{'peggedUSD': 34932173677.54},{'peggedUSD': 0}
1654732800,{'peggedUSD': 31325134022.03},{'peggedUSD': 3776045348.4},{'peggedUSD': 31311388239.97},{'peggedUSD': 34944216284.99},{'peggedUSD': 0}
1654819200,{'peggedUSD': 31307215653.58},{'peggedUSD': 3794113452.13},{'peggedUSD': 31293593570.98},{'peggedUSD': 34926285393.23},{'peggedUSD': 0}
1654905600,{'peggedUSD': 31304521753.5},{'peggedUSD': 3796613452.13},{'peggedUSD': 31294995787.53},{'peggedUSD': 34928356850.13},{'peggedUSD': 0}
1654992000,{'peggedUSD': 31304824090.09},{'peggedUSD': 3796613452.13},{'peggedUSD': 31281285366.76},{'peggedUSD': 34912717459.97},{'peggedUSD': 0}
1655078400,{'peggedUSD': 31143934289.81},{'peggedUSD': 3957613598.13},{'peggedUSD': 31131476716.09},{'peggedUSD': 34764077442.96},{'peggedUSD': 0}
1655164800,{'peggedUSD': 30830677359.31},{'peggedUSD': 4271750432.39},{'peggedUSD': 30778265207.8},{'peggedUSD': 34405263256.08},{'peggedUSD': 0}
1655251200,{'peggedUSD': 30410731521.8},{'peggedUSD': 4692206049.82},{'peggedUSD': 30378599846.98},{'peggedUSD': 34007426274.74},{'peggedUSD': 0}
1655337600,{'peggedUSD': 29868922414.22},{'peggedUSD': 5233904694.54},{'peggedUSD': 29827105922.84},{'peggedUSD': 33454795165.44},{'peggedUSD': 0}
1655424000,{'peggedUSD': 29288683201.83},{'peggedUSD': 5814104704.54},{'peggedUSD': 29256419374.18},{'peggedUSD': 32885231868.75},{'peggedUSD': 0}
1655510400,{'peggedUSD': 28809269752.81},{'peggedUSD': 6293380938.65},{'peggedUSD': 28775130768.15},{'peggedUSD': 32403777265.66},{'peggedUSD': 0}
1655596800,{'peggedUSD': 28783058445.83},{'peggedUSD': 6319656838.65},{'peggedUSD': 28753692818.28},{'peggedUSD': 32382873353.77},{'peggedUSD': 0}
1655683200,{'peggedUSD': 28624191524.48},{'peggedUSD': 6478586828.65},{'peggedUSD': 28587495597.19},{'peggedUSD': 32215662236.72},{'peggedUSD': 0}
1655769600,{'peggedUSD': 28197723423.82},{'peggedUSD': 304901916.65},{'peggedUSD': 28166705928.06},{'peggedUSD': 31795686549.55},{'peggedUSD': 0}
1655856000,{'peggedUSD': 27838694293.44},{'peggedUSD': 663961517.25},{'peggedUSD': 27810400436.5},{'peggedUSD': 31439654517.25},{'peggedUSD': 0}
1655942400,{'peggedUSD': 27917490639.64},{'peggedUSD': 485261517.25},{'peggedUSD': 27899106692.87},{'peggedUSD': 31629498653.43},{'peggedUSD': 0}
1656028800,{'peggedUSD': 27917688352.87},{'peggedUSD': 485261517.25},{'peggedUSD': 27894826837.05},{'peggedUSD': 31624422571.79},{'peggedUSD': 0}
1656115200,{'peggedUSD': 27868375956.83},{'peggedUSD': 534761517.25},{'peggedUSD': 27846703556.9},{'peggedUSD': 31576265693.5},{'peggedUSD': 0}
1656201600,{'peggedUSD': 27918412004.69},{'peggedUSD': 484761517.25},{'peggedUSD': 27898869116.29},{'peggedUSD': 31628685130.79},{'peggedUSD': 0}
1656288000,{'peggedUSD': 27918111006.49},{'peggedUSD': 484951517.25},{'peggedUSD': 27902663357.31},{'peggedUSD': 31633137781.24},{'peggedUSD': 0}
1656374400,{'peggedUSD': 27917957047.34},{'peggedUSD': 484951517.25},{'peggedUSD': 27902542984.89},{'peggedUSD': 31633175762.02},{'peggedUSD': 0}
1656460800,{'peggedUSD': 27917450940.61},{'peggedUSD': 484951517.25},{'peggedUSD': 27892325234.76},{'peggedUSD': 31622165133.65},{'peggedUSD': 0}
1656547200,{'peggedUSD': 27664612471.1},{'peggedUSD': 737258009.49},{'peggedUSD': 27634809107.44},{'peggedUSD': 31364518476.84},{'peggedUSD': 0}
1656633600,{'peggedUSD': 27529025588.79},{'peggedUSD': 870735662.22},{'peggedUSD': 27498888463.31},{'peggedUSD': 31228234703.73},{'peggedUSD': 0}
1656720000,{'peggedUSD': 27529203114.42},{'peggedUSD': 870735662.22},{'peggedUSD': 27499449001.11},{'peggedUSD': 31228669877.16},{'peggedUSD': 0}
1656806400,{'peggedUSD': 27529072932.75},{'peggedUSD': 870735662.22},{'peggedUSD': 27501868427.59},{'peggedUSD': 31231565093.48},{'peggedUSD': 0}
1656892800,{'peggedUSD': 27445438277.95},{'peggedUSD': 954514259.81},{'peggedUSD': 27420628425.11},{'peggedUSD': 31150495778.77},{'peggedUSD': 0}
1656979200,{'peggedUSD': 27380435113.88},{'peggedUSD': 1019514259.81},{'peggedUSD': 27353344911.38},{'peggedUSD': 31082896495.11},{'peggedUSD': 0}
1657065600,{'peggedUSD': 27331106422.74},{'peggedUSD': 1068774211.25},{'peggedUSD': 27324500221},{'peggedUSD': 31056911837.97},{'peggedUSD': 0}
1657152000,{'peggedUSD': 27331066426.9},{'peggedUSD': 1068774211.25},{'peggedUSD': 27322348636.64},{'peggedUSD': 31054511800.85},{'peggedUSD': 0}
1657238400,{'peggedUSD': 27331265026.8},{'peggedUSD': 1068774211.25},{'peggedUSD': 27306666888.28},{'peggedUSD': 31036462440.65},{'peggedUSD': 0}
1657324800,{'peggedUSD': 27330740715.84},{'peggedUSD': 1068774211.25},{'peggedUSD': 27333466957.23},{'peggedUSD': 31067519094.96},{'peggedUSD': 0}
