date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 8567418.76},{'peggedUSD': 0},{'peggedUSD': 8567418.76},{'peggedUSD': 0},{'peggedUSD': 8567418.76}
1652400000,{'peggedUSD': 8567418.76},{'peggedUSD': 0},{'peggedUSD': 8567418.76},{'peggedUSD': 0},{'peggedUSD': 8567418.76}
1652486400,{'peggedUSD': 8313971.31},{'peggedUSD': 0},{'peggedUSD': 8313971.31},{'peggedUSD': 0},{'peggedUSD': 8313971.31}
1652572800,{'peggedUSD': 8336650.2},{'peggedUSD': 0},{'peggedUSD': 8327861.36},{'peggedUSD': 0},{'peggedUSD': 8327861.36}
1652659200,{'peggedUSD': 8332871.52},{'peggedUSD': 0},{'peggedUSD': 8325525.35},{'peggedUSD': 0},{'peggedUSD': 8325525.35}
1652745600,{'peggedUSD': 8350293.64},{'peggedUSD': 0},{'peggedUSD': 8342932.11},{'peggedUSD': 0},{'peggedUSD': 8342932.11}
1652832000,{'peggedUSD': 8340251.96},{'peggedUSD': 0},{'peggedUSD': 8331564.42},{'peggedUSD': 0},{'peggedUSD': 8331564.42}
1652918400,{'peggedUSD': 7921002.21},{'peggedUSD': 0},{'peggedUSD': 7913273.85},{'peggedUSD': 0},{'peggedUSD': 7913273.85}
1653004800,{'peggedUSD': 7331260.85},{'peggedUSD': 0},{'peggedUSD': 7326702.2},{'peggedUSD': 0},{'peggedUSD': 7326702.2}
1653091200,{'peggedUSD': 7328079.39},{'peggedUSD': 0},{'peggedUSD': 7323522.72},{'peggedUSD': 0},{'peggedUSD': 7323522.72}
1653177600,{'peggedUSD': 7331902.99},{'peggedUSD': 0},{'peggedUSD': 7323849.48},{'peggedUSD': 0},{'peggedUSD': 7323849.48}
1653264000,{'peggedUSD': 7325291.21},{'peggedUSD': 0},{'peggedUSD': 7318698.45},{'peggedUSD': 0},{'peggedUSD': 7318698.45}
1653350400,{'peggedUSD': 6943431.53},{'peggedUSD': 0},{'peggedUSD': 6936488.09},{'peggedUSD': 0},{'peggedUSD': 6936488.09}
1653436800,{'peggedUSD': 6943628.99},{'peggedUSD': 0},{'peggedUSD': 6936685.36},{'peggedUSD': 0},{'peggedUSD': 6936685.36}
1653523200,{'peggedUSD': 6950567.53},{'peggedUSD': 0},{'peggedUSD': 6943522.92},{'peggedUSD': 0},{'peggedUSD': 6943522.92}
1653609600,{'peggedUSD': 6950542.32},{'peggedUSD': 0},{'peggedUSD': 6943986.08},{'peggedUSD': 0},{'peggedUSD': 6943986.08}
1653696000,{'peggedUSD': 6957091.06},{'peggedUSD': 0},{'peggedUSD': 6950959.57},{'peggedUSD': 0},{'peggedUSD': 6950959.57}
1653782400,{'peggedUSD': 6964878.5},{'peggedUSD': 0},{'peggedUSD': 6959157.48},{'peggedUSD': 0},{'peggedUSD': 6959157.48}
1653868800,{'peggedUSD': 6982634.23},{'peggedUSD': 0},{'peggedUSD': 6979953.81},{'peggedUSD': 0},{'peggedUSD': 6979953.81}
1653955200,{'peggedUSD': 6989085.94},{'peggedUSD': 0},{'peggedUSD': 6985352.93},{'peggedUSD': 0},{'peggedUSD': 6985352.93}
1654041600,{'peggedUSD': 6494324.32},{'peggedUSD': 0},{'peggedUSD': 6490855.57},{'peggedUSD': 0},{'peggedUSD': 6490855.57}
1654128000,{'peggedUSD': 6502505.09},{'peggedUSD': 0},{'peggedUSD': 6498603.58},{'peggedUSD': 0},{'peggedUSD': 6498603.58}
1654214400,{'peggedUSD': 6481955.84},{'peggedUSD': 0},{'peggedUSD': 6478714.86},{'peggedUSD': 0},{'peggedUSD': 6478714.86}
1654300800,{'peggedUSD': 6489451.53},{'peggedUSD': 0},{'peggedUSD': 6485891.03},{'peggedUSD': 0},{'peggedUSD': 6485891.03}
1654387200,{'peggedUSD': 6523836.63},{'peggedUSD': 0},{'peggedUSD': 6519269.94},{'peggedUSD': 0},{'peggedUSD': 6519269.94}
1654473600,{'peggedUSD': 6129705.46},{'peggedUSD': 0},{'peggedUSD': 6125702.28},{'peggedUSD': 0},{'peggedUSD': 6125702.28}
1654560000,{'peggedUSD': 6141427.16},{'peggedUSD': 0},{'peggedUSD': 6138372.53},{'peggedUSD': 0},{'peggedUSD': 6138372.53}
1654646400,{'peggedUSD': 6144501.2},{'peggedUSD': 0},{'peggedUSD': 6141445.04},{'peggedUSD': 0},{'peggedUSD': 6141445.04}
1654732800,{'peggedUSD': 6136434.77},{'peggedUSD': 0},{'peggedUSD': 6133742.04},{'peggedUSD': 0},{'peggedUSD': 6133742.04}
1654819200,{'peggedUSD': 6158345.1},{'peggedUSD': 0},{'peggedUSD': 6155665.54},{'peggedUSD': 0},{'peggedUSD': 6155665.54}
1654905600,{'peggedUSD': 6150670.73},{'peggedUSD': 0},{'peggedUSD': 6148799.08},{'peggedUSD': 0},{'peggedUSD': 6148799.08}
1654992000,{'peggedUSD': 6174993.3},{'peggedUSD': 0},{'peggedUSD': 6170350.2},{'peggedUSD': 0},{'peggedUSD': 6170350.2}
1655078400,{'peggedUSD': 6613639.79},{'peggedUSD': 0},{'peggedUSD': 6610994.34},{'peggedUSD': 0},{'peggedUSD': 6610994.34}
1655164800,{'peggedUSD': 6632442.13},{'peggedUSD': 0},{'peggedUSD': 6621166.98},{'peggedUSD': 0},{'peggedUSD': 6621166.98}
1655251200,{'peggedUSD': 6687942.29},{'peggedUSD': 0},{'peggedUSD': 6680875.88},{'peggedUSD': 0},{'peggedUSD': 6680875.88}
1655337600,{'peggedUSD': 6742112.24},{'peggedUSD': 0},{'peggedUSD': 6732673.28},{'peggedUSD': 0},{'peggedUSD': 6732673.28}
1655424000,{'peggedUSD': 6605241.41},{'peggedUSD': 0},{'peggedUSD': 6597965.21},{'peggedUSD': 0},{'peggedUSD': 6597965.21}
1655510400,{'peggedUSD': 6648380.74},{'peggedUSD': 0},{'peggedUSD': 6640502.41},{'peggedUSD': 0},{'peggedUSD': 6640502.41}
1655596800,{'peggedUSD': 6647957.04},{'peggedUSD': 0},{'peggedUSD': 6641174.53},{'peggedUSD': 0},{'peggedUSD': 6641174.53}
1655683200,{'peggedUSD': 6461669.36},{'peggedUSD': 0},{'peggedUSD': 6453385.56},{'peggedUSD': 0},{'peggedUSD': 6453385.56}
1655769600,{'peggedUSD': 6537065.91},{'peggedUSD': 0},{'peggedUSD': 6529875.13},{'peggedUSD': 0},{'peggedUSD': 6529875.13}
1655856000,{'peggedUSD': 6537604.11},{'peggedUSD': 0},{'peggedUSD': 6530959.61},{'peggedUSD': 0},{'peggedUSD': 6530959.61}
1655942400,{'peggedUSD': 6523786.61},{'peggedUSD': 0},{'peggedUSD': 6519490.63},{'peggedUSD': 0},{'peggedUSD': 6519490.63}
1656028800,{'peggedUSD': 6526181.04},{'peggedUSD': 0},{'peggedUSD': 6520836.82},{'peggedUSD': 0},{'peggedUSD': 6520836.82}
1656115200,{'peggedUSD': 6553900.95},{'peggedUSD': 0},{'peggedUSD': 6548804.18},{'peggedUSD': 0},{'peggedUSD': 6548804.18}
1656201600,{'peggedUSD': 6549207.13},{'peggedUSD': 0},{'peggedUSD': 6544622.69},{'peggedUSD': 0},{'peggedUSD': 6544622.69}
1656288000,{'peggedUSD': 6201045.11},{'peggedUSD': 0},{'peggedUSD': 6197613.95},{'peggedUSD': 0},{'peggedUSD': 6197613.95}
1656374400,{'peggedUSD': 6080253.28},{'peggedUSD': 0},{'peggedUSD': 6076896.25},{'peggedUSD': 0},{'peggedUSD': 6076896.25}
1656460800,{'peggedUSD': 6085688.64},{'peggedUSD': 0},{'peggedUSD': 6080211.52},{'peggedUSD': 0},{'peggedUSD': 6080211.52}
1656547200,{'peggedUSD': 6078804.97},{'peggedUSD': 0},{'peggedUSD': 6072256.22},{'peggedUSD': 0},{'peggedUSD': 6072256.22}
1656633600,{'peggedUSD': 5964694.5},{'peggedUSD': 0},{'peggedUSD': 5958164.71},{'peggedUSD': 0},{'peggedUSD': 5958164.71}
1656720000,{'peggedUSD': 5955900.62},{'peggedUSD': 0},{'peggedUSD': 5949463.36},{'peggedUSD': 0},{'peggedUSD': 5949463.36}
1656806400,{'peggedUSD': 5949987.7},{'peggedUSD': 0},{'peggedUSD': 5944107.87},{'peggedUSD': 0},{'peggedUSD': 5944107.87}
1656892800,{'peggedUSD': 5946694.23},{'peggedUSD': 0},{'peggedUSD': 5941318.6},{'peggedUSD': 0},{'peggedUSD': 5941318.6}
1656979200,{'peggedUSD': 5972536},{'peggedUSD': 0},{'peggedUSD': 5966626.78},{'peggedUSD': 0},{'peggedUSD': 5966626.78}
1657065600,{'peggedUSD': 5970328.19},{'peggedUSD': 0},{'peggedUSD': 5968885.1},{'peggedUSD': 0},{'peggedUSD': 5968885.1}
1657152000,{'peggedUSD': 5966468.21},{'peggedUSD': 0},{'peggedUSD': 5964565.09},{'peggedUSD': 0},{'peggedUSD': 5964565.09}
1657238400,{'peggedUSD': 5965243.81},{'peggedUSD': 0},{'peggedUSD': 5959875.09},{'peggedUSD': 0},{'peggedUSD': 5959875.09}
1657324800,{'peggedUSD': 5965295.94},{'peggedUSD': 0},{'peggedUSD': 5965890.98},{'peggedUSD': 0},{'peggedUSD': 5965890.98}
1657411200,{'peggedUSD': 5961648.21},{'peggedUSD': 0},{'peggedUSD': 5958772.49},{'peggedUSD': 0},{'peggedUSD': 5958772.49}
1657497600,{'peggedUSD': 5925314.45},{'peggedUSD': 0},{'peggedUSD': 5925404.76},{'peggedUSD': 0},{'peggedUSD': 5925404.76}
1657584000,{'peggedUSD': 5926432.87},{'peggedUSD': 0},{'peggedUSD': 5926523.19},{'peggedUSD': 0},{'peggedUSD': 5926523.19}
1657670400,{'peggedUSD': 5837206.95},{'peggedUSD': 0},{'peggedUSD': 5837387.26},{'peggedUSD': 0},{'peggedUSD': 5837387.26}
1657756800,{'peggedUSD': 5837707.53},{'peggedUSD': 0},{'peggedUSD': 5833400.59},{'peggedUSD': 0},{'peggedUSD': 5833400.59}
1657843200,{'peggedUSD': 5589954.13},{'peggedUSD': 0},{'peggedUSD': 5587272.68},{'peggedUSD': 0},{'peggedUSD': 5587272.68}
1657929600,{'peggedUSD': 5585283.58},{'peggedUSD': 0},{'peggedUSD': 5582604.37},{'peggedUSD': 0},{'peggedUSD': 5582604.37}
1658016000,{'peggedUSD': 5451315.85},{'peggedUSD': 0},{'peggedUSD': 5451290.44},{'peggedUSD': 0},{'peggedUSD': 5451290.44}
1658102400,{'peggedUSD': 5487869.16},{'peggedUSD': 0},{'peggedUSD': 5486735.53},{'peggedUSD': 0},{'peggedUSD': 5486735.53}
1658188800,{'peggedUSD': 5488949.51},{'peggedUSD': 0},{'peggedUSD': 5488400.62},{'peggedUSD': 0},{'peggedUSD': 5488400.62}
1658275200,{'peggedUSD': 5487204.75},{'peggedUSD': 0},{'peggedUSD': 5487255.56},{'peggedUSD': 0},{'peggedUSD': 5487255.56}
1658361600,{'peggedUSD': 5267867.97},{'peggedUSD': 0},{'peggedUSD': 5268180.3},{'peggedUSD': 0},{'peggedUSD': 5268180.3}
1658448000,{'peggedUSD': 5276256.8},{'peggedUSD': 0},{'peggedUSD': 5276466.8},{'peggedUSD': 0},{'peggedUSD': 5276466.8}
1658534400,{'peggedUSD': 5276234.86},{'peggedUSD': 0},{'peggedUSD': 5276927.94},{'peggedUSD': 0},{'peggedUSD': 5276927.94}
1658620800,{'peggedUSD': 6075753.91},{'peggedUSD': 0},{'peggedUSD': 6076500.56},{'peggedUSD': 0},{'peggedUSD': 6076500.56}
1658707200,{'peggedUSD': 5272445.52},{'peggedUSD': 0},{'peggedUSD': 5272986.95},{'peggedUSD': 0},{'peggedUSD': 5272986.95}
1658793600,{'peggedUSD': 5271382.59},{'peggedUSD': 0},{'peggedUSD': 5271603.83},{'peggedUSD': 0},{'peggedUSD': 5271603.83}
1658880000,{'peggedUSD': 5279573.77},{'peggedUSD': 0},{'peggedUSD': 5281293.59},{'peggedUSD': 0},{'peggedUSD': 5281293.59}
1658966400,{'peggedUSD': 5274571.25},{'peggedUSD': 0},{'peggedUSD': 5275074.29},{'peggedUSD': 0},{'peggedUSD': 5275074.29}
1659052800,{'peggedUSD': 5267455.11},{'peggedUSD': 0},{'peggedUSD': 5268661.88},{'peggedUSD': 0},{'peggedUSD': 5268661.88}
1659139200,{'peggedUSD': 5266869.61},{'peggedUSD': 0},{'peggedUSD': 5268232.94},{'peggedUSD': 0},{'peggedUSD': 5268232.94}
1659225600,{'peggedUSD': 5263175.03},{'peggedUSD': 0},{'peggedUSD': 5264774.87},{'peggedUSD': 0},{'peggedUSD': 5264774.87}
1659312000,{'peggedUSD': 5259761.25},{'peggedUSD': 0},{'peggedUSD': 5261394.82},{'peggedUSD': 0},{'peggedUSD': 5261394.82}
1659398400,{'peggedUSD': 5263479.27},{'peggedUSD': 0},{'peggedUSD': 5264939.04},{'peggedUSD': 0},{'peggedUSD': 5264939.04}
1659484800,{'peggedUSD': 5253896.32},{'peggedUSD': 0},{'peggedUSD': 5255898.37},{'peggedUSD': 0},{'peggedUSD': 5255898.37}
1659571200,{'peggedUSD': 5235483.6},{'peggedUSD': 0},{'peggedUSD': 5236379.39},{'peggedUSD': 0},{'peggedUSD': 5236379.39}
1659657600,{'peggedUSD': 5235191.07},{'peggedUSD': 0},{'peggedUSD': 5237327.76},{'peggedUSD': 0},{'peggedUSD': 5237327.76}
1659744000,{'peggedUSD': 5210025.44},{'peggedUSD': 0},{'peggedUSD': 5211616.94},{'peggedUSD': 0},{'peggedUSD': 5211616.94}
1659830400,{'peggedUSD': 5214948.56},{'peggedUSD': 0},{'peggedUSD': 5216541.57},{'peggedUSD': 0},{'peggedUSD': 5216541.57}
1659916800,{'peggedUSD': 5213779.25},{'peggedUSD': 0},{'peggedUSD': 5214450.21},{'peggedUSD': 0},{'peggedUSD': 5214450.21}
1660003200,{'peggedUSD': 5211277.21},{'peggedUSD': 0},{'peggedUSD': 5211889.06},{'peggedUSD': 0},{'peggedUSD': 5211889.06}
1660089600,{'peggedUSD': 5207584.68},{'peggedUSD': 0},{'peggedUSD': 5208552.72},{'peggedUSD': 0},{'peggedUSD': 5208552.72}
1660176000,{'peggedUSD': 5202956.56},{'peggedUSD': 0},{'peggedUSD': 5204335.44},{'peggedUSD': 0},{'peggedUSD': 5204335.44}
1660262400,{'peggedUSD': 5201974.78},{'peggedUSD': 0},{'peggedUSD': 5204025.6},{'peggedUSD': 0},{'peggedUSD': 5204025.6}
1660348800,{'peggedUSD': 5200077.07},{'peggedUSD': 0},{'peggedUSD': 5202708},{'peggedUSD': 0},{'peggedUSD': 5202708}
1660435200,{'peggedUSD': 5197302.35},{'peggedUSD': 0},{'peggedUSD': 5199366.71},{'peggedUSD': 0},{'peggedUSD': 5199366.71}
1660521600,{'peggedUSD': 5177393.29},{'peggedUSD': 0},{'peggedUSD': 5178923.73},{'peggedUSD': 0},{'peggedUSD': 5178923.73}
1660608000,{'peggedUSD': 5176742.31},{'peggedUSD': 0},{'peggedUSD': 5178351.66},{'peggedUSD': 0},{'peggedUSD': 5178351.66}
1660694400,{'peggedUSD': 5179150.85},{'peggedUSD': 0},{'peggedUSD': 5179889.09},{'peggedUSD': 0},{'peggedUSD': 5179889.09}
1660780800,{'peggedUSD': 5080269.01},{'peggedUSD': 0},{'peggedUSD': 5080831.24},{'peggedUSD': 0},{'peggedUSD': 5080831.24}
