date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1644278400,{'peggedUSD': 835},{'peggedUSD': 0},{'peggedUSD': 835},{'peggedUSD': 835},{'peggedUSD': 0}
1644364800,{'peggedUSD': 13347490.39},{'peggedUSD': 0},{'peggedUSD': 13347490.39},{'peggedUSD': 13347490.39},{'peggedUSD': 0}
1644451200,{'peggedUSD': 31943736.49},{'peggedUSD': 0},{'peggedUSD': 31943736.49},{'peggedUSD': 31943736.49},{'peggedUSD': 0}
1644537600,{'peggedUSD': 31843149.46},{'peggedUSD': 0},{'peggedUSD': 31843149.46},{'peggedUSD': 31843149.46},{'peggedUSD': 0}
1644624000,{'peggedUSD': 32044597.19},{'peggedUSD': 0},{'peggedUSD': 32044597.19},{'peggedUSD': 32044597.19},{'peggedUSD': 0}
1644710400,{'peggedUSD': 30803176.55},{'peggedUSD': 0},{'peggedUSD': 30803176.55},{'peggedUSD': 30803176.55},{'peggedUSD': 0}
1644796800,{'peggedUSD': 30806577.45},{'peggedUSD': 0},{'peggedUSD': 30806577.45},{'peggedUSD': 30806577.45},{'peggedUSD': 0}
1644883200,{'peggedUSD': 30665969.73},{'peggedUSD': 0},{'peggedUSD': 30665969.73},{'peggedUSD': 30665969.73},{'peggedUSD': 0}
1644969600,{'peggedUSD': 31169975.9},{'peggedUSD': 0},{'peggedUSD': 31169975.9},{'peggedUSD': 31169975.9},{'peggedUSD': 0}
1645056000,{'peggedUSD': 31196424.64},{'peggedUSD': 0},{'peggedUSD': 31196424.64},{'peggedUSD': 31196424.64},{'peggedUSD': 0}
1645142400,{'peggedUSD': 30376908.43},{'peggedUSD': 0},{'peggedUSD': 30376908.43},{'peggedUSD': 30376908.43},{'peggedUSD': 0}
1645228800,{'peggedUSD': 30226166.44},{'peggedUSD': 0},{'peggedUSD': 30226166.44},{'peggedUSD': 30226166.44},{'peggedUSD': 0}
1645315200,{'peggedUSD': 28782066.35},{'peggedUSD': 0},{'peggedUSD': 28782066.35},{'peggedUSD': 28782066.35},{'peggedUSD': 0}
1645401600,{'peggedUSD': 28238910.2},{'peggedUSD': 0},{'peggedUSD': 28238910.2},{'peggedUSD': 28238910.2},{'peggedUSD': 0}
1645488000,{'peggedUSD': 27897285.84},{'peggedUSD': 0},{'peggedUSD': 27897285.84},{'peggedUSD': 27897285.84},{'peggedUSD': 0}
1645574400,{'peggedUSD': 27521056.02},{'peggedUSD': 0},{'peggedUSD': 27521056.02},{'peggedUSD': 27521056.02},{'peggedUSD': 0}
1645660800,{'peggedUSD': 21408004.96},{'peggedUSD': 0},{'peggedUSD': 21408004.96},{'peggedUSD': 21408004.96},{'peggedUSD': 0}
1645747200,{'peggedUSD': 20843806.4},{'peggedUSD': 0},{'peggedUSD': 20843806.4},{'peggedUSD': 20843806.4},{'peggedUSD': 0}
1645833600,{'peggedUSD': 20878130.62},{'peggedUSD': 0},{'peggedUSD': 20878130.62},{'peggedUSD': 20878130.62},{'peggedUSD': 0}
1645920000,{'peggedUSD': 20897910.23},{'peggedUSD': 0},{'peggedUSD': 20897910.23},{'peggedUSD': 20897910.23},{'peggedUSD': 0}
1646006400,{'peggedUSD': 20738591.14},{'peggedUSD': 0},{'peggedUSD': 20738591.14},{'peggedUSD': 20738591.14},{'peggedUSD': 0}
1646092800,{'peggedUSD': 20692629.98},{'peggedUSD': 0},{'peggedUSD': 20692629.98},{'peggedUSD': 20692629.98},{'peggedUSD': 0}
1646179200,{'peggedUSD': 20589087.33},{'peggedUSD': 0},{'peggedUSD': 20589087.33},{'peggedUSD': 20589087.33},{'peggedUSD': 0}
1646265600,{'peggedUSD': 20606900.17},{'peggedUSD': 0},{'peggedUSD': 20606900.17},{'peggedUSD': 20606900.17},{'peggedUSD': 0}
1646352000,{'peggedUSD': 9942839.4},{'peggedUSD': 0},{'peggedUSD': 9942839.4},{'peggedUSD': 9942839.4},{'peggedUSD': 0}
1646438400,{'peggedUSD': 9777738.37},{'peggedUSD': 0},{'peggedUSD': 9777738.37},{'peggedUSD': 9777738.37},{'peggedUSD': 0}
1646524800,{'peggedUSD': 9750151.75},{'peggedUSD': 0},{'peggedUSD': 9750151.75},{'peggedUSD': 9750151.75},{'peggedUSD': 0}
1646611200,{'peggedUSD': 9652064.5},{'peggedUSD': 0},{'peggedUSD': 9652064.5},{'peggedUSD': 9652064.5},{'peggedUSD': 0}
1646697600,{'peggedUSD': 9230606.71},{'peggedUSD': 0},{'peggedUSD': 9230606.71},{'peggedUSD': 9230606.71},{'peggedUSD': 0}
1646784000,{'peggedUSD': 9326640.08},{'peggedUSD': 0},{'peggedUSD': 9326640.08},{'peggedUSD': 9326640.08},{'peggedUSD': 0}
1646870400,{'peggedUSD': 9319061.69},{'peggedUSD': 0},{'peggedUSD': 9319061.69},{'peggedUSD': 9319061.69},{'peggedUSD': 0}
1646956800,{'peggedUSD': 9182887.45},{'peggedUSD': 0},{'peggedUSD': 9182887.45},{'peggedUSD': 9182887.45},{'peggedUSD': 0}
